"validation_step","sso01-adamw-lr2e-5-base-2fg7kdwu - _step","sso01-adamw-lr2e-5-base-2fg7kdwu - _step__MIN","sso01-adamw-lr2e-5-base-2fg7kdwu - _step__MAX","sso01-adamw-lr2e-5-base-2fg7kdwu - validation/f1_score-iiE","sso01-adamw-lr2e-5-base-2fg7kdwu - validation/f1_score-iiE__MIN","sso01-adamw-lr2e-5-base-2fg7kdwu - validation/f1_score-iiE__MAX","sso01-adamw-lr2e-5-base-2fg7kdwu - validation/f1_score-iEE","sso01-adamw-lr2e-5-base-2fg7kdwu - validation/f1_score-iEE__MIN","sso01-adamw-lr2e-5-base-2fg7kdwu - validation/f1_score-iEE__MAX","sso01-adamw-lr2e-5-base-2fg7kdwu - validation/f1_score-EEi","sso01-adamw-lr2e-5-base-2fg7kdwu - validation/f1_score-EEi__MIN","sso01-adamw-lr2e-5-base-2fg7kdwu - validation/f1_score-EEi__MAX","sso01-adamw-lr2e-5-base-2fg7kdwu - validation/f1_score-Eii","sso01-adamw-lr2e-5-base-2fg7kdwu - validation/f1_score-Eii__MIN","sso01-adamw-lr2e-5-base-2fg7kdwu - validation/f1_score-Eii__MAX"
"0","19939.25","19937","19941","0","0","0","0","0","0","0.463768115942029","0.463768115942029","0.463768115942029","0.3516483516483517","0.3516483516483517","0.3516483516483517"
"1","19947.25","19945","19949","0","0","0","0","0","0","1","1","1","0.7529411764705882","0.7529411764705882","0.7529411764705882"
"2","19955.25","19953","19957","0.6024096385542169","0.6024096385542169","0.6024096385542169","0.684931506849315","0.684931506849315","0.684931506849315","0.4054054054054054","0.4054054054054054","0.4054054054054054","0.4324324324324324","0.4324324324324324","0.4324324324324324"
"3","19963.25","19961","19965","0.512","0.512","0.512","0.6881720430107526","0.6881720430107526","0.6881720430107526","0.46043165467625896","0.46043165467625896","0.46043165467625896","0.5663716814159292","0.5663716814159292","0.5663716814159292"
"4","19971.25","19969","19973","0.5871559633027523","0.5871559633027523","0.5871559633027523","0.6597938144329897","0.6597938144329897","0.6597938144329897","0.6213592233009708","0.6213592233009708","0.6213592233009708","0.6881720430107526","0.6881720430107526","0.6881720430107526"
"5","19979.25","19977","19981","0.5090909090909091","0.5090909090909091","0.5090909090909091","0.7000000000000001","0.7000000000000001","0.7000000000000001","0.3711340206185567","0.3711340206185567","0.3711340206185567","0.3789473684210526","0.3789473684210526","0.3789473684210526"
"6","19987.25","19985","19989","0.38095238095238093","0.38095238095238093","0.38095238095238093","0.4885496183206107","0.4885496183206107","0.4885496183206107","0.5833333333333334","0.5833333333333334","0.5833333333333334","0.717948717948718","0.717948717948718","0.717948717948718"
"7","19995.25","19993","19997","0.33333333333333337","0.33333333333333337","0.33333333333333337","0.3595505617977528","0.3595505617977528","0.3595505617977528","0.6956521739130436","0.6956521739130436","0.6956521739130436","0.8205128205128205","0.8205128205128205","0.8205128205128205"
"8","20003.25","20001","20005","0.28776978417266186","0.28776978417266186","0.28776978417266186","0.28776978417266186","0.28776978417266186","0.28776978417266186","0.6666666666666666","0.6666666666666666","0.6666666666666666","0.5517241379310345","0.5517241379310345","0.5517241379310345"
"9","20011.25","20009","20013","0.676470588235294","0.676470588235294","0.676470588235294","0.647887323943662","0.647887323943662","0.647887323943662","0.6153846153846153","0.6153846153846153","0.6153846153846153","0.5","0.5","0.5"
