training_step,sso01-adamw-lr5e-5-freeze.base-305bhnsz - _step,sso01-adamw-lr5e-5-freeze.base-305bhnsz - _step__MIN,sso01-adamw-lr5e-5-freeze.base-305bhnsz - _step__MAX,lr5e-5,sso01-adamw-lr5e-5-freeze.base-305bhnsz - training/f1_score-EEE__MIN,sso01-adamw-lr5e-5-freeze.base-305bhnsz - training/f1_score-EEE__MAX,sso01-adamw-lr3e-5-freeze.base-3bbxzpcn - _step,sso01-adamw-lr3e-5-freeze.base-3bbxzpcn - _step__MIN,sso01-adamw-lr3e-5-freeze.base-3bbxzpcn - _step__MAX,lr3e-5,sso01-adamw-lr3e-5-freeze.base-3bbxzpcn - training/f1_score-EEE__MIN,sso01-adamw-lr3e-5-freeze.base-3bbxzpcn - training/f1_score-EEE__MAX,sso01-adamw-lr2e-5-freeze.base-1q52u19t - _step,sso01-adamw-lr2e-5-freeze.base-1q52u19t - _step__MIN,sso01-adamw-lr2e-5-freeze.base-1q52u19t - _step__MAX,lr2e-5,sso01-adamw-lr2e-5-freeze.base-1q52u19t - training/f1_score-EEE__MIN,sso01-adamw-lr2e-5-freeze.base-1q52u19t - training/f1_score-EEE__MAX,sso01-adamw-lr1e-5-freeze.base-fhl33ov3 - _step,sso01-adamw-lr1e-5-freeze.base-fhl33ov3 - _step__MIN,sso01-adamw-lr1e-5-freeze.base-fhl33ov3 - _step__MAX,lr1e-5,sso01-adamw-lr1e-5-freeze.base-fhl33ov3 - training/f1_score-EEE__MIN,sso01-adamw-lr1e-5-freeze.base-fhl33ov3 - training/f1_score-EEE__MAX,sso01-adamw-lr2e-4-freeze.base-2xdgctfn - _step,sso01-adamw-lr2e-4-freeze.base-2xdgctfn - _step__MIN,sso01-adamw-lr2e-4-freeze.base-2xdgctfn - _step__MAX,lr2e-4,sso01-adamw-lr2e-4-freeze.base-2xdgctfn - training/f1_score-EEE__MIN,sso01-adamw-lr2e-4-freeze.base-2xdgctfn - training/f1_score-EEE__MAX,sso01-adamw-freeze.base-30v736in - _step,sso01-adamw-freeze.base-30v736in - _step__MIN,sso01-adamw-freeze.base-30v736in - _step__MAX,lr4e-4,sso01-adamw-freeze.base-30v736in - training/f1_score-EEE__MIN,sso01-adamw-freeze.base-30v736in - training/f1_score-EEE__MAX
0,8,8,8,0.111540941,0.111540941,0.111540941,8,8,8,0.013316687,0.013316687,0.013316687,8,8,8,0.192324278,0.192324278,0.192324278,8,8,8,0.062888483,0.062888483,0.062888483,8,8,8,0.115813706,0.115813706,0.115813706,8,8,8,0.244460501,0.244460501,0.244460501
1,17,17,17,0.117039587,0.117039587,0.117039587,17,17,17,0.015351952,0.015351952,0.015351952,17,17,17,0.220384391,0.220384391,0.220384391,17,17,17,0.067110211,0.067110211,0.067110211,17,17,17,0.145423919,0.145423919,0.145423919,17,17,17,0.282218275,0.282218275,0.282218275
2,26,26,26,0.105658018,0.105658018,0.105658018,26,26,26,0.014098691,0.014098691,0.014098691,26,26,26,0.198305791,0.198305791,0.198305791,26,26,26,0.058977491,0.058977491,0.058977491,26,26,26,0.135094963,0.135094963,0.135094963,26,26,26,0.277535781,0.277535781,0.277535781
3,35,35,35,0.14901578,0.14901578,0.14901578,35,35,35,0.018227387,0.018227387,0.018227387,35,35,35,0.181956721,0.181956721,0.181956721,35,35,35,0.065367198,0.065367198,0.065367198,35,35,35,0.133750921,0.133750921,0.133750921,35,35,35,0.274473165,0.274473165,0.274473165
4,44,44,44,0.143235294,0.143235294,0.143235294,44,44,44,0.02056655,0.02056655,0.02056655,44,44,44,0.193416757,0.193416757,0.193416757,44,44,44,0.073716845,0.073716845,0.073716845,44,44,44,0.146689409,0.146689409,0.146689409,44,44,44,0.332868693,0.332868693,0.332868693
5,53,53,53,0.140521739,0.140521739,0.140521739,53,53,53,0.017387105,0.017387105,0.017387105,53,53,53,0.162204478,0.162204478,0.162204478,53,53,53,0.070074196,0.070074196,0.070074196,53,53,53,0.167903853,0.167903853,0.167903853,53,53,53,0.286073258,0.286073258,0.286073258
6,62,62,62,0.137643056,0.137643056,0.137643056,62,62,62,0.018502582,0.018502582,0.018502582,62,62,62,0.195229036,0.195229036,0.195229036,62,62,62,0.067077592,0.067077592,0.067077592,62,62,62,0.163836164,0.163836164,0.163836164,62,62,62,0.292267366,0.292267366,0.292267366
7,71,71,71,0.138784012,0.138784012,0.138784012,71,71,71,0.017161716,0.017161716,0.017161716,71,71,71,0.221268479,0.221268479,0.221268479,71,71,71,0.062959694,0.062959694,0.062959694,71,71,71,0.202186495,0.202186495,0.202186495,71,71,71,0.389796411,0.389796411,0.389796411
8,80,80,80,0.135897436,0.135897436,0.135897436,80,80,80,0.016783763,0.016783763,0.016783763,80,80,80,0.188135128,0.188135128,0.188135128,80,80,80,0.074649552,0.074649552,0.074649552,80,80,80,0.187680608,0.187680608,0.187680608,80,80,80,0.32418818,0.32418818,0.32418818
9,89,89,89,0.148136646,0.148136646,0.148136646,89,89,89,0.019815059,0.019815059,0.019815059,89,89,89,0.16832418,0.16832418,0.16832418,89,89,89,0.066474544,0.066474544,0.066474544,89,89,89,0.145551661,0.145551661,0.145551661,89,89,89,0.310551124,0.310551124,0.310551124
10,98,98,98,0.154442457,0.154442457,0.154442457,98,98,98,0.02190396,0.02190396,0.02190396,98,98,98,0.193456615,0.193456615,0.193456615,98,98,98,0.077158825,0.077158825,0.077158825,98,98,98,0.168160339,0.168160339,0.168160339,98,98,98,0.31198233,0.31198233,0.31198233
11,107,107,107,0.163425298,0.163425298,0.163425298,107,107,107,0.021877051,0.021877051,0.021877051,107,107,107,0.174711282,0.174711282,0.174711282,107,107,107,0.071894207,0.071894207,0.071894207,107,107,107,0.157885934,0.157885934,0.157885934,107,107,107,0.313191188,0.313191188,0.313191188
12,116,116,116,0.157606281,0.157606281,0.157606281,116,116,116,0.02674772,0.02674772,0.02674772,116,116,116,0.172586016,0.172586016,0.172586016,116,116,116,0.05955335,0.05955335,0.05955335,116,116,116,0.170934897,0.170934897,0.170934897,116,116,116,0.344613795,0.344613795,0.344613795
13,125,125,125,0.136903866,0.136903866,0.136903866,125,125,125,0.026709834,0.026709834,0.026709834,125,125,125,0.184468741,0.184468741,0.184468741,125,125,125,0.057021427,0.057021427,0.057021427,125,125,125,0.191688391,0.191688391,0.191688391,125,125,125,0.326714324,0.326714324,0.326714324
14,134,134,134,0.114493713,0.114493713,0.114493713,134,134,134,0.025259359,0.025259359,0.025259359,134,134,134,0.204360077,0.204360077,0.204360077,134,134,134,0.062949291,0.062949291,0.062949291,134,134,134,0.210011053,0.210011053,0.210011053,134,134,134,0.329760174,0.329760174,0.329760174
15,143,143,143,0.130181245,0.130181245,0.130181245,143,143,143,0.025968109,0.025968109,0.025968109,143,143,143,0.174700645,0.174700645,0.174700645,143,143,143,0.059436511,0.059436511,0.059436511,143,143,143,0.193941504,0.193941504,0.193941504,143,143,143,0.316090892,0.316090892,0.316090892
16,152,152,152,0.132442465,0.132442465,0.132442465,152,152,152,0.027296802,0.027296802,0.027296802,152,152,152,0.196523689,0.196523689,0.196523689,152,152,152,0.065762004,0.065762004,0.065762004,152,152,152,0.19458961,0.19458961,0.19458961,152,152,152,0.353344768,0.353344768,0.353344768
17,161,161,161,0.14847512,0.14847512,0.14847512,161,161,161,0.031201783,0.031201783,0.031201783,161,161,161,0.197584234,0.197584234,0.197584234,161,161,161,0.067087244,0.067087244,0.067087244,161,161,161,0.22057067,0.22057067,0.22057067,161,161,161,0.380921532,0.380921532,0.380921532
18,170,170,170,0.144180933,0.144180933,0.144180933,170,170,170,0.034591858,0.034591858,0.034591858,170,170,170,0.199858657,0.199858657,0.199858657,170,170,170,0.067067614,0.067067614,0.067067614,170,170,170,0.212,0.212,0.212,170,170,170,0.338396326,0.338396326,0.338396326
19,179,179,179,0.13373644,0.13373644,0.13373644,179,179,179,0.031754575,0.031754575,0.031754575,179,179,179,0.17958221,0.17958221,0.17958221,179,179,179,0.062173913,0.062173913,0.062173913,179,179,179,0.180748873,0.180748873,0.180748873,179,179,179,0.273888409,0.273888409,0.273888409
20,188,188,188,0.169883156,0.169883156,0.169883156,188,188,188,0.031443208,0.031443208,0.031443208,188,188,188,0.212105927,0.212105927,0.212105927,188,188,188,0.086727582,0.086727582,0.086727582,188,188,188,0.193583618,0.193583618,0.193583618,188,188,188,0.369840134,0.369840134,0.369840134
21,197,197,197,0.166595472,0.166595472,0.166595472,197,197,197,0.029589254,0.029589254,0.029589254,197,197,197,0.184894759,0.184894759,0.184894759,197,197,197,0.071306721,0.071306721,0.071306721,197,197,197,0.176980198,0.176980198,0.176980198,197,197,197,0.35674395,0.35674395,0.35674395
22,206,206,206,0.13376729,0.13376729,0.13376729,206,206,206,0.028644029,0.028644029,0.028644029,206,206,206,0.178896957,0.178896957,0.178896957,206,206,206,0.079906905,0.079906905,0.079906905,206,206,206,0.170076499,0.170076499,0.170076499,206,206,206,0.309938339,0.309938339,0.309938339
23,215,215,215,0.132456271,0.132456271,0.132456271,215,215,215,0.036549086,0.036549086,0.036549086,215,215,215,0.215854006,0.215854006,0.215854006,215,215,215,0.070592538,0.070592538,0.070592538,215,215,215,0.201955442,0.201955442,0.201955442,215,215,215,0.343747354,0.343747354,0.343747354
24,224,224,224,0.173673329,0.173673329,0.173673329,224,224,224,0.03358209,0.03358209,0.03358209,224,224,224,0.187129886,0.187129886,0.187129886,224,224,224,0.066413349,0.066413349,0.066413349,224,224,224,0.183658713,0.183658713,0.183658713,224,224,224,0.381209761,0.381209761,0.381209761
25,233,233,233,0.146389435,0.146389435,0.146389435,233,233,233,0.034128369,0.034128369,0.034128369,233,233,233,0.192208497,0.192208497,0.192208497,233,233,233,0.075561607,0.075561607,0.075561607,233,233,233,0.164086687,0.164086687,0.164086687,233,233,233,0.314077025,0.314077025,0.314077025
26,242,242,242,0.158495822,0.158495822,0.158495822,242,242,242,0.036717872,0.036717872,0.036717872,242,242,242,0.21479585,0.21479585,0.21479585,242,242,242,0.072518458,0.072518458,0.072518458,242,242,242,0.192487555,0.192487555,0.192487555,242,242,242,0.384262917,0.384262917,0.384262917
27,251,251,251,0.145301624,0.145301624,0.145301624,251,251,251,0.046301987,0.046301987,0.046301987,251,251,251,0.20653108,0.20653108,0.20653108,251,251,251,0.07192154,0.07192154,0.07192154,251,251,251,0.190460417,0.190460417,0.190460417,251,251,251,0.347268994,0.347268994,0.347268994
28,260,260,260,0.15909434,0.15909434,0.15909434,260,260,260,0.040949684,0.040949684,0.040949684,260,260,260,0.187434082,0.187434082,0.187434082,260,260,260,0.094920282,0.094920282,0.094920282,260,260,260,0.176923077,0.176923077,0.176923077,260,260,260,0.338207035,0.338207035,0.338207035
29,269,269,269,0.139196361,0.139196361,0.139196361,269,269,269,0.037316562,0.037316562,0.037316562,269,269,269,0.198243045,0.198243045,0.198243045,269,269,269,0.0693363,0.0693363,0.0693363,269,269,269,0.228360366,0.228360366,0.228360366,269,269,269,0.353815983,0.353815983,0.353815983
30,278,278,278,0.139105523,0.139105523,0.139105523,278,278,278,0.045006429,0.045006429,0.045006429,278,278,278,0.193877551,0.193877551,0.193877551,278,278,278,0.062986291,0.062986291,0.062986291,278,278,278,0.201357466,0.201357466,0.201357466,278,278,278,0.3467914,0.3467914,0.3467914
31,287,287,287,0.145543175,0.145543175,0.145543175,287,287,287,0.038652678,0.038652678,0.038652678,287,287,287,0.158912703,0.158912703,0.158912703,287,287,287,0.075680665,0.075680665,0.075680665,287,287,287,0.17674608,0.17674608,0.17674608,287,287,287,0.287801061,0.287801061,0.287801061
32,296,296,296,0.129146919,0.129146919,0.129146919,296,296,296,0.048577953,0.048577953,0.048577953,296,296,296,0.210452176,0.210452176,0.210452176,296,296,296,0.066416711,0.066416711,0.066416711,296,296,296,0.211798378,0.211798378,0.211798378,296,296,296,0.329244163,0.329244163,0.329244163
33,305,305,305,0.142074793,0.142074793,0.142074793,305,305,305,0.052575337,0.052575337,0.052575337,305,305,305,0.213167053,0.213167053,0.213167053,305,305,305,0.074472027,0.074472027,0.074472027,305,305,305,0.217739353,0.217739353,0.217739353,305,305,305,0.35052717,0.35052717,0.35052717
34,314,314,314,0.160486674,0.160486674,0.160486674,314,314,314,0.039554531,0.039554531,0.039554531,314,314,314,0.18905884,0.18905884,0.18905884,314,314,314,0.08474867,0.08474867,0.08474867,314,314,314,0.209605692,0.209605692,0.209605692,314,314,314,0.375097035,0.375097035,0.375097035
35,323,323,323,0.156511525,0.156511525,0.156511525,323,323,323,0.050937245,0.050937245,0.050937245,323,323,323,0.181382228,0.181382228,0.181382228,323,323,323,0.073819432,0.073819432,0.073819432,323,323,323,0.229198415,0.229198415,0.229198415,323,323,323,0.364447925,0.364447925,0.364447925
