training_step,sso01-adamw-lr5e-5-freeze.base-305bhnsz - _step,sso01-adamw-lr5e-5-freeze.base-305bhnsz - _step__MIN,sso01-adamw-lr5e-5-freeze.base-305bhnsz - _step__MAX,lr5e-5,sso01-adamw-lr5e-5-freeze.base-305bhnsz - training/f1_score-iii__MIN,sso01-adamw-lr5e-5-freeze.base-305bhnsz - training/f1_score-iii__MAX,sso01-adamw-lr3e-5-freeze.base-3bbxzpcn - _step,sso01-adamw-lr3e-5-freeze.base-3bbxzpcn - _step__MIN,sso01-adamw-lr3e-5-freeze.base-3bbxzpcn - _step__MAX,lr3e-5,sso01-adamw-lr3e-5-freeze.base-3bbxzpcn - training/f1_score-iii__MIN,sso01-adamw-lr3e-5-freeze.base-3bbxzpcn - training/f1_score-iii__MAX,sso01-adamw-lr2e-5-freeze.base-1q52u19t - _step,sso01-adamw-lr2e-5-freeze.base-1q52u19t - _step__MIN,sso01-adamw-lr2e-5-freeze.base-1q52u19t - _step__MAX,lr2e-5,sso01-adamw-lr2e-5-freeze.base-1q52u19t - training/f1_score-iii__MIN,sso01-adamw-lr2e-5-freeze.base-1q52u19t - training/f1_score-iii__MAX,sso01-adamw-lr1e-5-freeze.base-fhl33ov3 - _step,sso01-adamw-lr1e-5-freeze.base-fhl33ov3 - _step__MIN,sso01-adamw-lr1e-5-freeze.base-fhl33ov3 - _step__MAX,lr1e-5,sso01-adamw-lr1e-5-freeze.base-fhl33ov3 - training/f1_score-iii__MIN,sso01-adamw-lr1e-5-freeze.base-fhl33ov3 - training/f1_score-iii__MAX,sso01-adamw-lr2e-4-freeze.base-2xdgctfn - _step,sso01-adamw-lr2e-4-freeze.base-2xdgctfn - _step__MIN,sso01-adamw-lr2e-4-freeze.base-2xdgctfn - _step__MAX,lr2e-4,sso01-adamw-lr2e-4-freeze.base-2xdgctfn - training/f1_score-iii__MIN,sso01-adamw-lr2e-4-freeze.base-2xdgctfn - training/f1_score-iii__MAX,sso01-adamw-freeze.base-30v736in - _step,sso01-adamw-freeze.base-30v736in - _step__MIN,sso01-adamw-freeze.base-30v736in - _step__MAX,lr4e-4,sso01-adamw-freeze.base-30v736in - training/f1_score-iii__MIN,sso01-adamw-freeze.base-30v736in - training/f1_score-iii__MAX
0,1,1,1,0.094576025,0.094576025,0.094576025,1,1,1,0.388295519,0.388295519,0.388295519,1,1,1,0.118269231,0.118269231,0.118269231,1,1,1,0.096569663,0.096569663,0.096569663,1,1,1,0.308664381,0.308664381,0.308664381,1,1,1,0.116670619,0.116670619,0.116670619
1,10,10,10,0.099558916,0.099558916,0.099558916,10,10,10,0.392257715,0.392257715,0.392257715,10,10,10,0.127365683,0.127365683,0.127365683,10,10,10,0.103600758,0.103600758,0.103600758,10,10,10,0.312429251,0.312429251,0.312429251,10,10,10,0.141286749,0.141286749,0.141286749
2,19,19,19,0.095556461,0.095556461,0.095556461,19,19,19,0.396515811,0.396515811,0.396515811,19,19,19,0.133344044,0.133344044,0.133344044,19,19,19,0.10914141,0.10914141,0.10914141,19,19,19,0.321566502,0.321566502,0.321566502,19,19,19,0.144091766,0.144091766,0.144091766
3,28,28,28,0.084780549,0.084780549,0.084780549,28,28,28,0.401172018,0.401172018,0.401172018,28,28,28,0.149765045,0.149765045,0.149765045,28,28,28,0.105706268,0.105706268,0.105706268,28,28,28,0.33923171,0.33923171,0.33923171,28,28,28,0.113093859,0.113093859,0.113093859
4,37,37,37,0.112152606,0.112152606,0.112152606,37,37,37,0.368127593,0.368127593,0.368127593,37,37,37,0.120381698,0.120381698,0.120381698,37,37,37,0.118486912,0.118486912,0.118486912,37,37,37,0.312126827,0.312126827,0.312126827,37,37,37,0.154658137,0.154658137,0.154658137
5,46,46,46,0.118918102,0.118918102,0.118918102,46,46,46,0.408527457,0.408527457,0.408527457,46,46,46,0.138241247,0.138241247,0.138241247,46,46,46,0.127377,0.127377,0.127377,46,46,46,0.353014918,0.353014918,0.353014918,46,46,46,0.12321348,0.12321348,0.12321348
6,55,55,55,0.095412552,0.095412552,0.095412552,55,55,55,0.412918952,0.412918952,0.412918952,55,55,55,0.147855093,0.147855093,0.147855093,55,55,55,0.117107863,0.117107863,0.117107863,55,55,55,0.380302354,0.380302354,0.380302354,55,55,55,0.116665355,0.116665355,0.116665355
7,64,64,64,0.105975599,0.105975599,0.105975599,64,64,64,0.379251352,0.379251352,0.379251352,64,64,64,0.129797137,0.129797137,0.129797137,64,64,64,0.12145749,0.12145749,0.12145749,64,64,64,0.343558282,0.343558282,0.343558282,64,64,64,0.126953468,0.126953468,0.126953468
8,73,73,73,0.098527005,0.098527005,0.098527005,73,73,73,0.387431204,0.387431204,0.387431204,73,73,73,0.146184221,0.146184221,0.146184221,73,73,73,0.115349906,0.115349906,0.115349906,73,73,73,0.349247079,0.349247079,0.349247079,73,73,73,0.106325375,0.106325375,0.106325375
9,82,82,82,0.111746728,0.111746728,0.111746728,82,82,82,0.389956412,0.389956412,0.389956412,82,82,82,0.153587786,0.153587786,0.153587786,82,82,82,0.129132633,0.129132633,0.129132633,82,82,82,0.361439654,0.361439654,0.361439654,82,82,82,0.088389871,0.088389871,0.088389871
