validation_step,sso01-adamw-lr5e-5.eps1e-6-base-99y3e23k - _step,sso01-adamw-lr5e-5.eps1e-6-base-99y3e23k - _step__MIN,sso01-adamw-lr5e-5.eps1e-6-base-99y3e23k - _step__MAX,Eii,sso01-adamw-lr5e-5.eps1e-6-base-99y3e23k - validation/f1_score-Eii__MIN,sso01-adamw-lr5e-5.eps1e-6-base-99y3e23k - validation/f1_score-Eii__MAX,iEE,sso01-adamw-lr5e-5.eps1e-6-base-99y3e23k - validation/f1_score-iEE__MIN,sso01-adamw-lr5e-5.eps1e-6-base-99y3e23k - validation/f1_score-iEE__MAX,iEi,sso01-adamw-lr5e-5.eps1e-6-base-99y3e23k - validation/f1_score-iEi__MIN,sso01-adamw-lr5e-5.eps1e-6-base-99y3e23k - validation/f1_score-iEi__MAX,EEi,sso01-adamw-lr5e-5.eps1e-6-base-99y3e23k - validation/f1_score-EEi__MIN,sso01-adamw-lr5e-5.eps1e-6-base-99y3e23k - validation/f1_score-EEi__MAX,iiE,sso01-adamw-lr5e-5.eps1e-6-base-99y3e23k - validation/f1_score-iiE__MIN,sso01-adamw-lr5e-5.eps1e-6-base-99y3e23k - validation/f1_score-iiE__MAX,EiE,sso01-adamw-lr5e-5.eps1e-6-base-99y3e23k - validation/f1_score-EiE__MIN,sso01-adamw-lr5e-5.eps1e-6-base-99y3e23k - validation/f1_score-EiE__MAX,iii,sso01-adamw-lr5e-5.eps1e-6-base-99y3e23k - validation/f1_score-iii__MIN,sso01-adamw-lr5e-5.eps1e-6-base-99y3e23k - validation/f1_score-iii__MAX,EEE,sso01-adamw-lr5e-5.eps1e-6-base-99y3e23k - validation/f1_score-EEE__MIN,sso01-adamw-lr5e-5.eps1e-6-base-99y3e23k - validation/f1_score-EEE__MAX
0,19939.5,19936,19943,0.385542169,0.385542169,0.385542169,0,0,0,0,0,0,0.44137931,0.44137931,0.44137931,0,0,0,0,0,0,0.000448682,0.000448682,0.000448682,0.616304905,0.616304905,0.616304905
1,19947.5,19944,19951,0.64,0.64,0.64,0,0,0,0,0,0,0.653061224,0.653061224,0.653061224,0,0,0,0,0,0,0.002295333,0.002295333,0.002295333,0.327872241,0.327872241,0.327872241
2,19955.5,19952,19959,0.666666667,0.666666667,0.666666667,0.613333333,0.613333333,0.613333333,0,0,0,0.75,0.75,0.75,0.575,0.575,0.575,0,0,0,0.055924732,0.055924732,0.055924732,0.170368648,0.170368648,0.170368648
3,19963.5,19960,19967,0.62745098,0.62745098,0.62745098,0.615384615,0.615384615,0.615384615,0,0,0,0.64,0.64,0.64,0.703296703,0.703296703,0.703296703,0,0,0,0.113870633,0.113870633,0.113870633,0.28772206,0.28772206,0.28772206
4,19971.5,19968,19975,0.598130841,0.598130841,0.598130841,0.780487805,0.780487805,0.780487805,0,0,0,0.64,0.64,0.64,0.831168831,0.831168831,0.831168831,0,0,0,0.114384509,0.114384509,0.114384509,0.287302122,0.287302122,0.287302122
5,19979.5,19976,19983,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0,0.493150685,0.493150685,0.493150685,0.571428571,0.571428571,0.571428571,0,0,0,0.367157075,0.367157075,0.367157075,0.165731549,0.165731549,0.165731549
6,19987.5,19984,19991,0.8,0.8,0.8,0.571428571,0.571428571,0.571428571,0,0,0,0.756756757,0.756756757,0.756756757,0.659793814,0.659793814,0.659793814,0,0,0,0.057029761,0.057029761,0.057029761,0.313757039,0.313757039,0.313757039
7,19995.5,19992,19999,0.790123457,0.790123457,0.790123457,0.418300654,0.418300654,0.418300654,0,0,0,0.790123457,0.790123457,0.790123457,0.444444444,0.444444444,0.444444444,0,0,0,0.033492823,0.033492823,0.033492823,0.319702207,0.319702207,0.319702207
8,20003.5,20000,20007,0.752941176,0.752941176,0.752941176,0.330578512,0.330578512,0.330578512,0,0,0,0.820512821,0.820512821,0.820512821,0.357142857,0.357142857,0.357142857,0,0,0,0.034170561,0.034170561,0.034170561,0.292538279,0.292538279,0.292538279
9,20011.5,20008,20015,0.315789474,0.315789474,0.315789474,0.647887324,0.647887324,0.647887324,0,0,0,0.727272727,0.727272727,0.727272727,0.638888889,0.638888889,0.638888889,0,0,0,0.388509196,0.388509196,0.388509196,0.242562929,0.242562929,0.242562929
10,20019.5,20016,20023,0.46728972,0.46728972,0.46728972,0.914285714,0.914285714,0.914285714,0,0,0,0.649350649,0.649350649,0.649350649,0.955223881,0.955223881,0.955223881,0,0,0,0.287090259,0.287090259,0.287090259,0.532476215,0.532476215,0.532476215
11,20027.5,20024,20031,0.551724138,0.551724138,0.551724138,0.914285714,0.914285714,0.914285714,0,0,0,0.62745098,0.62745098,0.62745098,0.927536232,0.927536232,0.927536232,0,0,0,0.055058992,0.055058992,0.055058992,0.503626452,0.503626452,0.503626452
