validation_step,sso01-adamw-lr5e-5-base-291mo307 - _step,sso01-adamw-lr5e-5-base-291mo307 - _step__MIN,sso01-adamw-lr5e-5-base-291mo307 - _step__MAX,Eii,sso01-adamw-lr5e-5-base-291mo307 - validation/f1_score-Eii__MIN,sso01-adamw-lr5e-5-base-291mo307 - validation/f1_score-Eii__MAX,iEE,sso01-adamw-lr5e-5-base-291mo307 - validation/f1_score-iEE__MIN,sso01-adamw-lr5e-5-base-291mo307 - validation/f1_score-iEE__MAX,iEi,sso01-adamw-lr5e-5-base-291mo307 - validation/f1_score-iEi__MIN,sso01-adamw-lr5e-5-base-291mo307 - validation/f1_score-iEi__MAX,EEi,sso01-adamw-lr5e-5-base-291mo307 - validation/f1_score-EEi__MIN,sso01-adamw-lr5e-5-base-291mo307 - validation/f1_score-EEi__MAX,iiE,sso01-adamw-lr5e-5-base-291mo307 - validation/f1_score-iiE__MIN,sso01-adamw-lr5e-5-base-291mo307 - validation/f1_score-iiE__MAX,EiE,sso01-adamw-lr5e-5-base-291mo307 - validation/f1_score-EiE__MIN,sso01-adamw-lr5e-5-base-291mo307 - validation/f1_score-EiE__MAX,iii,sso01-adamw-lr5e-5-base-291mo307 - validation/f1_score-iii__MIN,sso01-adamw-lr5e-5-base-291mo307 - validation/f1_score-iii__MAX,EEE,sso01-adamw-lr5e-5-base-291mo307 - validation/f1_score-EEE__MIN,sso01-adamw-lr5e-5-base-291mo307 - validation/f1_score-EEE__MAX
0,19939.5,19936,19943,0.542372881,0.542372881,0.542372881,0,0,0,0,0,0,0.666666667,0.666666667,0.666666667,0,0,0,0,0,0,0.993177166,0.993177166,0.993177166,0.98448135,0.98448135,0.98448135
1,19947.5,19944,19951,0.914285714,0.914285714,0.914285714,0,0,0,0,0,0,0.984615385,0.984615385,0.984615385,0,0,0,0,0,0,0.996202969,0.996202969,0.996202969,0.969218627,0.969218627,0.969218627
2,19955.5,19952,19959,0.711111111,0.711111111,0.711111111,0.5,0.5,0.5,0,0,0,0.731707317,0.731707317,0.731707317,0.46728972,0.46728972,0.46728972,0,0,0,0.995102707,0.995102707,0.995102707,0.990825688,0.990825688,0.990825688
3,19963.5,19960,19967,0.60952381,0.60952381,0.60952381,0.542372881,0.542372881,0.542372881,0,0,0,0.666666667,0.666666667,0.666666667,0.516129032,0.516129032,0.516129032,0,0,0,0.988386331,0.988386331,0.988386331,0.9759817,0.9759817,0.9759817
4,19971.5,19968,19975,0.520325203,0.520325203,0.520325203,0.556521739,0.556521739,0.556521739,0,0,0,0.533333333,0.533333333,0.533333333,0.484848485,0.484848485,0.484848485,0,0,0,0.985110185,0.985110185,0.985110185,0.968596292,0.968596292,0.968596292
5,19979.5,19976,19983,0.404494382,0.404494382,0.404494382,0.56,0.56,0.56,0,0,0,0.336448598,0.336448598,0.336448598,0.56,0.56,0.56,0,0,0,0.994703707,0.994703707,0.994703707,0.975462764,0.975462764,0.975462764
6,19987.5,19984,19991,0.8,0.8,0.8,0.547008547,0.547008547,0.547008547,0,0,0,0.811594203,0.811594203,0.811594203,0.507936508,0.507936508,0.507936508,0,0,0,0.994652001,0.994652001,0.994652001,0.999830307,0.999830307,0.999830307
7,19995.5,19992,19999,0.96969697,0.96969697,0.96969697,0.421052632,0.421052632,0.421052632,0,0,0,1,1,1,0.405063291,0.405063291,0.405063291,0,0,0,0.992801348,0.992801348,0.992801348,0.999342538,0.999342538,0.999342538
8,20003.5,20000,20007,0.703296703,0.703296703,0.703296703,0.310077519,0.310077519,0.310077519,0,0,0,0.831168831,0.831168831,0.831168831,0.294117647,0.294117647,0.294117647,0,0,0,0.991195534,0.991195534,0.991195534,0.988759971,0.988759971,0.988759971
9,20011.5,20008,20015,0.461538462,0.461538462,0.461538462,0.474226804,0.474226804,0.474226804,0,0,0,0.727272727,0.727272727,0.727272727,0.446601942,0.446601942,0.446601942,0,0,0,0.994107861,0.994107861,0.994107861,0.983271902,0.983271902,0.983271902
10,20019.5,20016,20023,0.480769231,0.480769231,0.480769231,0.52892562,0.52892562,0.52892562,0,0,0,0.571428571,0.571428571,0.571428571,0.633663366,0.633663366,0.633663366,0,0,0,0.989367553,0.989367553,0.989367553,0.995482072,0.995482072,0.995482072
11,20027.5,20024,20031,0.64,0.64,0.64,0.810126582,0.810126582,0.810126582,0,0,0,0.653061224,0.653061224,0.653061224,0.688172043,0.688172043,0.688172043,0,0,0,0.994175834,0.994175834,0.994175834,0.998871756,0.998871756,0.998871756
12,20035.5,20032,20039,0.62745098,0.62745098,0.62745098,0.09929078,0.09929078,0.09929078,0,0,0,0.646464646,0.646464646,0.646464646,0.102189781,0.102189781,0.102189781,0,0,0,0.984182637,0.984182637,0.984182637,0.968847352,0.968847352,0.968847352
13,20043.5,20040,20047,0.24137931,0.24137931,0.24137931,0.609756098,0.609756098,0.609756098,0,0,0,0.285714286,0.285714286,0.285714286,0.537634409,0.537634409,0.537634409,0,0,0,0.992450098,0.992450098,0.992450098,0.971053417,0.971053417,0.971053417
14,20051.5,20048,20055,0.348623853,0.348623853,0.348623853,0.703296703,0.703296703,0.703296703,0,0,0,0.404255319,0.404255319,0.404255319,0.771084337,0.771084337,0.771084337,0,0,0,0.993134795,0.993134795,0.993134795,0.99084545,0.99084545,0.99084545
15,20059.5,20056,20063,0.481203008,0.481203008,0.481203008,0.831168831,0.831168831,0.831168831,0,0,0,0.507936508,0.507936508,0.507936508,0.853333333,0.853333333,0.853333333,0,0,0,0.995432015,0.995432015,0.995432015,0.99442108,0.99442108,0.99442108
16,20067.5,20064,20071,0.615384615,0.615384615,0.615384615,0.5,0.5,0.5,0,0,0,0.653061224,0.653061224,0.653061224,0.478873239,0.478873239,0.478873239,0,0,0,0.997909851,0.997909851,0.997909851,0.986104363,0.986104363,0.986104363
17,20075.5,20072,20079,0.526315789,0.526315789,0.526315789,0.311688312,0.311688312,0.311688312,0,0,0,0.727272727,0.727272727,0.727272727,0.363636364,0.363636364,0.363636364,0,0,0,0.995021143,0.995021143,0.995021143,0.971071663,0.971071663,0.971071663
18,20083.5,20080,20087,0,0,0,0.771084337,0.771084337,0.771084337,0,0,0,0,0,0,0.790123457,0.790123457,0.790123457,0,0,0,0.997235266,0.997235266,0.997235266,0.998860222,0.998860222,0.998860222
19,20091.5,20088,20095,0,0,0,0.901408451,0.901408451,0.901408451,0,0,0,0,0,0,0.914285714,0.914285714,0.914285714,0,0,0,0.98929821,0.98929821,0.98929821,0.995952486,0.995952486,0.995952486
20,20099.5,20096,20103,0.319148936,0.319148936,0.319148936,0.596491228,0.596491228,0.596491228,0,0,0,0.410958904,0.410958904,0.410958904,0.441558442,0.441558442,0.441558442,0,0,0,0.984239041,0.984239041,0.984239041,0.989730615,0.989730615,0.989730615
21,20107.5,20104,20111,0.251748252,0.251748252,0.251748252,0.383561644,0.383561644,0.383561644,0,0,0,0.36,0.36,0.36,0.32183908,0.32183908,0.32183908,0,0,0,0.988905838,0.988905838,0.988905838,0.964927793,0.964927793,0.964927793
22,20115.5,20112,20119,0,0,0,0.703296703,0.703296703,0.703296703,0,0,0,0,0,0,0.666666667,0.666666667,0.666666667,0,0,0,0.995146375,0.995146375,0.995146375,0.999766373,0.999766373,0.999766373
23,20123.5,20120,20127,0,0,0,0.876712329,0.876712329,0.876712329,0,0,0,0,0,0,0.901408451,0.901408451,0.901408451,0,0,0,0.997597931,0.997597931,0.997597931,0.999630553,0.999630553,0.999630553
24,20131.5,20128,20135,0.4375,0.4375,0.4375,0.704225352,0.704225352,0.704225352,0,0,0,0.466666667,0.466666667,0.466666667,0.757575758,0.757575758,0.757575758,0,0,0,0.978786751,0.978786751,0.978786751,0.995966929,0.995966929,0.995966929
25,20139.5,20136,20143,0.598130841,0.598130841,0.598130841,0,0,0,0,0,0,0.603773585,0.603773585,0.603773585,0,0,0,0,0,0,0.982248521,0.982248521,0.982248521,0.989682118,0.989682118,0.989682118
26,20147.5,20144,20151,0.62745098,0.62745098,0.62745098,0,0,0,0,0,0,0.703296703,0.703296703,0.703296703,0,0,0,0,0,0,0.983806176,0.983806176,0.983806176,0.979714041,0.979714041,0.979714041
27,20155.5,20152,20159,0.457627119,0.457627119,0.457627119,0.217391304,0.217391304,0.217391304,0,0,0,0.551020408,0.551020408,0.551020408,0.185185185,0.185185185,0.185185185,0,0,0,0.99258576,0.99258576,0.99258576,0.968319226,0.968319226,0.968319226
28,20163.5,20160,20167,0,0,0,0.727272727,0.727272727,0.727272727,0,0,0,0.040816327,0.040816327,0.040816327,0.542372881,0.542372881,0.542372881,0,0,0,0.991101444,0.991101444,0.991101444,0.992605233,0.992605233,0.992605233
29,20171.5,20168,20175,0.484848485,0.484848485,0.484848485,0.646464646,0.646464646,0.646464646,0,0,0,0.533333333,0.533333333,0.533333333,0.47761194,0.47761194,0.47761194,0,0,0,0.986294874,0.986294874,0.986294874,0.994578966,0.994578966,0.994578966
30,20179.5,20176,20183,0.474074074,0.474074074,0.474074074,0.592592593,0.592592593,0.592592593,0,0,0,0.771084337,0.771084337,0.771084337,0.42384106,0.42384106,0.42384106,0,0,0,0.987159441,0.987159441,0.987159441,0.995478387,0.995478387,0.995478387
31,20187.5,20184,20191,0.581818182,0.581818182,0.581818182,0.513513514,0.513513514,0.513513514,0,0,0,0.96969697,0.96969697,0.96969697,0.287878788,0.287878788,0.287878788,0,0,0,0.992404611,0.992404611,0.992404611,0.991899554,0.991899554,0.991899554
32,20195.5,20192,20199,0.451612903,0.451612903,0.451612903,0.244444444,0.244444444,0.244444444,0,0,0,0.636363636,0.636363636,0.636363636,0.166666667,0.166666667,0.166666667,0,0,0,0.991150442,0.991150442,0.991150442,0.937806257,0.937806257,0.937806257
33,20203.5,20200,20207,0.271186441,0.271186441,0.271186441,0.666666667,0.666666667,0.666666667,0,0,0,0.484848485,0.484848485,0.484848485,0.8,0.8,0.8,0,0,0,0.995700495,0.995700495,0.995700495,0.999222597,0.999222597,0.999222597
34,20211.5,20208,20215,0.587155963,0.587155963,0.587155963,0.566371681,0.566371681,0.566371681,0,0,0,0.60952381,0.60952381,0.60952381,0.474074074,0.474074074,0.474074074,0,0,0,0.990454851,0.990454851,0.990454851,0.998884721,0.998884721,0.998884721
35,20219.5,20216,20223,0.955223881,0.955223881,0.955223881,0.8,0.8,0.8,0,0,0,0.984615385,0.984615385,0.984615385,0.581818182,0.581818182,0.581818182,0,0,0,0.995451708,0.995451708,0.995451708,0.996360696,0.996360696,0.996360696
36,20227.5,20224,20231,0.719101124,0.719101124,0.719101124,0.032258065,0.032258065,0.032258065,0,0,0,0.914285714,0.914285714,0.914285714,0.029850746,0.029850746,0.029850746,0,0,0,0.996105452,0.996105452,0.996105452,0.983356941,0.983356941,0.983356941
37,20235.5,20232,20239,0.395604396,0.395604396,0.395604396,0.459259259,0.459259259,0.459259259,0,0,0,0.492753623,0.492753623,0.492753623,0.402597403,0.402597403,0.402597403,0,0,0,0.988083416,0.988083416,0.988083416,0.972215269,0.972215269,0.972215269
38,20243.5,20240,20247,0.524590164,0.524590164,0.524590164,0.719101124,0.719101124,0.719101124,0,0,0,0.566371681,0.566371681,0.566371681,0.576576577,0.576576577,0.576576577,0,0,0,0.993205318,0.993205318,0.993205318,0.99902439,0.99902439,0.99902439
39,20251.5,20248,20255,0.752941176,0.752941176,0.752941176,0.603773585,0.603773585,0.603773585,0,0,0,0.888888889,0.888888889,0.888888889,0.524590164,0.524590164,0.524590164,0,0,0,0.99498673,0.99498673,0.99498673,0.998634679,0.998634679,0.998634679
