validation_step,sso01-adamw-lr5e-5-base.lin1-2w1boplw - _step,sso01-adamw-lr5e-5-base.lin1-2w1boplw - _step__MIN,sso01-adamw-lr5e-5-base.lin1-2w1boplw - _step__MAX,lin1-Eii,sso01-adamw-lr5e-5-base.lin1-2w1boplw - validation/f1_score-Eii__MIN,sso01-adamw-lr5e-5-base.lin1-2w1boplw - validation/f1_score-Eii__MAX,lin1-iEE,sso01-adamw-lr5e-5-base.lin1-2w1boplw - validation/f1_score-iEE__MIN,sso01-adamw-lr5e-5-base.lin1-2w1boplw - validation/f1_score-iEE__MAX,lin1-iEi,sso01-adamw-lr5e-5-base.lin1-2w1boplw - validation/f1_score-iEi__MIN,sso01-adamw-lr5e-5-base.lin1-2w1boplw - validation/f1_score-iEi__MAX,lin1-EEi,sso01-adamw-lr5e-5-base.lin1-2w1boplw - validation/f1_score-EEi__MIN,sso01-adamw-lr5e-5-base.lin1-2w1boplw - validation/f1_score-EEi__MAX,lin1-iiE,sso01-adamw-lr5e-5-base.lin1-2w1boplw - validation/f1_score-iiE__MIN,sso01-adamw-lr5e-5-base.lin1-2w1boplw - validation/f1_score-iiE__MAX,lin1-EiE,sso01-adamw-lr5e-5-base.lin1-2w1boplw - validation/f1_score-EiE__MIN,sso01-adamw-lr5e-5-base.lin1-2w1boplw - validation/f1_score-EiE__MAX,lin1-iii,sso01-adamw-lr5e-5-base.lin1-2w1boplw - validation/f1_score-iii__MIN,sso01-adamw-lr5e-5-base.lin1-2w1boplw - validation/f1_score-iii__MAX,lin1-EEE,sso01-adamw-lr5e-5-base.lin1-2w1boplw - validation/f1_score-EEE__MIN,sso01-adamw-lr5e-5-base.lin1-2w1boplw - validation/f1_score-EEE__MAX,lin1-loss,sso01-adamw-lr5e-5-base.lin1-2w1boplw - validation/loss__MIN,sso01-adamw-lr5e-5-base.lin1-2w1boplw - validation/loss__MAX,sso01-adamw-lr5e-5-base-291mo307 - _step,sso01-adamw-lr5e-5-base-291mo307 - _step__MIN,sso01-adamw-lr5e-5-base-291mo307 - _step__MAX,base-Eii,sso01-adamw-lr5e-5-base-291mo307 - validation/f1_score-Eii__MIN,sso01-adamw-lr5e-5-base-291mo307 - validation/f1_score-Eii__MAX,base-iEE,sso01-adamw-lr5e-5-base-291mo307 - validation/f1_score-iEE__MIN,sso01-adamw-lr5e-5-base-291mo307 - validation/f1_score-iEE__MAX,base-iEi,sso01-adamw-lr5e-5-base-291mo307 - validation/f1_score-iEi__MIN,sso01-adamw-lr5e-5-base-291mo307 - validation/f1_score-iEi__MAX,base-EEi,sso01-adamw-lr5e-5-base-291mo307 - validation/f1_score-EEi__MIN,sso01-adamw-lr5e-5-base-291mo307 - validation/f1_score-EEi__MAX,base-iiE,sso01-adamw-lr5e-5-base-291mo307 - validation/f1_score-iiE__MIN,sso01-adamw-lr5e-5-base-291mo307 - validation/f1_score-iiE__MAX,base-EiE,sso01-adamw-lr5e-5-base-291mo307 - validation/f1_score-EiE__MIN,sso01-adamw-lr5e-5-base-291mo307 - validation/f1_score-EiE__MAX,base-iii,sso01-adamw-lr5e-5-base-291mo307 - validation/f1_score-iii__MIN,sso01-adamw-lr5e-5-base-291mo307 - validation/f1_score-iii__MAX,base-EEE,sso01-adamw-lr5e-5-base-291mo307 - validation/f1_score-EEE__MIN,sso01-adamw-lr5e-5-base-291mo307 - validation/f1_score-EEE__MAX,base-loss,sso01-adamw-lr5e-5-base-291mo307 - validation/loss__MIN,sso01-adamw-lr5e-5-base-291mo307 - validation/loss__MAX
0,19939.5,19936,19943,0.719101124,0.719101124,0.719101124,0,0,0,0,0,0,0.688172043,0.688172043,0.688172043,0,0,0,0,0,0,0.993262212,0.993262212,0.993262212,0.988188708,0.988188708,0.988188708,41.01607513,41.01607513,41.01607513,19939.28571,19936,19943,0.542372881,0.542372881,0.542372881,0,0,0,0,0,0,0.666666667,0.666666667,0.666666667,0,0,0,0,0,0,0.993177166,0.993177166,0.993177166,0.98448135,0.98448135,0.98448135,41.08302689,41.08302689,41.08302689
1,19947.6,19944,19951,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,0.999532492,0.999532492,0.999532492,40.77272415,40.77272415,40.77272415,19947.58333,19944,19951,0.914285714,0.914285714,0.914285714,0,0,0,0,0,0,0.984615385,0.984615385,0.984615385,0,0,0,0,0,0,0.996202969,0.996202969,0.996202969,0.969218627,0.969218627,0.969218627,41.03611755,41.03611755,41.03611755
2,19955.45455,19952,19959,0.888888889,0.888888889,0.888888889,0.961538462,0.961538462,0.961538462,0,0,0,0.857142857,0.857142857,0.857142857,0.943396226,0.943396226,0.943396226,0,0,0,0.99928869,0.99928869,0.99928869,0.994219653,0.994219653,0.994219653,40.79754257,40.79754257,40.79754257,19955.53333,19952,19959,0.711111111,0.711111111,0.711111111,0.5,0.5,0.5,0,0,0,0.731707317,0.731707317,0.731707317,0.46728972,0.46728972,0.46728972,0,0,0,0.995102707,0.995102707,0.995102707,0.990825688,0.990825688,0.990825688,40.87937164,40.87937164,40.87937164
3,19963.16667,19960,19967,0.984615385,0.984615385,0.984615385,0.984615385,0.984615385,0.984615385,0,0,0,1,1,1,0.984615385,0.984615385,0.984615385,0,0,0,0.999853265,0.999853265,0.999853265,0.999804726,0.999804726,0.999804726,40.76999283,40.76999283,40.76999283,19963.9,19960,19967,0.60952381,0.60952381,0.60952381,0.542372881,0.542372881,0.542372881,0,0,0,0.666666667,0.666666667,0.666666667,0.516129032,0.516129032,0.516129032,0,0,0,0.988386331,0.988386331,0.988386331,0.9759817,0.9759817,0.9759817,40.89567566,40.89567566,40.89567566
4,19971.4,19968,19975,0.984615385,0.984615385,0.984615385,0.955223881,0.955223881,0.955223881,0,0,0,1,1,1,0.955223881,0.955223881,0.955223881,0,0,0,0.997425903,0.997425903,0.997425903,0.987844877,0.987844877,0.987844877,40.79661179,40.79661179,40.79661179,19971.76923,19968,19975,0.520325203,0.520325203,0.520325203,0.556521739,0.556521739,0.556521739,0,0,0,0.533333333,0.533333333,0.533333333,0.484848485,0.484848485,0.484848485,0,0,0,0.985110185,0.985110185,0.985110185,0.968596292,0.968596292,0.968596292,40.92903519,40.92903519,40.92903519
5,19979.66667,19976,19983,0.642857143,0.642857143,0.642857143,0.823529412,0.823529412,0.823529412,0,0,0,0.642857143,0.642857143,0.642857143,0.823529412,0.823529412,0.823529412,0,0,0,0.998174516,0.998174516,0.998174516,0.996138996,0.996138996,0.996138996,40.81214142,40.81214142,40.81214142,19979.75,19976,19983,0.404494382,0.404494382,0.404494382,0.56,0.56,0.56,0,0,0,0.336448598,0.336448598,0.336448598,0.56,0.56,0.56,0,0,0,0.994703707,0.994703707,0.994703707,0.975462764,0.975462764,0.975462764,40.96228409,40.96228409,40.96228409
6,19987.33333,19984,19991,0.918032787,0.918032787,0.918032787,0.96969697,0.96969697,0.96969697,0,0,0,0.918032787,0.918032787,0.918032787,0.914285714,0.914285714,0.914285714,0,0,0,0.999207098,0.999207098,0.999207098,0.998812956,0.998812956,0.998812956,40.78318405,40.78318405,40.78318405,19987.63636,19984,19991,0.8,0.8,0.8,0.547008547,0.547008547,0.547008547,0,0,0,0.811594203,0.811594203,0.811594203,0.507936508,0.507936508,0.507936508,0,0,0,0.994652001,0.994652001,0.994652001,0.999830307,0.999830307,0.999830307,40.83108139,40.83108139,40.83108139
7,19995.08333,19992,19999,1,1,1,0.955223881,0.955223881,0.955223881,0,0,0,1,1,1,0.941176471,0.941176471,0.941176471,0,0,0,0.99973381,0.99973381,0.99973381,1,1,1,40.7711792,40.7711792,40.7711792,19995.57143,19992,19999,0.96969697,0.96969697,0.96969697,0.421052632,0.421052632,0.421052632,0,0,0,1,1,1,0.405063291,0.405063291,0.405063291,0,0,0,0.992801348,0.992801348,0.992801348,0.999342538,0.999342538,0.999342538,40.84432602,40.84432602,40.84432602
8,20003.42857,20000,20007,1,1,1,0.769230769,0.769230769,0.769230769,0,0,0,1,1,1,0.869565217,0.869565217,0.869565217,0,0,0,0.999330955,0.999330955,0.999330955,0.995281307,0.995281307,0.995281307,40.80041122,40.80041122,40.80041122,20003.46667,20000,20007,0.703296703,0.703296703,0.703296703,0.310077519,0.310077519,0.310077519,0,0,0,0.831168831,0.831168831,0.831168831,0.294117647,0.294117647,0.294117647,0,0,0,0.991195534,0.991195534,0.991195534,0.988759971,0.988759971,0.988759971,40.93149185,40.93149185,40.93149185
9,20011.92857,20008,20015,0.947368421,0.947368421,0.947368421,0.92,0.92,0.92,0,0,0,0.888888889,0.888888889,0.888888889,0.901960784,0.901960784,0.901960784,0,0,0,0.998723213,0.998723213,0.998723213,0.989497587,0.989497587,0.989497587,40.81766129,40.81766129,40.81766129,20011.38462,20008,20015,0.461538462,0.461538462,0.461538462,0.474226804,0.474226804,0.474226804,0,0,0,0.727272727,0.727272727,0.727272727,0.446601942,0.446601942,0.446601942,0,0,0,0.994107861,0.994107861,0.994107861,0.983271902,0.983271902,0.983271902,40.92642593,40.92642593,40.92642593
