validation_step,sso01-adamw-lr5e-5-base.lin1-2w1boplw - _step,sso01-adamw-lr5e-5-base.lin1-2w1boplw - _step__MIN,sso01-adamw-lr5e-5-base.lin1-2w1boplw - _step__MAX,Eii,sso01-adamw-lr5e-5-base.lin1-2w1boplw - validation/f1_score-Eii__MIN,sso01-adamw-lr5e-5-base.lin1-2w1boplw - validation/f1_score-Eii__MAX,iEE,sso01-adamw-lr5e-5-base.lin1-2w1boplw - validation/f1_score-iEE__MIN,sso01-adamw-lr5e-5-base.lin1-2w1boplw - validation/f1_score-iEE__MAX,iEi,sso01-adamw-lr5e-5-base.lin1-2w1boplw - validation/f1_score-iEi__MIN,sso01-adamw-lr5e-5-base.lin1-2w1boplw - validation/f1_score-iEi__MAX,EEi,sso01-adamw-lr5e-5-base.lin1-2w1boplw - validation/f1_score-EEi__MIN,sso01-adamw-lr5e-5-base.lin1-2w1boplw - validation/f1_score-EEi__MAX,iiE,sso01-adamw-lr5e-5-base.lin1-2w1boplw - validation/f1_score-iiE__MIN,sso01-adamw-lr5e-5-base.lin1-2w1boplw - validation/f1_score-iiE__MAX,EiE,sso01-adamw-lr5e-5-base.lin1-2w1boplw - validation/f1_score-EiE__MIN,sso01-adamw-lr5e-5-base.lin1-2w1boplw - validation/f1_score-EiE__MAX,iii,sso01-adamw-lr5e-5-base.lin1-2w1boplw - validation/f1_score-iii__MIN,sso01-adamw-lr5e-5-base.lin1-2w1boplw - validation/f1_score-iii__MAX,EEE,sso01-adamw-lr5e-5-base.lin1-2w1boplw - validation/f1_score-EEE__MIN,sso01-adamw-lr5e-5-base.lin1-2w1boplw - validation/f1_score-EEE__MAX
0,19939.5,19936,19943,0.719101124,0.719101124,0.719101124,0,0,0,0,0,0,0.688172043,0.688172043,0.688172043,0,0,0,0,0,0,0.993262212,0.993262212,0.993262212,0.988188708,0.988188708,0.988188708
1,19947.5,19944,19951,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,0.999532492,0.999532492,0.999532492
2,19955.5,19952,19959,0.888888889,0.888888889,0.888888889,0.961538462,0.961538462,0.961538462,0,0,0,0.857142857,0.857142857,0.857142857,0.943396226,0.943396226,0.943396226,0,0,0,0.99928869,0.99928869,0.99928869,0.994219653,0.994219653,0.994219653
3,19963.5,19960,19967,0.984615385,0.984615385,0.984615385,0.984615385,0.984615385,0.984615385,0,0,0,1,1,1,0.984615385,0.984615385,0.984615385,0,0,0,0.999853265,0.999853265,0.999853265,0.999804726,0.999804726,0.999804726
4,19971.5,19968,19975,0.984615385,0.984615385,0.984615385,0.955223881,0.955223881,0.955223881,0,0,0,1,1,1,0.955223881,0.955223881,0.955223881,0,0,0,0.997425903,0.997425903,0.997425903,0.987844877,0.987844877,0.987844877
5,19979.5,19976,19983,0.642857143,0.642857143,0.642857143,0.823529412,0.823529412,0.823529412,0,0,0,0.642857143,0.642857143,0.642857143,0.823529412,0.823529412,0.823529412,0,0,0,0.998174516,0.998174516,0.998174516,0.996138996,0.996138996,0.996138996
6,19987.5,19984,19991,0.918032787,0.918032787,0.918032787,0.96969697,0.96969697,0.96969697,0,0,0,0.918032787,0.918032787,0.918032787,0.914285714,0.914285714,0.914285714,0,0,0,0.999207098,0.999207098,0.999207098,0.998812956,0.998812956,0.998812956
7,19995.5,19992,19999,1,1,1,0.955223881,0.955223881,0.955223881,0,0,0,1,1,1,0.941176471,0.941176471,0.941176471,0,0,0,0.99973381,0.99973381,0.99973381,1,1,1
8,20003.5,20000,20007,1,1,1,0.769230769,0.769230769,0.769230769,0,0,0,1,1,1,0.869565217,0.869565217,0.869565217,0,0,0,0.999330955,0.999330955,0.999330955,0.995281307,0.995281307,0.995281307
9,20011.5,20008,20015,0.947368421,0.947368421,0.947368421,0.92,0.92,0.92,0,0,0,0.888888889,0.888888889,0.888888889,0.901960784,0.901960784,0.901960784,0,0,0,0.998723213,0.998723213,0.998723213,0.989497587,0.989497587,0.989497587
