"validation_step","sso01-adamw-lr5e-5-base-291mo307 - _step","sso01-adamw-lr5e-5-base-291mo307 - _step__MIN","sso01-adamw-lr5e-5-base-291mo307 - _step__MAX","sso01-adamw-lr5e-5-base-291mo307 - validation/f1_score-Eii","sso01-adamw-lr5e-5-base-291mo307 - validation/f1_score-Eii__MIN","sso01-adamw-lr5e-5-base-291mo307 - validation/f1_score-Eii__MAX","sso01-adamw-lr5e-5-base-291mo307 - validation/f1_score-iEE","sso01-adamw-lr5e-5-base-291mo307 - validation/f1_score-iEE__MIN","sso01-adamw-lr5e-5-base-291mo307 - validation/f1_score-iEE__MAX","sso01-adamw-lr5e-5-base-291mo307 - validation/f1_score-iEi","sso01-adamw-lr5e-5-base-291mo307 - validation/f1_score-iEi__MIN","sso01-adamw-lr5e-5-base-291mo307 - validation/f1_score-iEi__MAX","sso01-adamw-lr5e-5-base-291mo307 - validation/f1_score-EEi","sso01-adamw-lr5e-5-base-291mo307 - validation/f1_score-EEi__MIN","sso01-adamw-lr5e-5-base-291mo307 - validation/f1_score-EEi__MAX","sso01-adamw-lr5e-5-base-291mo307 - validation/f1_score-iiE","sso01-adamw-lr5e-5-base-291mo307 - validation/f1_score-iiE__MIN","sso01-adamw-lr5e-5-base-291mo307 - validation/f1_score-iiE__MAX","sso01-adamw-lr5e-5-base-291mo307 - validation/f1_score-EiE","sso01-adamw-lr5e-5-base-291mo307 - validation/f1_score-EiE__MIN","sso01-adamw-lr5e-5-base-291mo307 - validation/f1_score-EiE__MAX","sso01-adamw-lr5e-5-base-291mo307 - validation/f1_score-iii","sso01-adamw-lr5e-5-base-291mo307 - validation/f1_score-iii__MIN","sso01-adamw-lr5e-5-base-291mo307 - validation/f1_score-iii__MAX","sso01-adamw-lr5e-5-base-291mo307 - validation/f1_score-EEE","sso01-adamw-lr5e-5-base-291mo307 - validation/f1_score-EEE__MIN","sso01-adamw-lr5e-5-base-291mo307 - validation/f1_score-EEE__MAX","sso01-adamw-lr5e-5.eps1e-6-base-99y3e23k - _step","sso01-adamw-lr5e-5.eps1e-6-base-99y3e23k - _step__MIN","sso01-adamw-lr5e-5.eps1e-6-base-99y3e23k - _step__MAX","sso01-adamw-lr5e-5.eps1e-6-base-99y3e23k - validation/f1_score-Eii","sso01-adamw-lr5e-5.eps1e-6-base-99y3e23k - validation/f1_score-Eii__MIN","sso01-adamw-lr5e-5.eps1e-6-base-99y3e23k - validation/f1_score-Eii__MAX","sso01-adamw-lr5e-5.eps1e-6-base-99y3e23k - validation/f1_score-iEE","sso01-adamw-lr5e-5.eps1e-6-base-99y3e23k - validation/f1_score-iEE__MIN","sso01-adamw-lr5e-5.eps1e-6-base-99y3e23k - validation/f1_score-iEE__MAX","sso01-adamw-lr5e-5.eps1e-6-base-99y3e23k - validation/f1_score-iEi","sso01-adamw-lr5e-5.eps1e-6-base-99y3e23k - validation/f1_score-iEi__MIN","sso01-adamw-lr5e-5.eps1e-6-base-99y3e23k - validation/f1_score-iEi__MAX","sso01-adamw-lr5e-5.eps1e-6-base-99y3e23k - validation/f1_score-EEi","sso01-adamw-lr5e-5.eps1e-6-base-99y3e23k - validation/f1_score-EEi__MIN","sso01-adamw-lr5e-5.eps1e-6-base-99y3e23k - validation/f1_score-EEi__MAX","sso01-adamw-lr5e-5.eps1e-6-base-99y3e23k - validation/f1_score-iiE","sso01-adamw-lr5e-5.eps1e-6-base-99y3e23k - validation/f1_score-iiE__MIN","sso01-adamw-lr5e-5.eps1e-6-base-99y3e23k - validation/f1_score-iiE__MAX","sso01-adamw-lr5e-5.eps1e-6-base-99y3e23k - validation/f1_score-EiE","sso01-adamw-lr5e-5.eps1e-6-base-99y3e23k - validation/f1_score-EiE__MIN","sso01-adamw-lr5e-5.eps1e-6-base-99y3e23k - validation/f1_score-EiE__MAX","sso01-adamw-lr5e-5.eps1e-6-base-99y3e23k - validation/f1_score-iii","sso01-adamw-lr5e-5.eps1e-6-base-99y3e23k - validation/f1_score-iii__MIN","sso01-adamw-lr5e-5.eps1e-6-base-99y3e23k - validation/f1_score-iii__MAX","sso01-adamw-lr5e-5.eps1e-6-base-99y3e23k - validation/f1_score-EEE","sso01-adamw-lr5e-5.eps1e-6-base-99y3e23k - validation/f1_score-EEE__MIN","sso01-adamw-lr5e-5.eps1e-6-base-99y3e23k - validation/f1_score-EEE__MAX"
"0","19939.5","19936","19943","0.5423728813559322","0.5423728813559322","0.5423728813559322","0","0","0","0","0","0","0.6666666666666666","0.6666666666666666","0.6666666666666666","0","0","0","0","0","0","0.9931771662497156","0.9931771662497156","0.9931771662497156","0.9844813503947728","0.9844813503947728","0.9844813503947728","19939.5","19936","19943","0.38554216867469876","0.38554216867469876","0.38554216867469876","0","0","0","0","0","0","0.4413793103448276","0.4413793103448276","0.4413793103448276","0","0","0","0","0","0","0.000448681996634885","0.000448681996634885","0.000448681996634885","0.6163049051444197","0.6163049051444197","0.6163049051444197"
"1","19947.5","19944","19951","0.9142857142857143","0.9142857142857143","0.9142857142857143","0","0","0","0","0","0","0.9846153846153847","0.9846153846153847","0.9846153846153847","0","0","0","0","0","0","0.9962029685881947","0.9962029685881947","0.9962029685881947","0.9692186266771903","0.9692186266771903","0.9692186266771903","19947.5","19944","19951","0.6399999999999999","0.6399999999999999","0.6399999999999999","0","0","0","0","0","0","0.653061224489796","0.653061224489796","0.653061224489796","0","0","0","0","0","0","0.0022953328232593728","0.0022953328232593728","0.0022953328232593728","0.32787224145950694","0.32787224145950694","0.32787224145950694"
"2","19955.5","19952","19959","0.7111111111111111","0.7111111111111111","0.7111111111111111","0.5","0.5","0.5","0","0","0","0.7317073170731707","0.7317073170731707","0.7317073170731707","0.4672897196261682","0.4672897196261682","0.4672897196261682","0","0","0","0.9951027071146782","0.9951027071146782","0.9951027071146782","0.9908256880733944","0.9908256880733944","0.9908256880733944","19955.5","19952","19959","0.6666666666666666","0.6666666666666666","0.6666666666666666","0.6133333333333333","0.6133333333333333","0.6133333333333333","0","0","0","0.7499999999999999","0.7499999999999999","0.7499999999999999","0.575","0.575","0.575","0","0","0","0.055924731890255944","0.055924731890255944","0.055924731890255944","0.17036864751715317","0.17036864751715317","0.17036864751715317"
"3","19963.5","19960","19967","0.6095238095238095","0.6095238095238095","0.6095238095238095","0.5423728813559322","0.5423728813559322","0.5423728813559322","0","0","0","0.6666666666666666","0.6666666666666666","0.6666666666666666","0.5161290322580645","0.5161290322580645","0.5161290322580645","0","0","0","0.9883863307483952","0.9883863307483952","0.9883863307483952","0.9759817003431186","0.9759817003431186","0.9759817003431186","19963.5","19960","19967","0.6274509803921569","0.6274509803921569","0.6274509803921569","0.6153846153846153","0.6153846153846153","0.6153846153846153","0","0","0","0.6399999999999999","0.6399999999999999","0.6399999999999999","0.7032967032967034","0.7032967032967034","0.7032967032967034","0","0","0","0.11387063299896232","0.11387063299896232","0.11387063299896232","0.287722059815606","0.287722059815606","0.287722059815606"
"4","19971.5","19968","19975","0.5203252032520326","0.5203252032520326","0.5203252032520326","0.5565217391304349","0.5565217391304349","0.5565217391304349","0","0","0","0.5333333333333333","0.5333333333333333","0.5333333333333333","0.48484848484848486","0.48484848484848486","0.48484848484848486","0","0","0","0.9851101846337106","0.9851101846337106","0.9851101846337106","0.9685962920923193","0.9685962920923193","0.9685962920923193","19971.5","19968","19975","0.5981308411214953","0.5981308411214953","0.5981308411214953","0.7804878048780487","0.7804878048780487","0.7804878048780487","0","0","0","0.6399999999999999","0.6399999999999999","0.6399999999999999","0.8311688311688311","0.8311688311688311","0.8311688311688311","0","0","0","0.11438450899031813","0.11438450899031813","0.11438450899031813","0.2873021219265746","0.2873021219265746","0.2873021219265746"
"5","19979.5","19976","19983","0.40449438202247184","0.40449438202247184","0.40449438202247184","0.56","0.56","0.56","0","0","0","0.3364485981308411","0.3364485981308411","0.3364485981308411","0.56","0.56","0.56","0","0","0","0.9947037074048166","0.9947037074048166","0.9947037074048166","0.9754627636676712","0.9754627636676712","0.9754627636676712","19979.5","19976","19983","0.5","0.5","0.5","0.5","0.5","0.5","0","0","0","0.4931506849315069","0.4931506849315069","0.4931506849315069","0.5714285714285715","0.5714285714285715","0.5714285714285715","0","0","0","0.3671570748593682","0.3671570748593682","0.3671570748593682","0.16573154941735002","0.16573154941735002","0.16573154941735002"
"6","19987.5","19984","19991","0.8","0.8","0.8","0.547008547008547","0.547008547008547","0.547008547008547","0","0","0","0.8115942028985507","0.8115942028985507","0.8115942028985507","0.5079365079365079","0.5079365079365079","0.5079365079365079","0","0","0","0.9946520007585815","0.9946520007585815","0.9946520007585815","0.9998303071440692","0.9998303071440692","0.9998303071440692","19987.5","19984","19991","0.8","0.8","0.8","0.5714285714285715","0.5714285714285715","0.5714285714285715","0","0","0","0.7567567567567568","0.7567567567567568","0.7567567567567568","0.6597938144329897","0.6597938144329897","0.6597938144329897","0","0","0","0.057029761032106725","0.057029761032106725","0.057029761032106725","0.3137570394207562","0.3137570394207562","0.3137570394207562"
"7","19995.5","19992","19999","0.9696969696969697","0.9696969696969697","0.9696969696969697","0.4210526315789474","0.4210526315789474","0.4210526315789474","0","0","0","1","1","1","0.4050632911392405","0.4050632911392405","0.4050632911392405","0","0","0","0.9928013478327462","0.9928013478327462","0.9928013478327462","0.9993425378040763","0.9993425378040763","0.9993425378040763","19995.5","19992","19999","0.7901234567901235","0.7901234567901235","0.7901234567901235","0.41830065359477125","0.41830065359477125","0.41830065359477125","0","0","0","0.7901234567901235","0.7901234567901235","0.7901234567901235","0.4444444444444445","0.4444444444444445","0.4444444444444445","0","0","0","0.03349282296650717","0.03349282296650717","0.03349282296650717","0.3197022068598777","0.3197022068598777","0.3197022068598777"
"8","20003.5","20000","20007","0.7032967032967034","0.7032967032967034","0.7032967032967034","0.31007751937984496","0.31007751937984496","0.31007751937984496","0","0","0","0.8311688311688311","0.8311688311688311","0.8311688311688311","0.29411764705882354","0.29411764705882354","0.29411764705882354","0","0","0","0.9911955340751565","0.9911955340751565","0.9911955340751565","0.9887599709934736","0.9887599709934736","0.9887599709934736","20003.5","20000","20007","0.7529411764705882","0.7529411764705882","0.7529411764705882","0.3305785123966942","0.3305785123966942","0.3305785123966942","0","0","0","0.8205128205128205","0.8205128205128205","0.8205128205128205","0.3571428571428571","0.3571428571428571","0.3571428571428571","0","0","0","0.03417056074766355","0.03417056074766355","0.03417056074766355","0.2925382790597369","0.2925382790597369","0.2925382790597369"
"9","20011.5","20008","20015","0.4615384615384615","0.4615384615384615","0.4615384615384615","0.4742268041237113","0.4742268041237113","0.4742268041237113","0","0","0","0.7272727272727273","0.7272727272727273","0.7272727272727273","0.44660194174757273","0.44660194174757273","0.44660194174757273","0","0","0","0.9941078608068764","0.9941078608068764","0.9941078608068764","0.9832719024666855","0.9832719024666855","0.9832719024666855","20011.5","20008","20015","0.3157894736842105","0.3157894736842105","0.3157894736842105","0.647887323943662","0.647887323943662","0.647887323943662","0","0","0","0.7272727272727273","0.7272727272727273","0.7272727272727273","0.6388888888888888","0.6388888888888888","0.6388888888888888","0","0","0","0.3885091959771073","0.3885091959771073","0.3885091959771073","0.24256292906178484","0.24256292906178484","0.24256292906178484"
