training_step,sso01-adamw-lr5e-5-base-291mo307 - _step,sso01-adamw-lr5e-5-base-291mo307 - _step__MIN,sso01-adamw-lr5e-5-base-291mo307 - _step__MAX,lr5e-5,sso01-adamw-lr5e-5-base-291mo307 - training/f1_score-EEE__MIN,sso01-adamw-lr5e-5-base-291mo307 - training/f1_score-EEE__MAX,sso01-adamw-lr3e-5-base-s2rvguqj - _step,sso01-adamw-lr3e-5-base-s2rvguqj - _step__MIN,sso01-adamw-lr3e-5-base-s2rvguqj - _step__MAX,lr3e-5,sso01-adamw-lr3e-5-base-s2rvguqj - training/f1_score-EEE__MIN,sso01-adamw-lr3e-5-base-s2rvguqj - training/f1_score-EEE__MAX,sso01-adamw-lr2e-5-base-2fg7kdwu - _step,sso01-adamw-lr2e-5-base-2fg7kdwu - _step__MIN,sso01-adamw-lr2e-5-base-2fg7kdwu - _step__MAX,lr2e-5,sso01-adamw-lr2e-5-base-2fg7kdwu - training/f1_score-EEE__MIN,sso01-adamw-lr2e-5-base-2fg7kdwu - training/f1_score-EEE__MAX,sso01-adamw-lr1e-5-base-9kqvntjn - _step,sso01-adamw-lr1e-5-base-9kqvntjn - _step__MIN,sso01-adamw-lr1e-5-base-9kqvntjn - _step__MAX,lr1e-5,sso01-adamw-lr1e-5-base-9kqvntjn - training/f1_score-EEE__MIN,sso01-adamw-lr1e-5-base-9kqvntjn - training/f1_score-EEE__MAX,sso01-adamw-lr2e-4-base-14tz536k - _step,sso01-adamw-lr2e-4-base-14tz536k - _step__MIN,sso01-adamw-lr2e-4-base-14tz536k - _step__MAX,lr2e-4,sso01-adamw-lr2e-4-base-14tz536k - training/f1_score-EEE__MIN,sso01-adamw-lr2e-4-base-14tz536k - training/f1_score-EEE__MAX,sso01-adamw-base-rniq89vc - _step,sso01-adamw-base-rniq89vc - _step__MIN,sso01-adamw-base-rniq89vc - _step__MAX,lr4e-4,sso01-adamw-base-rniq89vc - training/f1_score-EEE__MIN,sso01-adamw-base-rniq89vc - training/f1_score-EEE__MAX
0,8,8,8,0.219710068,0.219710068,0.219710068,8,8,8,0.117352415,0.117352415,0.117352415,8,8,8,0.244417476,0.244417476,0.244417476,8,8,8,0.054295133,0.054295133,0.054295133,8,8,8,0.193078324,0.193078324,0.193078324,8,8,8,0.055459935,0.055459935,0.055459935
1,17,17,17,0.19849761,0.19849761,0.19849761,17,17,17,0.105964018,0.105964018,0.105964018,17,17,17,0.26524042,0.26524042,0.26524042,17,17,17,0.075591985,0.075591985,0.075591985,17,17,17,0.26476045,0.26476045,0.26476045,17,17,17,0.082150859,0.082150859,0.082150859
2,26,26,26,0.246364414,0.246364414,0.246364414,26,26,26,0.139496896,0.139496896,0.139496896,26,26,26,0.258229615,0.258229615,0.258229615,26,26,26,0.059232176,0.059232176,0.059232176,26,26,26,0.356523578,0.356523578,0.356523578,26,26,26,0.191529074,0.191529074,0.191529074
3,35,35,35,0.227977912,0.227977912,0.227977912,35,35,35,0.114025086,0.114025086,0.114025086,35,35,35,0.232140599,0.232140599,0.232140599,35,35,35,0.044867725,0.044867725,0.044867725,35,35,35,0.295983087,0.295983087,0.295983087,35,35,35,0.288243257,0.288243257,0.288243257
4,44,44,44,0.260572506,0.260572506,0.260572506,44,44,44,0.127916204,0.127916204,0.127916204,44,44,44,0.271604938,0.271604938,0.271604938,44,44,44,0.06758943,0.06758943,0.06758943,44,44,44,0.292570374,0.292570374,0.292570374,44,44,44,0.310204082,0.310204082,0.310204082
5,53,53,53,0.240680183,0.240680183,0.240680183,53,53,53,0.144216691,0.144216691,0.144216691,53,53,53,0.247063282,0.247063282,0.247063282,53,53,53,0.057547778,0.057547778,0.057547778,53,53,53,0.265522328,0.265522328,0.265522328,53,53,53,0.290546318,0.290546318,0.290546318
6,62,62,62,0.235248547,0.235248547,0.235248547,62,62,62,0.169120164,0.169120164,0.169120164,62,62,62,0.249970156,0.249970156,0.249970156,62,62,62,0.054789121,0.054789121,0.054789121,62,62,62,0.265293305,0.265293305,0.265293305,62,62,62,0.345702506,0.345702506,0.345702506
7,71,71,71,0.233096493,0.233096493,0.233096493,71,71,71,0.141695382,0.141695382,0.141695382,71,71,71,0.289186153,0.289186153,0.289186153,71,71,71,0.086191199,0.086191199,0.086191199,71,71,71,0.308643247,0.308643247,0.308643247,71,71,71,0.432887501,0.432887501,0.432887501
8,80,80,80,0.210694334,0.210694334,0.210694334,80,80,80,0.152864209,0.152864209,0.152864209,80,80,80,0.264091268,0.264091268,0.264091268,80,80,80,0.063941871,0.063941871,0.063941871,80,80,80,0.295724078,0.295724078,0.295724078,80,80,80,0.400795756,0.400795756,0.400795756
9,89,89,89,0.18742515,0.18742515,0.18742515,89,89,89,0.139960524,0.139960524,0.139960524,89,89,89,0.242261104,0.242261104,0.242261104,89,89,89,0.050683829,0.050683829,0.050683829,89,89,89,0.279441543,0.279441543,0.279441543,89,89,89,0.350849044,0.350849044,0.350849044
10,98,98,98,0.1856084,0.1856084,0.1856084,98,98,98,0.127606487,0.127606487,0.127606487,98,98,98,0.252291365,0.252291365,0.252291365,98,98,98,0.057593688,0.057593688,0.057593688,98,98,98,0.321231918,0.321231918,0.321231918,98,98,98,0.404561686,0.404561686,0.404561686
11,107,107,107,0.145260703,0.145260703,0.145260703,107,107,107,0.121710526,0.121710526,0.121710526,107,107,107,0.234581364,0.234581364,0.234581364,107,107,107,0.045704958,0.045704958,0.045704958,107,107,107,0.341254446,0.341254446,0.341254446,107,107,107,0.40042068,0.40042068,0.40042068
12,116,116,116,0.125701459,0.125701459,0.125701459,116,116,116,0.105408675,0.105408675,0.105408675,116,116,116,0.254215606,0.254215606,0.254215606,116,116,116,0.04338804,0.04338804,0.04338804,116,116,116,0.391692242,0.391692242,0.391692242,116,116,116,0.426470588,0.426470588,0.426470588
13,125,125,125,0.127794461,0.127794461,0.127794461,125,125,125,0.129923981,0.129923981,0.129923981,125,125,125,0.254832626,0.254832626,0.254832626,125,125,125,0.068900246,0.068900246,0.068900246,125,125,125,0.421327891,0.421327891,0.421327891,125,125,125,0.428755717,0.428755717,0.428755717
14,134,134,134,0.108431483,0.108431483,0.108431483,134,134,134,0.099521531,0.099521531,0.099521531,134,134,134,0.235760911,0.235760911,0.235760911,134,134,134,0.082930757,0.082930757,0.082930757,134,134,134,0.401424449,0.401424449,0.401424449,134,134,134,0.399694441,0.399694441,0.399694441
15,143,143,143,0.08294558,0.08294558,0.08294558,143,143,143,0.1,0.1,0.1,143,143,143,0.211316707,0.211316707,0.211316707,143,143,143,0.057514694,0.057514694,0.057514694,143,143,143,0.398318445,0.398318445,0.398318445,143,143,143,0.392382321,0.392382321,0.392382321
16,152,152,152,0.055555556,0.055555556,0.055555556,152,152,152,0.080457649,0.080457649,0.080457649,152,152,152,0.214196762,0.214196762,0.214196762,152,152,152,0.065111027,0.065111027,0.065111027,152,152,152,0.4379809,0.4379809,0.4379809,152,152,152,0.436074987,0.436074987,0.436074987
17,161,161,161,0.041841004,0.041841004,0.041841004,161,161,161,0.081226296,0.081226296,0.081226296,161,161,161,0.22062866,0.22062866,0.22062866,161,161,161,0.061168049,0.061168049,0.061168049,161,161,161,0.50375553,0.50375553,0.50375553,161,161,161,0.508561286,0.508561286,0.508561286
18,170,170,170,0.018469116,0.018469116,0.018469116,170,170,170,0.072924748,0.072924748,0.072924748,170,170,170,0.196115974,0.196115974,0.196115974,170,170,170,0.061299709,0.061299709,0.061299709,170,170,170,0.425529586,0.425529586,0.425529586,170,170,170,0.451507467,0.451507467,0.451507467
19,179,179,179,0.025560772,0.025560772,0.025560772,179,179,179,0.049462903,0.049462903,0.049462903,179,179,179,0.144449992,0.144449992,0.144449992,179,179,179,0.061989428,0.061989428,0.061989428,179,179,179,0.349018906,0.349018906,0.349018906,179,179,179,0.383242211,0.383242211,0.383242211
20,188,188,188,0.021861777,0.021861777,0.021861777,188,188,188,0.048854447,0.048854447,0.048854447,188,188,188,0.168854569,0.168854569,0.168854569,188,188,188,0.059286552,0.059286552,0.059286552,188,188,188,0.485919207,0.485919207,0.485919207,188,188,188,0.470263413,0.470263413,0.470263413
21,197,197,197,0.011780876,0.011780876,0.011780876,197,197,197,0.047619048,0.047619048,0.047619048,197,197,197,0.149797571,0.149797571,0.149797571,197,197,197,0.047838086,0.047838086,0.047838086,197,197,197,0.459205538,0.459205538,0.459205538,197,197,197,0.395699338,0.395699338,0.395699338
22,206,206,206,0.027070429,0.027070429,0.027070429,206,206,206,0.049093322,0.049093322,0.049093322,206,206,206,0.12797619,0.12797619,0.12797619,206,206,206,0.040869565,0.040869565,0.040869565,206,206,206,0.405073281,0.405073281,0.405073281,206,206,206,0.380008525,0.380008525,0.380008525
23,215,215,215,0.022165388,0.022165388,0.022165388,215,215,215,0.04653078,0.04653078,0.04653078,215,215,215,0.128555359,0.128555359,0.128555359,215,215,215,0.073214643,0.073214643,0.073214643,215,215,215,0.437385593,0.437385593,0.437385593,215,215,215,0.389830508,0.389830508,0.389830508
24,224,224,224,0.012559467,0.012559467,0.012559467,224,224,224,0.037192343,0.037192343,0.037192343,224,224,224,0.139020071,0.139020071,0.139020071,224,224,224,0.056372984,0.056372984,0.056372984,224,224,224,0.47891659,0.47891659,0.47891659,224,224,224,0.461650368,0.461650368,0.461650368
25,233,233,233,0.014656368,0.014656368,0.014656368,233,233,233,0.031339576,0.031339576,0.031339576,233,233,233,0.08854577,0.08854577,0.08854577,233,233,233,0.020884754,0.020884754,0.020884754,233,233,233,0.461680045,0.461680045,0.461680045,233,233,233,0.505865204,0.505865204,0.505865204
26,242,242,242,0.026003824,0.026003824,0.026003824,242,242,242,0.034977909,0.034977909,0.034977909,242,242,242,0.125248205,0.125248205,0.125248205,242,242,242,0.060530086,0.060530086,0.060530086,242,242,242,0.481679154,0.481679154,0.481679154,242,242,242,0.493473222,0.493473222,0.493473222
27,251,251,251,0.0256626,0.0256626,0.0256626,251,251,251,0.051910893,0.051910893,0.051910893,251,251,251,0.092143717,0.092143717,0.092143717,251,251,251,0.058859101,0.058859101,0.058859101,251,251,251,0.434918648,0.434918648,0.434918648,251,251,251,0.451522772,0.451522772,0.451522772
28,260,260,260,0.016143498,0.016143498,0.016143498,260,260,260,0.0257566,0.0257566,0.0257566,260,260,260,0.112420671,0.112420671,0.112420671,260,260,260,0.053093645,0.053093645,0.053093645,260,260,260,0.428325847,0.428325847,0.428325847,260,260,260,0.450816697,0.450816697,0.450816697
29,269,269,269,0.022677715,0.022677715,0.022677715,269,269,269,0.044648446,0.044648446,0.044648446,269,269,269,0.101305483,0.101305483,0.101305483,269,269,269,0.051007816,0.051007816,0.051007816,269,269,269,0.440607189,0.440607189,0.440607189,269,269,269,0.477673546,0.477673546,0.477673546
30,278,278,278,0.0279965,0.0279965,0.0279965,278,278,278,0.05361596,0.05361596,0.05361596,278,278,278,0.120742476,0.120742476,0.120742476,278,278,278,0.049790795,0.049790795,0.049790795,278,278,278,0.457718289,0.457718289,0.457718289,278,278,278,0.474919888,0.474919888,0.474919888
31,287,287,287,0.015138282,0.015138282,0.015138282,287,287,287,0.046728972,0.046728972,0.046728972,287,287,287,0.097581672,0.097581672,0.097581672,287,287,287,0.044707783,0.044707783,0.044707783,287,287,287,0.362013666,0.362013666,0.362013666,287,287,287,0.408795907,0.408795907,0.408795907
32,296,296,296,0.04335813,0.04335813,0.04335813,296,296,296,0.065620542,0.065620542,0.065620542,296,296,296,0.103602856,0.103602856,0.103602856,296,296,296,0.057545272,0.057545272,0.057545272,296,296,296,0.49250447,0.49250447,0.49250447,296,296,296,0.523196946,0.523196946,0.523196946
33,305,305,305,0.046491419,0.046491419,0.046491419,305,305,305,0.05300207,0.05300207,0.05300207,305,305,305,0.106631562,0.106631562,0.106631562,305,305,305,0.07073423,0.07073423,0.07073423,305,305,305,0.4576,0.4576,0.4576,305,305,305,0.448400131,0.448400131,0.448400131
34,314,314,314,0.032908913,0.032908913,0.032908913,314,314,314,0.055188055,0.055188055,0.055188055,314,314,314,0.116544935,0.116544935,0.116544935,314,314,314,0.032529659,0.032529659,0.032529659,314,314,314,0.453744493,0.453744493,0.453744493,314,314,314,0.483418609,0.483418609,0.483418609
35,323,323,323,0.02690206,0.02690206,0.02690206,323,323,323,0.059223689,0.059223689,0.059223689,323,323,323,0.134292566,0.134292566,0.134292566,323,323,323,0.037119225,0.037119225,0.037119225,323,323,323,0.458347107,0.458347107,0.458347107,323,323,323,0.506521551,0.506521551,0.506521551
36,332,332,332,0.028552309,0.028552309,0.028552309,332,332,332,0.052083333,0.052083333,0.052083333,332,332,332,0.13215418,0.13215418,0.13215418,332,332,332,0.046805819,0.046805819,0.046805819,332,332,332,0.427883397,0.427883397,0.427883397,332,332,332,0.45241833,0.45241833,0.45241833
37,341,341,341,0.039769754,0.039769754,0.039769754,341,341,341,0.081901397,0.081901397,0.081901397,341,341,341,0.119090782,0.119090782,0.119090782,341,341,341,0.031805746,0.031805746,0.031805746,341,341,341,0.579958276,0.579958276,0.579958276,341,341,341,0.58964983,0.58964983,0.58964983
38,350,350,350,0.041058394,0.041058394,0.041058394,350,350,350,0.081458274,0.081458274,0.081458274,350,350,350,0.141699411,0.141699411,0.141699411,350,350,350,0.096245833,0.096245833,0.096245833,350,350,350,0.620898849,0.620898849,0.620898849,350,350,350,0.598421905,0.598421905,0.598421905
39,359,359,359,0.015689894,0.015689894,0.015689894,359,359,359,0.081616482,0.081616482,0.081616482,359,359,359,0.147365148,0.147365148,0.147365148,359,359,359,0.049121321,0.049121321,0.049121321,359,359,359,0.463937622,0.463937622,0.463937622,359,359,359,0.466733871,0.466733871,0.466733871
40,368,368,368,0.03078635,0.03078635,0.03078635,368,368,368,0.11242892,0.11242892,0.11242892,368,368,368,0.155819606,0.155819606,0.155819606,368,368,368,0.063419762,0.063419762,0.063419762,368,368,368,0.578483021,0.578483021,0.578483021,368,368,368,0.570671804,0.570671804,0.570671804
41,377,377,377,0.011058209,0.011058209,0.011058209,377,377,377,0.112057127,0.112057127,0.112057127,377,377,377,0.160388534,0.160388534,0.160388534,377,377,377,0.037963508,0.037963508,0.037963508,377,377,377,0.600737832,0.600737832,0.600737832,377,377,377,0.616865563,0.616865563,0.616865563
42,386,386,386,0.015176666,0.015176666,0.015176666,386,386,386,0.114285714,0.114285714,0.114285714,386,386,386,0.159888233,0.159888233,0.159888233,386,386,386,0.046919535,0.046919535,0.046919535,386,386,386,0.468586592,0.468586592,0.468586592,386,386,386,0.478305258,0.478305258,0.478305258
43,395,395,395,0.021671258,0.021671258,0.021671258,395,395,395,0.115705029,0.115705029,0.115705029,395,395,395,0.160030924,0.160030924,0.160030924,395,395,395,0.045076283,0.045076283,0.045076283,395,395,395,0.495835647,0.495835647,0.495835647,395,395,395,0.500353257,0.500353257,0.500353257
44,404,404,404,0.033947624,0.033947624,0.033947624,404,404,404,0.132182781,0.132182781,0.132182781,404,404,404,0.154792746,0.154792746,0.154792746,404,404,404,0.044413919,0.044413919,0.044413919,404,404,404,0.462795212,0.462795212,0.462795212,404,404,404,0.508346709,0.508346709,0.508346709
45,413,413,413,0.020473157,0.020473157,0.020473157,413,413,413,0.132292828,0.132292828,0.132292828,413,413,413,0.162162162,0.162162162,0.162162162,413,413,413,0.029010239,0.029010239,0.029010239,413,413,413,0.535009295,0.535009295,0.535009295,413,413,413,0.56691358,0.56691358,0.56691358
46,422,422,422,0.052252623,0.052252623,0.052252623,422,422,422,0.17741169,0.17741169,0.17741169,422,422,422,0.15401662,0.15401662,0.15401662,422,422,422,0.028475381,0.028475381,0.028475381,422,422,422,0.579901684,0.579901684,0.579901684,422,422,422,0.606711004,0.606711004,0.606711004
47,431,431,431,0.028255239,0.028255239,0.028255239,431,431,431,0.185570527,0.185570527,0.185570527,431,431,431,0.162373146,0.162373146,0.162373146,431,431,431,0.045505242,0.045505242,0.045505242,431,431,431,0.481988528,0.481988528,0.481988528,431,431,431,0.482828656,0.482828656,0.482828656
48,440,440,440,0.03522308,0.03522308,0.03522308,440,440,440,0.218476746,0.218476746,0.218476746,440,440,440,0.205189813,0.205189813,0.205189813,440,440,440,0.034966188,0.034966188,0.034966188,440,440,440,0.503323584,0.503323584,0.503323584,440,440,440,0.456961904,0.456961904,0.456961904
49,449,449,449,0.02426649,0.02426649,0.02426649,449,449,449,0.216770097,0.216770097,0.216770097,449,449,449,0.195963814,0.195963814,0.195963814,449,449,449,0.072454716,0.072454716,0.072454716,449,449,449,0.497648851,0.497648851,0.497648851,449,449,449,0.472277699,0.472277699,0.472277699
50,458,458,458,0.027382833,0.027382833,0.027382833,458,458,458,0.207562613,0.207562613,0.207562613,458,458,458,0.18803681,0.18803681,0.18803681,458,458,458,0.044164038,0.044164038,0.044164038,458,458,458,0.464546,0.464546,0.464546,458,458,458,0.454435484,0.454435484,0.454435484
51,467,467,467,0.040322581,0.040322581,0.040322581,467,467,467,0.237089522,0.237089522,0.237089522,467,467,467,0.203580016,0.203580016,0.203580016,467,467,467,0.039927405,0.039927405,0.039927405,467,467,467,0.556207234,0.556207234,0.556207234,467,467,467,0.546007384,0.546007384,0.546007384
52,476,476,476,0.061040557,0.061040557,0.061040557,476,476,476,0.263363755,0.263363755,0.263363755,476,476,476,0.17232721,0.17232721,0.17232721,476,476,476,0.03495935,0.03495935,0.03495935,476,476,476,0.549204771,0.549204771,0.549204771,476,476,476,0.517578125,0.517578125,0.517578125
53,485,485,485,0.04079898,0.04079898,0.04079898,485,485,485,0.284838828,0.284838828,0.284838828,485,485,485,0.192847682,0.192847682,0.192847682,485,485,485,0.025635809,0.025635809,0.025635809,485,485,485,0.576227612,0.576227612,0.576227612,485,485,485,0.556286754,0.556286754,0.556286754
54,494,494,494,0.068396798,0.068396798,0.068396798,494,494,494,0.296993936,0.296993936,0.296993936,494,494,494,0.196796339,0.196796339,0.196796339,494,494,494,0.054267161,0.054267161,0.054267161,494,494,494,0.520227865,0.520227865,0.520227865,494,494,494,0.515878547,0.515878547,0.515878547
55,503,503,503,0.045365244,0.045365244,0.045365244,503,503,503,0.344672592,0.344672592,0.344672592,503,503,503,0.237874505,0.237874505,0.237874505,503,503,503,0.053651783,0.053651783,0.053651783,503,503,503,0.571230128,0.571230128,0.571230128,503,503,503,0.543535109,0.543535109,0.543535109
56,512,512,512,0.051128512,0.051128512,0.051128512,512,512,512,0.306209616,0.306209616,0.306209616,512,512,512,0.216422661,0.216422661,0.216422661,512,512,512,0.037910514,0.037910514,0.037910514,512,512,512,0.490798479,0.490798479,0.490798479,512,512,512,0.482092806,0.482092806,0.482092806
57,521,521,521,0.117708063,0.117708063,0.117708063,521,521,521,0.298823529,0.298823529,0.298823529,521,521,521,0.184122563,0.184122563,0.184122563,521,521,521,0.04600672,0.04600672,0.04600672,521,521,521,0.45630283,0.45630283,0.45630283,521,521,521,0.428103386,0.428103386,0.428103386
58,530,530,530,0.08477842,0.08477842,0.08477842,530,530,530,0.415030028,0.415030028,0.415030028,530,530,530,0.27480916,0.27480916,0.27480916,530,530,530,0.033110368,0.033110368,0.033110368,530,530,530,0.571885377,0.571885377,0.571885377,530,530,530,0.546757485,0.546757485,0.546757485
59,539,539,539,0.0783859,0.0783859,0.0783859,539,539,539,0.356872636,0.356872636,0.356872636,539,539,539,0.225337881,0.225337881,0.225337881,539,539,539,0.028625059,0.028625059,0.028625059,539,539,539,0.544030659,0.544030659,0.544030659,539,539,539,0.495878668,0.495878668,0.495878668
60,548,548,548,0.148521505,0.148521505,0.148521505,548,548,548,0.416281497,0.416281497,0.416281497,548,548,548,0.269576662,0.269576662,0.269576662,548,548,548,0.033290179,0.033290179,0.033290179,548,548,548,0.588685601,0.588685601,0.588685601,548,548,548,0.55733878,0.55733878,0.55733878
61,557,557,557,0.149417409,0.149417409,0.149417409,557,557,557,0.414039093,0.414039093,0.414039093,557,557,557,0.26323687,0.26323687,0.26323687,557,557,557,0.036524626,0.036524626,0.036524626,557,557,557,0.584503931,0.584503931,0.584503931,557,557,557,0.563744324,0.563744324,0.563744324
62,566,566,566,0.221949078,0.221949078,0.221949078,566,566,566,0.402744033,0.402744033,0.402744033,566,566,566,0.258812827,0.258812827,0.258812827,566,566,566,0.046325542,0.046325542,0.046325542,566,566,566,0.575032175,0.575032175,0.575032175,566,566,566,0.543299755,0.543299755,0.543299755
63,575,575,575,0.332176372,0.332176372,0.332176372,575,575,575,0.48820538,0.48820538,0.48820538,575,575,575,0.302065568,0.302065568,0.302065568,575,575,575,0.049443353,0.049443353,0.049443353,575,575,575,0.620736606,0.620736606,0.620736606,575,575,575,0.58744023,0.58744023,0.58744023
64,584,584,584,0.409255785,0.409255785,0.409255785,584,584,584,0.460016988,0.460016988,0.460016988,584,584,584,0.298917812,0.298917812,0.298917812,584,584,584,0.05997819,0.05997819,0.05997819,584,584,584,0.57352569,0.57352569,0.57352569,584,584,584,0.541678957,0.541678957,0.541678957
65,593,593,593,0.355249042,0.355249042,0.355249042,593,593,593,0.339300244,0.339300244,0.339300244,593,593,593,0.223321067,0.223321067,0.223321067,593,593,593,0.064914992,0.064914992,0.064914992,593,593,593,0.445077177,0.445077177,0.445077177,593,593,593,0.421491293,0.421491293,0.421491293
66,602,602,602,0.416462633,0.416462633,0.416462633,602,602,602,0.441616676,0.441616676,0.441616676,602,602,602,0.312322544,0.312322544,0.312322544,602,602,602,0.030602363,0.030602363,0.030602363,602,602,602,0.602855334,0.602855334,0.602855334,602,602,602,0.574313576,0.574313576,0.574313576
67,611,611,611,0.463009234,0.463009234,0.463009234,611,611,611,0.421199611,0.421199611,0.421199611,611,611,611,0.305821524,0.305821524,0.305821524,611,611,611,0.027145542,0.027145542,0.027145542,611,611,611,0.60952072,0.60952072,0.60952072,611,611,611,0.588325506,0.588325506,0.588325506
68,620,620,620,0.452351987,0.452351987,0.452351987,620,620,620,0.408356614,0.408356614,0.408356614,620,620,620,0.320565266,0.320565266,0.320565266,620,620,620,0.043084877,0.043084877,0.043084877,620,620,620,0.548878544,0.548878544,0.548878544,620,620,620,0.538916635,0.538916635,0.538916635
69,629,629,629,0.475370551,0.475370551,0.475370551,629,629,629,0.443428968,0.443428968,0.443428968,629,629,629,0.344869043,0.344869043,0.344869043,629,629,629,0.05377176,0.05377176,0.05377176,629,629,629,0.615869854,0.615869854,0.615869854,629,629,629,0.575753012,0.575753012,0.575753012
70,638,638,638,0.504983898,0.504983898,0.504983898,638,638,638,0.479036624,0.479036624,0.479036624,638,638,638,0.37653045,0.37653045,0.37653045,638,638,638,0.049245708,0.049245708,0.049245708,638,638,638,0.595879352,0.595879352,0.595879352,638,638,638,0.574460848,0.574460848,0.574460848
71,647,647,647,0.557806525,0.557806525,0.557806525,647,647,647,0.480837413,0.480837413,0.480837413,647,647,647,0.377593039,0.377593039,0.377593039,647,647,647,0.027017291,0.027017291,0.027017291,647,647,647,0.600751587,0.600751587,0.600751587,647,647,647,0.603227927,0.603227927,0.603227927
72,656,656,656,0.519223147,0.519223147,0.519223147,656,656,656,0.467443685,0.467443685,0.467443685,656,656,656,0.387628554,0.387628554,0.387628554,656,656,656,0.026848106,0.026848106,0.026848106,656,656,656,0.571159537,0.571159537,0.571159537,656,656,656,0.564259903,0.564259903,0.564259903
