training_step,sso01-adamw-lr5e-5-base-291mo307 - _step,sso01-adamw-lr5e-5-base-291mo307 - _step__MIN,sso01-adamw-lr5e-5-base-291mo307 - _step__MAX,eps1e-8,sso01-adamw-lr5e-5-base-291mo307 - training/f1_score-EEE__MIN,sso01-adamw-lr5e-5-base-291mo307 - training/f1_score-EEE__MAX,sso01-adamw-lr5e-5.eps1e-6-base-99y3e23k - _step,sso01-adamw-lr5e-5.eps1e-6-base-99y3e23k - _step__MIN,sso01-adamw-lr5e-5.eps1e-6-base-99y3e23k - _step__MAX,eps1e-6,sso01-adamw-lr5e-5.eps1e-6-base-99y3e23k - training/f1_score-EEE__MIN,sso01-adamw-lr5e-5.eps1e-6-base-99y3e23k - training/f1_score-EEE__MAX
0,8,8,8,0.219710068,0.219710068,0.219710068,8,8,8,0.071348941,0.071348941,0.071348941
1,17,17,17,0.19849761,0.19849761,0.19849761,17,17,17,0.072109654,0.072109654,0.072109654
2,26,26,26,0.246364414,0.246364414,0.246364414,26,26,26,0.070339135,0.070339135,0.070339135
3,35,35,35,0.227977912,0.227977912,0.227977912,35,35,35,0.066733267,0.066733267,0.066733267
4,44,44,44,0.260572506,0.260572506,0.260572506,44,44,44,0.076071923,0.076071923,0.076071923
5,53,53,53,0.240680183,0.240680183,0.240680183,53,53,53,0.060775862,0.060775862,0.060775862
6,62,62,62,0.235248547,0.235248547,0.235248547,62,62,62,0.052323311,0.052323311,0.052323311
7,71,71,71,0.233096493,0.233096493,0.233096493,71,71,71,0.056255764,0.056255764,0.056255764
8,80,80,80,0.210694334,0.210694334,0.210694334,80,80,80,0.057391936,0.057391936,0.057391936
9,89,89,89,0.18742515,0.18742515,0.18742515,89,89,89,0.050051282,0.050051282,0.050051282
10,98,98,98,0.1856084,0.1856084,0.1856084,98,98,98,0.045615415,0.045615415,0.045615415
11,107,107,107,0.145260703,0.145260703,0.145260703,107,107,107,0.055884153,0.055884153,0.055884153
12,116,116,116,0.125701459,0.125701459,0.125701459,116,116,116,0.050268611,0.050268611,0.050268611
13,125,125,125,0.127794461,0.127794461,0.127794461,125,125,125,0.051497234,0.051497234,0.051497234
14,134,134,134,0.108431483,0.108431483,0.108431483,134,134,134,0.043701799,0.043701799,0.043701799
15,143,143,143,0.08294558,0.08294558,0.08294558,143,143,143,0.048906049,0.048906049,0.048906049
16,152,152,152,0.055555556,0.055555556,0.055555556,152,152,152,0.052732136,0.052732136,0.052732136
17,161,161,161,0.041841004,0.041841004,0.041841004,161,161,161,0.054419525,0.054419525,0.054419525
18,170,170,170,0.018469116,0.018469116,0.018469116,170,170,170,0.047685835,0.047685835,0.047685835
19,179,179,179,0.025560772,0.025560772,0.025560772,179,179,179,0.040931184,0.040931184,0.040931184
20,188,188,188,0.021861777,0.021861777,0.021861777,188,188,188,0.045532352,0.045532352,0.045532352
21,197,197,197,0.011780876,0.011780876,0.011780876,197,197,197,0.046396653,0.046396653,0.046396653
22,206,206,206,0.027070429,0.027070429,0.027070429,206,206,206,0.044365572,0.044365572,0.044365572
23,215,215,215,0.022165388,0.022165388,0.022165388,215,215,215,0.054163298,0.054163298,0.054163298
24,224,224,224,0.012559467,0.012559467,0.012559467,224,224,224,0.052958948,0.052958948,0.052958948
25,233,233,233,0.014656368,0.014656368,0.014656368,233,233,233,0.067395264,0.067395264,0.067395264
26,242,242,242,0.026003824,0.026003824,0.026003824,242,242,242,0.068916519,0.068916519,0.068916519
27,251,251,251,0.0256626,0.0256626,0.0256626,251,251,251,0.070946597,0.070946597,0.070946597
28,260,260,260,0.016143498,0.016143498,0.016143498,260,260,260,0.078983925,0.078983925,0.078983925
29,269,269,269,0.022677715,0.022677715,0.022677715,269,269,269,0.111131829,0.111131829,0.111131829
30,278,278,278,0.0279965,0.0279965,0.0279965,278,278,278,0.107249626,0.107249626,0.107249626
31,287,287,287,0.015138282,0.015138282,0.015138282,287,287,287,0.109835697,0.109835697,0.109835697
32,296,296,296,0.04335813,0.04335813,0.04335813,296,296,296,0.14215934,0.14215934,0.14215934
33,305,305,305,0.046491419,0.046491419,0.046491419,305,305,305,0.149838243,0.149838243,0.149838243
34,314,314,314,0.032908913,0.032908913,0.032908913,314,314,314,0.185190637,0.185190637,0.185190637
35,323,323,323,0.02690206,0.02690206,0.02690206,323,323,323,0.212740915,0.212740915,0.212740915
36,332,332,332,0.028552309,0.028552309,0.028552309,332,332,332,0.185705917,0.185705917,0.185705917
37,341,341,341,0.039769754,0.039769754,0.039769754,341,341,341,0.254307784,0.254307784,0.254307784
38,350,350,350,0.041058394,0.041058394,0.041058394,350,350,350,0.300339932,0.300339932,0.300339932
