training_step,sso01-adamw-lr5e-5-base-291mo307 - _step,sso01-adamw-lr5e-5-base-291mo307 - _step__MIN,sso01-adamw-lr5e-5-base-291mo307 - _step__MAX,eps1e-8,sso01-adamw-lr5e-5-base-291mo307 - training/f1_score-iii__MIN,sso01-adamw-lr5e-5-base-291mo307 - training/f1_score-iii__MAX,sso01-adamw-lr5e-5.eps1e-6-base-99y3e23k - _step,sso01-adamw-lr5e-5.eps1e-6-base-99y3e23k - _step__MIN,sso01-adamw-lr5e-5.eps1e-6-base-99y3e23k - _step__MAX,eps1e-6,sso01-adamw-lr5e-5.eps1e-6-base-99y3e23k - training/f1_score-iii__MIN,sso01-adamw-lr5e-5.eps1e-6-base-99y3e23k - training/f1_score-iii__MAX
0,1,1,1,0.304808025,0.304808025,0.304808025,1,1,1,0.113454778,0.113454778,0.113454778
1,10,10,10,0.285825971,0.285825971,0.285825971,10,10,10,0.099776086,0.099776086,0.099776086
2,19,19,19,0.290294875,0.290294875,0.290294875,19,19,19,0.108904444,0.108904444,0.108904444
3,28,28,28,0.327671017,0.327671017,0.327671017,28,28,28,0.087648774,0.087648774,0.087648774
4,37,37,37,0.303060287,0.303060287,0.303060287,37,37,37,0.084298908,0.084298908,0.084298908
5,46,46,46,0.304790895,0.304790895,0.304790895,46,46,46,0.077877487,0.077877487,0.077877487
6,55,55,55,0.321406749,0.321406749,0.321406749,55,55,55,0.074273588,0.074273588,0.074273588
7,64,64,64,0.313316716,0.313316716,0.313316716,64,64,64,0.066500416,0.066500416,0.066500416
8,73,73,73,0.334237052,0.334237052,0.334237052,73,73,73,0.063276067,0.063276067,0.063276067
9,82,82,82,0.334794739,0.334794739,0.334794739,82,82,82,0.049651782,0.049651782,0.049651782
10,91,91,91,0.35615165,0.35615165,0.35615165,91,91,91,0.048020008,0.048020008,0.048020008
11,100,100,100,0.366113129,0.366113129,0.366113129,100,100,100,0.04387267,0.04387267,0.04387267
12,109,109,109,0.335654879,0.335654879,0.335654879,109,109,109,0.051542896,0.051542896,0.051542896
13,118,118,118,0.352837241,0.352837241,0.352837241,118,118,118,0.047361299,0.047361299,0.047361299
14,127,127,127,0.32922252,0.32922252,0.32922252,127,127,127,0.05265724,0.05265724,0.05265724
15,136,136,136,0.393783044,0.393783044,0.393783044,136,136,136,0.070209031,0.070209031,0.070209031
16,145,145,145,0.341383545,0.341383545,0.341383545,145,145,145,0.062940584,0.062940584,0.062940584
17,154,154,154,0.340017437,0.340017437,0.340017437,154,154,154,0.056872899,0.056872899,0.056872899
18,163,163,163,0.316391185,0.316391185,0.316391185,163,163,163,0.0562749,0.0562749,0.0562749
19,172,172,172,0.376692605,0.376692605,0.376692605,172,172,172,0.075707405,0.075707405,0.075707405
20,181,181,181,0.350454449,0.350454449,0.350454449,181,181,181,0.045479155,0.045479155,0.045479155
21,190,190,190,0.380825388,0.380825388,0.380825388,190,190,190,0.064050289,0.064050289,0.064050289
