training_step,sso01-adamw-lr5e-5-base-291mo307 - _step,sso01-adamw-lr5e-5-base-291mo307 - _step__MIN,sso01-adamw-lr5e-5-base-291mo307 - _step__MAX,lr5e-5,sso01-adamw-lr5e-5-base-291mo307 - training/f1_score-iii__MIN,sso01-adamw-lr5e-5-base-291mo307 - training/f1_score-iii__MAX,sso01-adamw-lr3e-5-base-s2rvguqj - _step,sso01-adamw-lr3e-5-base-s2rvguqj - _step__MIN,sso01-adamw-lr3e-5-base-s2rvguqj - _step__MAX,lr3e-5,sso01-adamw-lr3e-5-base-s2rvguqj - training/f1_score-iii__MIN,sso01-adamw-lr3e-5-base-s2rvguqj - training/f1_score-iii__MAX,sso01-adamw-lr2e-5-base-2fg7kdwu - _step,sso01-adamw-lr2e-5-base-2fg7kdwu - _step__MIN,sso01-adamw-lr2e-5-base-2fg7kdwu - _step__MAX,lr2e-5,sso01-adamw-lr2e-5-base-2fg7kdwu - training/f1_score-iii__MIN,sso01-adamw-lr2e-5-base-2fg7kdwu - training/f1_score-iii__MAX,sso01-adamw-lr1e-5-base-9kqvntjn - _step,sso01-adamw-lr1e-5-base-9kqvntjn - _step__MIN,sso01-adamw-lr1e-5-base-9kqvntjn - _step__MAX,lr1e-5,sso01-adamw-lr1e-5-base-9kqvntjn - training/f1_score-iii__MIN,sso01-adamw-lr1e-5-base-9kqvntjn - training/f1_score-iii__MAX,sso01-adamw-lr2e-4-base-14tz536k - _step,sso01-adamw-lr2e-4-base-14tz536k - _step__MIN,sso01-adamw-lr2e-4-base-14tz536k - _step__MAX,lr2e-4,sso01-adamw-lr2e-4-base-14tz536k - training/f1_score-iii__MIN,sso01-adamw-lr2e-4-base-14tz536k - training/f1_score-iii__MAX,sso01-adamw-base-rniq89vc - _step,sso01-adamw-base-rniq89vc - _step__MIN,sso01-adamw-base-rniq89vc - _step__MAX,lr4e-4,sso01-adamw-base-rniq89vc - training/f1_score-iii__MIN,sso01-adamw-base-rniq89vc - training/f1_score-iii__MAX
0,1,1,1,0.304808025,0.304808025,0.304808025,1,1,1,0.03720301,0.03720301,0.03720301,1,1,1,0.01479061,0.01479061,0.01479061,1,1,1,0.189597823,0.189597823,0.189597823,1,1,1,0.014447884,0.014447884,0.014447884,1,1,1,0.080280085,0.080280085,0.080280085
1,10,10,10,0.285825971,0.285825971,0.285825971,10,10,10,0.044718143,0.044718143,0.044718143,10,10,10,0.016761391,0.016761391,0.016761391,10,10,10,0.180703398,0.180703398,0.180703398,10,10,10,0.029770992,0.029770992,0.029770992,10,10,10,0.050367855,0.050367855,0.050367855
2,19,19,19,0.290294875,0.290294875,0.290294875,19,19,19,0.033464905,0.033464905,0.033464905,19,19,19,0.01684174,0.01684174,0.01684174,19,19,19,0.207372573,0.207372573,0.207372573,19,19,19,0.016168289,0.016168289,0.016168289,19,19,19,0.012732188,0.012732188,0.012732188
3,28,28,28,0.327671017,0.327671017,0.327671017,28,28,28,0.030615586,0.030615586,0.030615586,28,28,28,0.014247846,0.014247846,0.014247846,28,28,28,0.221197503,0.221197503,0.221197503,28,28,28,0.009807996,0.009807996,0.009807996,28,28,28,0.00914837,0.00914837,0.00914837
4,37,37,37,0.303060287,0.303060287,0.303060287,37,37,37,0.032938306,0.032938306,0.032938306,37,37,37,0.010445251,0.010445251,0.010445251,37,37,37,0.218112922,0.218112922,0.218112922,37,37,37,0.009941417,0.009941417,0.009941417,37,37,37,0.013296694,0.013296694,0.013296694
5,46,46,46,0.304790895,0.304790895,0.304790895,46,46,46,0.031212485,0.031212485,0.031212485,46,46,46,0.009277344,0.009277344,0.009277344,46,46,46,0.226809876,0.226809876,0.226809876,46,46,46,0.010415819,0.010415819,0.010415819,46,46,46,0.008643888,0.008643888,0.008643888
6,55,55,55,0.321406749,0.321406749,0.321406749,55,55,55,0.031987942,0.031987942,0.031987942,55,55,55,0.012219959,0.012219959,0.012219959,55,55,55,0.222561863,0.222561863,0.222561863,55,55,55,0.010376797,0.010376797,0.010376797,55,55,55,0.004265484,0.004265484,0.004265484
7,64,64,64,0.313316716,0.313316716,0.313316716,64,64,64,0.036886409,0.036886409,0.036886409,64,64,64,0.01461117,0.01461117,0.01461117,64,64,64,0.231086657,0.231086657,0.231086657,64,64,64,0.023400786,0.023400786,0.023400786,64,64,64,0.016365037,0.016365037,0.016365037
8,73,73,73,0.334237052,0.334237052,0.334237052,73,73,73,0.032533055,0.032533055,0.032533055,73,73,73,0.011309419,0.011309419,0.011309419,73,73,73,0.225337331,0.225337331,0.225337331,73,73,73,0.012369677,0.012369677,0.012369677,73,73,73,0.014128035,0.014128035,0.014128035
9,82,82,82,0.334794739,0.334794739,0.334794739,82,82,82,0.025417393,0.025417393,0.025417393,82,82,82,0.005890768,0.005890768,0.005890768,82,82,82,0.250439676,0.250439676,0.250439676,82,82,82,0.003372966,0.003372966,0.003372966,82,82,82,0.001857324,0.001857324,0.001857324
10,91,91,91,0.35615165,0.35615165,0.35615165,91,91,91,0.025154047,0.025154047,0.025154047,91,91,91,0.005642955,0.005642955,0.005642955,91,91,91,0.244839036,0.244839036,0.244839036,91,91,91,0.011106365,0.011106365,0.011106365,91,91,91,0.004457398,0.004457398,0.004457398
