validation_step,sso01-adamw-lr5e-5-base-291mo307 - _step,sso01-adamw-lr5e-5-base-291mo307 - _step__MIN,sso01-adamw-lr5e-5-base-291mo307 - _step__MAX,ft-Eii,sso01-adamw-lr5e-5-base-291mo307 - validation/f1_score-Eii__MIN,sso01-adamw-lr5e-5-base-291mo307 - validation/f1_score-Eii__MAX,ft-iEE,sso01-adamw-lr5e-5-base-291mo307 - validation/f1_score-iEE__MIN,sso01-adamw-lr5e-5-base-291mo307 - validation/f1_score-iEE__MAX,ft-iEi,sso01-adamw-lr5e-5-base-291mo307 - validation/f1_score-iEi__MIN,sso01-adamw-lr5e-5-base-291mo307 - validation/f1_score-iEi__MAX,ft-EEi,sso01-adamw-lr5e-5-base-291mo307 - validation/f1_score-EEi__MIN,sso01-adamw-lr5e-5-base-291mo307 - validation/f1_score-EEi__MAX,ft-iiE,sso01-adamw-lr5e-5-base-291mo307 - validation/f1_score-iiE__MIN,sso01-adamw-lr5e-5-base-291mo307 - validation/f1_score-iiE__MAX,ft-EiE,sso01-adamw-lr5e-5-base-291mo307 - validation/f1_score-EiE__MIN,sso01-adamw-lr5e-5-base-291mo307 - validation/f1_score-EiE__MAX,ft-iii,sso01-adamw-lr5e-5-base-291mo307 - validation/f1_score-iii__MIN,sso01-adamw-lr5e-5-base-291mo307 - validation/f1_score-iii__MAX,ft-EEE,sso01-adamw-lr5e-5-base-291mo307 - validation/f1_score-EEE__MIN,sso01-adamw-lr5e-5-base-291mo307 - validation/f1_score-EEE__MAX,sso01-adamw-lr2e-4-freeze.base-2xdgctfn - _step,sso01-adamw-lr2e-4-freeze.base-2xdgctfn - _step__MIN,sso01-adamw-lr2e-4-freeze.base-2xdgctfn - _step__MAX,fb-Eii,sso01-adamw-lr2e-4-freeze.base-2xdgctfn - validation/f1_score-Eii__MIN,sso01-adamw-lr2e-4-freeze.base-2xdgctfn - validation/f1_score-Eii__MAX,fb-iEE,sso01-adamw-lr2e-4-freeze.base-2xdgctfn - validation/f1_score-iEE__MIN,sso01-adamw-lr2e-4-freeze.base-2xdgctfn - validation/f1_score-iEE__MAX,fb-iEi,sso01-adamw-lr2e-4-freeze.base-2xdgctfn - validation/f1_score-iEi__MIN,sso01-adamw-lr2e-4-freeze.base-2xdgctfn - validation/f1_score-iEi__MAX,fb-EEi,sso01-adamw-lr2e-4-freeze.base-2xdgctfn - validation/f1_score-EEi__MIN,sso01-adamw-lr2e-4-freeze.base-2xdgctfn - validation/f1_score-EEi__MAX,fb-iiE,sso01-adamw-lr2e-4-freeze.base-2xdgctfn - validation/f1_score-iiE__MIN,sso01-adamw-lr2e-4-freeze.base-2xdgctfn - validation/f1_score-iiE__MAX,fb-EiE,sso01-adamw-lr2e-4-freeze.base-2xdgctfn - validation/f1_score-EiE__MIN,sso01-adamw-lr2e-4-freeze.base-2xdgctfn - validation/f1_score-EiE__MAX,fb-iii,sso01-adamw-lr2e-4-freeze.base-2xdgctfn - validation/f1_score-iii__MIN,sso01-adamw-lr2e-4-freeze.base-2xdgctfn - validation/f1_score-iii__MAX,fb-EEE,sso01-adamw-lr2e-4-freeze.base-2xdgctfn - validation/f1_score-EEE__MIN,sso01-adamw-lr2e-4-freeze.base-2xdgctfn - validation/f1_score-EEE__MAX
0,19939.5,19936,19943,0.542372881,0.542372881,0.542372881,0,0,0,0,0,0,0.666666667,0.666666667,0.666666667,0,0,0,0,0,0,0.993177166,0.993177166,0.993177166,0.98448135,0.98448135,0.98448135,19939.5,19936,19943,0.105960265,0.105960265,0.105960265,0,0,0,0,0,0,0.073647871,0.073647871,0.073647871,0,0,0,0,0,0,0.000213129,0.000213129,0.000213129,0.535714286,0.535714286,0.535714286
1,19947.5,19944,19951,0.914285714,0.914285714,0.914285714,0,0,0,0,0,0,0.984615385,0.984615385,0.984615385,0,0,0,0,0,0,0.996202969,0.996202969,0.996202969,0.969218627,0.969218627,0.969218627,19947.5,19944,19951,0.168421053,0.168421053,0.168421053,0,0,0,0,0,0,0.118081181,0.118081181,0.118081181,0,0,0,0,0,0,0.038473099,0.038473099,0.038473099,0.319035295,0.319035295,0.319035295
2,19955.5,19952,19959,0.711111111,0.711111111,0.711111111,0.5,0.5,0.5,0,0,0,0.731707317,0.731707317,0.731707317,0.46728972,0.46728972,0.46728972,0,0,0,0.995102707,0.995102707,0.995102707,0.990825688,0.990825688,0.990825688,19955.5,19952,19959,0.058287796,0.058287796,0.058287796,0.072150072,0.072150072,0.072150072,0,0,0,0.051107325,0.051107325,0.051107325,0.067024129,0.067024129,0.067024129,0,0,0,0.724193824,0.724193824,0.724193824,0.295725721,0.295725721,0.295725721
3,19963.5,19960,19967,0.60952381,0.60952381,0.60952381,0.542372881,0.542372881,0.542372881,0,0,0,0.666666667,0.666666667,0.666666667,0.516129032,0.516129032,0.516129032,0,0,0,0.988386331,0.988386331,0.988386331,0.9759817,0.9759817,0.9759817,19963.5,19960,19967,0.09495549,0.09495549,0.09495549,0.094674556,0.094674556,0.094674556,0,0,0,0.09538003,0.09538003,0.09538003,0.071190211,0.071190211,0.071190211,0,0,0,0.864520428,0.864520428,0.864520428,0.726922403,0.726922403,0.726922403
4,19971.5,19968,19975,0.520325203,0.520325203,0.520325203,0.556521739,0.556521739,0.556521739,0,0,0,0.533333333,0.533333333,0.533333333,0.484848485,0.484848485,0.484848485,0,0,0,0.985110185,0.985110185,0.985110185,0.968596292,0.968596292,0.968596292,19971.5,19968,19975,0.095665172,0.095665172,0.095665172,0.098461538,0.098461538,0.098461538,0,0,0,0.1024,0.1024,0.1024,0.072976055,0.072976055,0.072976055,0,0,0,0.86861647,0.86861647,0.86861647,0.736786839,0.736786839,0.736786839
5,19979.5,19976,19983,0.404494382,0.404494382,0.404494382,0.56,0.56,0.56,0,0,0,0.336448598,0.336448598,0.336448598,0.56,0.56,0.56,0,0,0,0.994703707,0.994703707,0.994703707,0.975462764,0.975462764,0.975462764,19979.5,19976,19983,0.064516129,0.064516129,0.064516129,0.041176471,0.041176471,0.041176471,0,0,0,0.069902913,0.069902913,0.069902913,0.027105518,0.027105518,0.027105518,0,0,0,0.893946521,0.893946521,0.893946521,0.671177267,0.671177267,0.671177267
6,19987.5,19984,19991,0.8,0.8,0.8,0.547008547,0.547008547,0.547008547,0,0,0,0.811594203,0.811594203,0.811594203,0.507936508,0.507936508,0.507936508,0,0,0,0.994652001,0.994652001,0.994652001,0.999830307,0.999830307,0.999830307,19987.5,19984,19991,0.141772152,0.141772152,0.141772152,0.057866184,0.057866184,0.057866184,0,0,0,0.093023256,0.093023256,0.093023256,0.053781513,0.053781513,0.053781513,0,0,0,0.853016075,0.853016075,0.853016075,0.478766311,0.478766311,0.478766311
7,19995.5,19992,19999,0.96969697,0.96969697,0.96969697,0.421052632,0.421052632,0.421052632,0,0,0,1,1,1,0.405063291,0.405063291,0.405063291,0,0,0,0.992801348,0.992801348,0.992801348,0.999342538,0.999342538,0.999342538,19995.5,19992,19999,0.143497758,0.143497758,0.143497758,0.049230769,0.049230769,0.049230769,0,0,0,0.081841432,0.081841432,0.081841432,0.0489671,0.0489671,0.0489671,0,0,0,0.756716614,0.756716614,0.756716614,0.381467704,0.381467704,0.381467704
8,20003.5,20000,20007,0.703296703,0.703296703,0.703296703,0.310077519,0.310077519,0.310077519,0,0,0,0.831168831,0.831168831,0.831168831,0.294117647,0.294117647,0.294117647,0,0,0,0.991195534,0.991195534,0.991195534,0.988759971,0.988759971,0.988759971,20003.5,20000,20007,0.161616162,0.161616162,0.161616162,0.028449502,0.028449502,0.028449502,0,0,0,0.08815427,0.08815427,0.08815427,0.033030553,0.033030553,0.033030553,0,0,0,0.730586722,0.730586722,0.730586722,0.364924433,0.364924433,0.364924433
9,20011.5,20008,20015,0.461538462,0.461538462,0.461538462,0.474226804,0.474226804,0.474226804,0,0,0,0.727272727,0.727272727,0.727272727,0.446601942,0.446601942,0.446601942,0,0,0,0.994107861,0.994107861,0.994107861,0.983271902,0.983271902,0.983271902,20011.5,20008,20015,0.030201342,0.030201342,0.030201342,0.066957787,0.066957787,0.066957787,0,0,0,0.027303754,0.027303754,0.027303754,0.046747967,0.046747967,0.046747967,0,0,0,0.862039747,0.862039747,0.862039747,0.639811666,0.639811666,0.639811666
10,20019.5,20016,20023,0.480769231,0.480769231,0.480769231,0.52892562,0.52892562,0.52892562,0,0,0,0.571428571,0.571428571,0.571428571,0.633663366,0.633663366,0.633663366,0,0,0,0.989367553,0.989367553,0.989367553,0.995482072,0.995482072,0.995482072,20019.5,20016,20023,0.088809947,0.088809947,0.088809947,0.102728732,0.102728732,0.102728732,0,0,0,0.079113924,0.079113924,0.079113924,0.078527607,0.078527607,0.078527607,0,0,0,0.871616436,0.871616436,0.871616436,0.889525994,0.889525994,0.889525994
11,20027.5,20024,20031,0.64,0.64,0.64,0.810126582,0.810126582,0.810126582,0,0,0,0.653061224,0.653061224,0.653061224,0.688172043,0.688172043,0.688172043,0,0,0,0.994175834,0.994175834,0.994175834,0.998871756,0.998871756,0.998871756,20027.5,20024,20031,0.125984252,0.125984252,0.125984252,0.105090312,0.105090312,0.105090312,0,0,0,0.117216117,0.117216117,0.117216117,0.071428571,0.071428571,0.071428571,0,0,0,0.897399718,0.897399718,0.897399718,0.887369346,0.887369346,0.887369346
12,20035.5,20032,20039,0.62745098,0.62745098,0.62745098,0.09929078,0.09929078,0.09929078,0,0,0,0.646464646,0.646464646,0.646464646,0.102189781,0.102189781,0.102189781,0,0,0,0.984182637,0.984182637,0.984182637,0.968847352,0.968847352,0.968847352,20035.5,20032,20039,0.12749004,0.12749004,0.12749004,0.036363636,0.036363636,0.036363636,0,0,0,0.150943396,0.150943396,0.150943396,0.014056225,0.014056225,0.014056225,0,0,0,0.915861021,0.915861021,0.915861021,0.875413783,0.875413783,0.875413783
13,20043.5,20040,20047,0.24137931,0.24137931,0.24137931,0.609756098,0.609756098,0.609756098,0,0,0,0.285714286,0.285714286,0.285714286,0.537634409,0.537634409,0.537634409,0,0,0,0.992450098,0.992450098,0.992450098,0.971053417,0.971053417,0.971053417,20043.5,20040,20047,0.026465028,0.026465028,0.026465028,0.03990423,0.03990423,0.03990423,0,0,0,0.018494055,0.018494055,0.018494055,0.043706294,0.043706294,0.043706294,0,0,0,0.672296229,0.672296229,0.672296229,0.353787434,0.353787434,0.353787434
14,20051.5,20048,20055,0.348623853,0.348623853,0.348623853,0.703296703,0.703296703,0.703296703,0,0,0,0.404255319,0.404255319,0.404255319,0.771084337,0.771084337,0.771084337,0,0,0,0.993134795,0.993134795,0.993134795,0.99084545,0.99084545,0.99084545,20051.5,20048,20055,0.055882353,0.055882353,0.055882353,0.042981867,0.042981867,0.042981867,0,0,0,0.042410714,0.042410714,0.042410714,0.058715596,0.058715596,0.058715596,0,0,0,0.50840628,0.50840628,0.50840628,0.603505784,0.603505784,0.603505784
15,20059.5,20056,20063,0.481203008,0.481203008,0.481203008,0.831168831,0.831168831,0.831168831,0,0,0,0.507936508,0.507936508,0.507936508,0.853333333,0.853333333,0.853333333,0,0,0,0.995432015,0.995432015,0.995432015,0.99442108,0.99442108,0.99442108,20059.5,20056,20063,0.110726644,0.110726644,0.110726644,0.052892562,0.052892562,0.052892562,0,0,0,0.099843994,0.099843994,0.099843994,0.077669903,0.077669903,0.077669903,0,0,0,0.757575758,0.757575758,0.757575758,0.689498088,0.689498088,0.689498088
16,20067.5,20064,20071,0.615384615,0.615384615,0.615384615,0.5,0.5,0.5,0,0,0,0.653061224,0.653061224,0.653061224,0.478873239,0.478873239,0.478873239,0,0,0,0.997909851,0.997909851,0.997909851,0.986104363,0.986104363,0.986104363,20067.5,20064,20071,0.112280702,0.112280702,0.112280702,0.046511628,0.046511628,0.046511628,0,0,0,0.108108108,0.108108108,0.108108108,0.039351852,0.039351852,0.039351852,0,0,0,0.893552932,0.893552932,0.893552932,0.78344086,0.78344086,0.78344086
17,20075.5,20072,20079,0.526315789,0.526315789,0.526315789,0.311688312,0.311688312,0.311688312,0,0,0,0.727272727,0.727272727,0.727272727,0.363636364,0.363636364,0.363636364,0,0,0,0.995021143,0.995021143,0.995021143,0.971071663,0.971071663,0.971071663,20075.5,20072,20079,0.080160321,0.080160321,0.080160321,0.031578947,0.031578947,0.031578947,0,0,0,0.077393075,0.077393075,0.077393075,0.0268757,0.0268757,0.0268757,0,0,0,0.879114519,0.879114519,0.879114519,0.328370906,0.328370906,0.328370906
18,20083.5,20080,20087,0,0,0,0.771084337,0.771084337,0.771084337,0,0,0,0,0,0,0.790123457,0.790123457,0.790123457,0,0,0,0.997235266,0.997235266,0.997235266,0.998860222,0.998860222,0.998860222,20083.5,20080,20087,0,0,0,0.053691275,0.053691275,0.053691275,0,0,0,0,0,0,0.06361829,0.06361829,0.06361829,0,0,0,0.777583548,0.777583548,0.777583548,0.677527067,0.677527067,0.677527067
19,20091.5,20088,20095,0,0,0,0.901408451,0.901408451,0.901408451,0,0,0,0,0,0,0.914285714,0.914285714,0.914285714,0,0,0,0.98929821,0.98929821,0.98929821,0.995952486,0.995952486,0.995952486,20091.5,20088,20095,0,0,0,0.050955414,0.050955414,0.050955414,0,0,0,0,0,0,0.076646707,0.076646707,0.076646707,0,0,0,0.725021349,0.725021349,0.725021349,0.783950005,0.783950005,0.783950005
20,20099.5,20096,20103,0.319148936,0.319148936,0.319148936,0.596491228,0.596491228,0.596491228,0,0,0,0.410958904,0.410958904,0.410958904,0.441558442,0.441558442,0.441558442,0,0,0,0.984239041,0.984239041,0.984239041,0.989730615,0.989730615,0.989730615,20099.5,20096,20103,0.048780488,0.048780488,0.048780488,0.051515152,0.051515152,0.051515152,0,0,0,0.04341534,0.04341534,0.04341534,0.082324455,0.082324455,0.082324455,0,0,0,0.186663392,0.186663392,0.186663392,0.659553305,0.659553305,0.659553305
21,20107.5,20104,20111,0.251748252,0.251748252,0.251748252,0.383561644,0.383561644,0.383561644,0,0,0,0.36,0.36,0.36,0.32183908,0.32183908,0.32183908,0,0,0,0.988905838,0.988905838,0.988905838,0.964927793,0.964927793,0.964927793,20107.5,20104,20111,0.051502146,0.051502146,0.051502146,0.040995608,0.040995608,0.040995608,0,0,0,0.050139276,0.050139276,0.050139276,0.054263566,0.054263566,0.054263566,0,0,0,0.563252128,0.563252128,0.563252128,0.278230015,0.278230015,0.278230015
22,20115.5,20112,20119,0,0,0,0.703296703,0.703296703,0.703296703,0,0,0,0,0,0,0.666666667,0.666666667,0.666666667,0,0,0,0.995146375,0.995146375,0.995146375,0.999766373,0.999766373,0.999766373,20115.5,20112,20119,0,0,0,0.050793651,0.050793651,0.050793651,0,0,0,0,0,0,0.065439673,0.065439673,0.065439673,0,0,0,0.87763479,0.87763479,0.87763479,0.800279086,0.800279086,0.800279086
23,20123.5,20120,20127,0,0,0,0.876712329,0.876712329,0.876712329,0,0,0,0,0,0,0.901408451,0.901408451,0.901408451,0,0,0,0.997597931,0.997597931,0.997597931,0.999630553,0.999630553,0.999630553,20123.5,20120,20127,0,0,0,0.054329372,0.054329372,0.054329372,0,0,0,0,0,0,0.056637168,0.056637168,0.056637168,0,0,0,0.860636183,0.860636183,0.860636183,0.849579315,0.849579315,0.849579315
24,20131.5,20128,20135,0.4375,0.4375,0.4375,0.704225352,0.704225352,0.704225352,0,0,0,0.466666667,0.466666667,0.466666667,0.757575758,0.757575758,0.757575758,0,0,0,0.978786751,0.978786751,0.978786751,0.995966929,0.995966929,0.995966929,20131.5,20128,20135,0.024640657,0.024640657,0.024640657,0.05787037,0.05787037,0.05787037,0,0,0,0.027131783,0.027131783,0.027131783,0.050709939,0.050709939,0.050709939,0,0,0,0.760634921,0.760634921,0.760634921,0.873071292,0.873071292,0.873071292
25,20139.5,20136,20143,0.598130841,0.598130841,0.598130841,0,0,0,0,0,0,0.603773585,0.603773585,0.603773585,0,0,0,0,0,0,0.982248521,0.982248521,0.982248521,0.989682118,0.989682118,0.989682118,20139.5,20136,20143,0.087431694,0.087431694,0.087431694,0,0,0,0,0,0,0.111498258,0.111498258,0.111498258,0,0,0,0,0,0,0.337199434,0.337199434,0.337199434,0.899357127,0.899357127,0.899357127
