epoch,step,loss
0,0,-0.0999833345413208
0,1,-0.10010742396116257
0,2,-0.09988360106945038
0,3,-0.09990806132555008
1,0,-0.10006247460842133
1,1,-0.10018621385097504
1,2,-0.09985250979661942
1,3,-0.10002327710390091
2,0,-0.10007887333631516
2,1,-0.10006354749202728
2,2,-0.09998395293951035
2,3,-0.10001414269208908
3,0,-0.10000908374786377
3,1,-0.10007967054843903
3,2,-0.09997749328613281
3,3,-0.10012685507535934
4,0,-0.1002168282866478
4,1,-0.10024669021368027
4,2,-0.0999675765633583
4,3,-0.10019200295209885
5,0,-0.1002611592411995
5,1,-0.10034318268299103
5,2,-0.10000491142272949
5,3,-0.10008607804775238
6,0,-0.10019272565841675
6,1,-0.10033407807350159
6,2,-0.09996692836284637
6,3,-0.10031242668628693
7,0,-0.10030809044837952
7,1,-0.10034167021512985
7,2,-0.09999881684780121
7,3,-0.10017508268356323
8,0,-0.10014408081769943
8,1,-0.1002761647105217
8,2,-0.10002506524324417
8,3,-0.10028833150863647
9,0,-0.10029950737953186
9,1,-0.10025620460510254
9,2,-0.10006975382566452
9,3,-0.10019969195127487
