sequence_id,refseq,region,start_index,end_index,start,end,gene,gene_id,genbank,ensembl
NW_011332691.1,RefSeq,sequence_feature,0,28440,1,28441,,,, 
NW_011332691.1,BestRefSeq,gene,49166,122043,49167,122044,RYBP,23429,, 
NW_011332691.1,BestRefSeq,mRNA,49166,122043,49167,122044,RYBP,23429,NM_012234.6, 
NW_011332691.1,BestRefSeq,exon,121829,122043,121830,122044,RYBP,23429,NM_012234.6, 
NW_011332691.1,BestRefSeq,exon,120937,121062,120938,121063,RYBP,23429,NM_012234.6, 
NW_011332691.1,BestRefSeq,exon,53828,54004,53829,54005,RYBP,23429,NM_012234.6, 
NW_011332691.1,BestRefSeq,exon,53617,53715,53618,53716,RYBP,23429,NM_012234.6, 
NW_011332691.1,BestRefSeq,exon,49166,53214,49167,53215,RYBP,23429,NM_012234.6, 
NW_011332691.1,BestRefSeq,CDS,121829,121860,121830,121861,RYBP,23429,NP_036366.3, 
NW_011332691.1,BestRefSeq,CDS,120937,121062,120938,121063,RYBP,23429,NP_036366.3, 
NW_011332691.1,BestRefSeq,CDS,53828,54004,53829,54005,RYBP,23429,NP_036366.3, 
NW_011332691.1,BestRefSeq,CDS,53617,53715,53618,53716,RYBP,23429,NP_036366.3, 
NW_011332691.1,BestRefSeq,CDS,52962,53214,52963,53215,RYBP,23429,NP_036366.3, 
NW_011332691.1,Gnomon,gene,133620,138513,133621,138514,LOC105377160,105377160,, 
NW_011332691.1,Gnomon,lnc_RNA,133620,138513,133621,138514,LOC105377160,105377160,XR_953245.2, 
NW_011332691.1,Gnomon,exon,133620,133848,133621,133849,LOC105377160,105377160,XR_953245.2, 
NW_011332691.1,Gnomon,exon,133951,134063,133952,134064,LOC105377160,105377160,XR_953245.2, 
NW_011332691.1,Gnomon,exon,137945,138513,137946,138514,LOC105377160,105377160,XR_953245.2, 
NW_011332691.1,RefSeqFE,enhancer,137656,137950,137657,137951,,112935957,, 
NW_011332691.1,RefSeqFE,silencer,137656,137950,137657,137951,,112935957,, 
NW_011332691.1,RefSeqFE,biological_region,137656,137950,137657,137951,,112935957,, 
NW_011332691.1,RefSeq,sequence_feature,233605,415307,233606,415308,,,, 
NW_011332691.1,Curated Genomic,pseudogene,251599,251762,251600,251763,RNU1-62P,106481613,, 
NW_011332691.1,Gnomon,gene,257032,391349,257033,391350,LOC105377161,105377161,, 
NW_011332691.1,Gnomon,lnc_RNA,257032,391349,257033,391350,LOC105377161,105377161,XR_953247.2, 
NW_011332691.1,Gnomon,exon,391308,391349,391309,391350,LOC105377161,105377161,XR_953247.2, 
NW_011332691.1,Gnomon,exon,383752,383867,383753,383868,LOC105377161,105377161,XR_953247.2, 
NW_011332691.1,Gnomon,exon,367000,367172,367001,367173,LOC105377161,105377161,XR_953247.2, 
NW_011332691.1,Gnomon,exon,360603,360715,360604,360716,LOC105377161,105377161,XR_953247.2, 
NW_011332691.1,Gnomon,exon,359630,359705,359631,359706,LOC105377161,105377161,XR_953247.2, 
NW_011332691.1,Gnomon,exon,322659,322754,322660,322755,LOC105377161,105377161,XR_953247.2, 
NW_011332691.1,Gnomon,exon,321867,321962,321868,321963,LOC105377161,105377161,XR_953247.2, 
NW_011332691.1,Gnomon,exon,313354,313492,313355,313493,LOC105377161,105377161,XR_953247.2, 
NW_011332691.1,Gnomon,exon,282804,282922,282805,282923,LOC105377161,105377161,XR_953247.2, 
NW_011332691.1,Gnomon,exon,276469,276651,276470,276652,LOC105377161,105377161,XR_953247.2, 
NW_011332691.1,Gnomon,exon,257032,257115,257033,257116,LOC105377161,105377161,XR_953247.2, 
NW_011332691.1,Gnomon,gene,289035,291275,289036,291276,LOC102724817,102724817,, 
NW_011332691.1,Gnomon,lnc_RNA,289035,291275,289036,291276,LOC102724817,102724817,XR_953246.2, 
NW_011332691.1,Gnomon,exon,289035,289167,289036,289168,LOC102724817,102724817,XR_953246.2, 
NW_011332691.1,Gnomon,exon,290124,290225,290125,290226,LOC102724817,102724817,XR_953246.2, 
NW_011332691.1,Gnomon,exon,290694,291275,290695,291276,LOC102724817,102724817,XR_953246.2, 
NW_011332691.1,Gnomon,lnc_RNA,289035,291275,289036,291276,LOC102724817,102724817,XR_001756846.1, 
NW_011332691.1,Gnomon,exon,289035,289167,289036,289168,LOC102724817,102724817,XR_001756846.1, 
NW_011332691.1,Gnomon,exon,290694,291275,290695,291276,LOC102724817,102724817,XR_001756846.1, 
NW_011332691.1,BestRefSeq,gene,338204,339157,338205,339158,LOC105377162,105377162,, 
NW_011332691.1,BestRefSeq,lnc_RNA,338204,339157,338205,339158,LOC105377162,105377162,NR_135531.1, 
NW_011332691.1,BestRefSeq,exon,338838,339157,338839,339158,LOC105377162,105377162,NR_135531.1, 
NW_011332691.1,BestRefSeq,exon,338204,338475,338205,338476,LOC105377162,105377162,NR_135531.1, 
NW_011332691.1,Curated Genomic,pseudogene,366613,366719,366614,366720,RNA5SP136,100873404,, 
NW_011332691.1,RefSeq,cDNA_match,121829,122043,121830,122044,,,, 
NW_011332691.1,RefSeq,cDNA_match,120937,121062,120938,121063,,,, 
NW_011332691.1,RefSeq,cDNA_match,53828,54004,53829,54005,,,, 
NW_011332691.1,RefSeq,cDNA_match,53617,53715,53618,53716,,,, 
NW_011332691.1,RefSeq,cDNA_match,49166,53214,49167,53215,,,, 
NW_011332691.1,RefSeq,match,137556,138050,137557,138051,,,, 
NW_011332691.1,RefSeq,match,251499,251862,251500,251863,,,, 
NW_011332691.1,RefSeq,match,366513,366819,366514,366820,,,, 
