chr,gene,length
chr4,SCOC.csv,128421
chr7,ZNF138.csv,66396
chr13,LINC01080.csv,15587
chr21,SON.csv,34444
chr11,MS4A15.csv,19867
chr17,GLTPD2.csv,1626
chr16,THOC6.csv,3716
chr15,LOC105370936.csv,5820
chr7,TMEM106B.csv,32074
chr11,MIR4486.csv,63
chr18,LOC105371989.csv,17069
chr5,LOC105377730.csv,10799
chr19,MIR521-1.csv,87
chr17,TMEM88.csv,1214
chr14,TRAJ17.csv,63
chr3,NXPE3.csv,49021
chr3,LEKR1.csv,219777
chr22,LOC112268293.csv,4509
chr12,SCARNA10.csv,330
chr11,F2.csv,20294
chr5,LOC102723654.csv,279617
chr8,SLC25A37.csv,46508
chr7,LOC105375551.csv,131940
chr9,FAM27C.csv,1257
chr3,MIR1248.csv,106
chr4,PAICS.csv,54072
chr4,LOC105374354.csv,3305
chr12,TESC-AS1.csv,42023
chr9,LOC107987087.csv,288238
chr7,ZNF713.csv,54770
chr17,GCGR.csv,9931
chr15,PML.csv,53112
chr14,LINC02301.csv,64194
chr7,LHFPL3.csv,579959
chr7,METTL2B.csv,29855
chr22,SGSM1.csv,121368
chr19,PLPPR2.csv,10268
chr19,ZNF223.csv,18531
chr3,TGM4.csv,40383
chr15,MIR5701-3.csv,82
chr6,PTP4A1.csv,67149
chr13,NDFIP2.csv,74923
chr14,FITM1.csv,2189
chr2,DNAJC5G.csv,6073
chr11,LINC02742.csv,162322
chr5,LOC105378210.csv,10160
chr1,GS1-204I12.4.csv,10796
chr4,C4orf17.csv,31300
chr2,GORASP2.csv,38654
chr2,LOC107985838.csv,8723
chr7,LOC105375473.csv,66227
chr21,CH507-9B2.8.csv,18607
chr3,HHLA2.csv,81796
chr13,LOC105370276.csv,9137
chr14,SPATA7.csv,84713
chr14,TRDV2.csv,497
chr20,LIME1.csv,3403
chr11,OR52P1P.csv,963
chr7,LAT2.csv,19829
chr1,LOC101929305.csv,19126
chr17,TMEM94.csv,59294
chr15,LOC105370768.csv,38329
chr7,TRP-AGG2-3.csv,72
chr15,MIR6085.csv,110
chr19,ZNF221.csv,19012
chr20,NKILA.csv,2598
chr1,CSRP1-AS1.csv,27572
chr2,SH3RF3.csv,375431
chr6,LOC105378077.csv,12771
chr20,PRPF6.csv,51969
chr6,TRS-GCT1-1.csv,82
chr23,OFD1.csv,39253
chr4,LINC02475.csv,5201
chr11,LOC107984424.csv,10829
chr20,LOC105372717.csv,16765
chr5,CHD1-DT.csv,75460
chr6,LOC107986633.csv,39734
chr11,MIR4491.csv,68
chr6,LOC105378128.csv,7570
chr12,HCFC2.csv,44429
chr5,ZNF474.csv,24024
chr11,LOC105376627.csv,10760
chr16,ZG16B.csv,1974
chr14,LINC01269.csv,13456
chr10,MIR4676.csv,72
chr17,LOC105371870.csv,22772
chr7,SRRT.csv,13694
chr10,LOC105376426.csv,20169
chr8,LOC105375913.csv,9093
chr16,JPH3.csv,96322
chr5,SNHG18.csv,4099
chr7,LINC01000.csv,19758
chr15,SLC24A1.csv,49690
chr6,UHRF1BP1.csv,85432
chr14,MIR154.csv,84
chr13,LOC101927284.csv,174470
chr7,LINC00265.csv,61056
chr5,LOC107986488.csv,10885
chr3,IQCF5-AS1.csv,2172
chr1,LOC105373209.csv,9105
chr3,STAC.csv,167665
chr4,DSPP.csv,8345
chr5,LOC105378214.csv,10821
chr11,NLRP14.csv,68580
chr10,LOC112268063.csv,62306
chr6,KLC4.csv,15463
chr1,LINC01780.csv,27931
chr10,LINC01153.csv,7678
chr1,DPYD-AS2.csv,1131
chr3,ZDHHC23.csv,50102
chr8,LOC105375826.csv,25619
chr1,ACTN2.csv,78133
chr16,NDUFB10.csv,2438
chr6,LOC105375060.csv,11955
chr3,LOC105374301.csv,8274
chr5,LOC101929617.csv,5336
