sequence_id,refseq,region,start_index,end_index,start,end,gene,gene_id,genbank,ensembl
NT_187568.1,RefSeq,sequence_feature,0,106916,1,106917,,,, 
NT_187568.1,BestRefSeq,gene,17529,21584,17530,21585,LOC105377777,105377777,, 
NT_187568.1,BestRefSeq,lnc_RNA,17529,21584,17530,21585,LOC105377777,105377777,NR_160729.1, 
NT_187568.1,BestRefSeq,exon,21114,21584,21115,21585,LOC105377777,105377777,NR_160729.1, 
NT_187568.1,BestRefSeq,exon,17529,17956,17530,17957,LOC105377777,105377777,NR_160729.1, 
NT_187568.1,BestRefSeq,gene,40533,279066,40534,279067,DLGAP2,9228,, 
NT_187568.1,BestRefSeq,transcript,40533,279066,40534,279067,DLGAP2,9228,NR_073397.2, 
NT_187568.1,BestRefSeq,exon,40533,40563,40534,40564,DLGAP2,9228,NR_073397.2, 
NT_187568.1,BestRefSeq,exon,46270,46324,46271,46325,DLGAP2,9228,NR_073397.2, 
NT_187568.1,BestRefSeq,exon,278588,279066,278589,279067,DLGAP2,9228,NR_073397.2, 
NT_187568.1,RefSeq,sequence_feature,143429,190574,143430,190575,,,, 
NT_187568.1,RefSeq,sequence_feature,190575,191134,190576,191135,,,, 
NT_187568.1,RefSeq,sequence_feature,191135,193845,191136,193846,,,, 
NT_187568.1,RefSeq,sequence_feature,193846,194392,193847,194393,,,, 
NT_187568.1,RefSeq,sequence_feature,194393,236750,194394,236751,,,, 
NT_187568.1,RefSeq,sequence_feature,236751,237314,236752,237315,,,, 
NT_187568.1,RefSeq,sequence_feature,237315,260026,237316,260027,,,, 
NT_187568.1,RefSeq,sequence_feature,260027,260586,260028,260587,,,, 
NT_187568.1,RefSeq,sequence_feature,260587,265213,260588,265214,,,, 
NT_187568.1,RefSeq,sequence_feature,265214,265761,265215,265762,,,, 
NT_187568.1,RefSeq,sequence_feature,265762,282735,265763,282736,,,, 
NT_187568.1,RefSeq,cDNA_match,40533,40563,40534,40564,,,, 
NT_187568.1,RefSeq,cDNA_match,46270,46324,46271,46325,,,, 
NT_187568.1,RefSeq,cDNA_match,278588,279066,278589,279067,,,, 
