chr,gene,length
chr6,H4C9.csv,397
chr1,H4C14.csv,396
chr6,H4C11.csv,389
chr20,PCNA-AS1.csv,384
chr16,LOC105371342.csv,366
chr2,SCYGR2.csv,363
chr11,SCARNA9.csv,353
chr4,LOC107986224.csv,353
chr15,PWAR4.csv,342
chr17,SNHG25.csv,340
chr6,RN7SK.csv,332
chr12,SCARNA10.csv,330
chr2,SCYGR8.csv,327
chr1,LOC105378898.csv,326
chr22,IGLC1.csv,320
chr22,IGLC7.csv,320
chr22,IGLC3.csv,320
chr22,IGLC2.csv,320
chr2,SCYGR4.csv,318
chr14,RN7SL1.csv,299
chr21,KRTAP22-1.csv,296
chr3,PYDC2.csv,294
chr2,SCYGR7.csv,291
chr1,LCE3B.csv,288
chr10,LOC105378274.csv,281
chr2,SCARNA5.csv,278
chr21,KRTAP20-1.csv,275
chr21,KRTAP20-3.csv,273
chr2,SCARNA6.csv,266
chr2,SCYGR5.csv,258
chr12,SNORA53.csv,250
chr21,KRTAP20-4.csv,224
chr10,SNORA87.csv,222
chr17,SNORD3B-1.csv,217
chr17,SNORD3A.csv,217
chr12,SNORD133.csv,216
chr1,SNORD3G.csv,214
chr8,RNU105C.csv,210
chr8,SNORD3H.csv,210
chr20,RNU105B.csv,209
chr1,SNORA73A.csv,207
chr1,SNORA73B.csv,205
chr10,SNORA74C-2.csv,204
chr5,SNORA74B.csv,204
chr10,SNORA74C-1.csv,204
chr2,BCYRN1.csv,200
chr5,SNORA74A.csv,200
chr8,SNORA99.csv,197
chr10,SNORD142.csv,195
chr7,SCARNA28.csv,194
chr11,SNORA23.csv,189
chr17,SCARNA16.csv,187
chr21,MIR3648-1.csv,180
chr23,ETDC.csv,180
chr21,MIR3648-2.csv,180
chr3,SNORA81.csv,178
chr14,SNORA89.csv,177
chr17,SNORA90.csv,175
chr3,SNORA93.csv,168
chr1,SCARNA1.csv,166
chr1,RNVU1-15.csv,165
chr1,RNVU1-4.csv,164
chr1,RNVU1-14.csv,164
chr1,RNU1-4.csv,164
chr1,RNU1-2.csv,164
chr11,MIR6753.csv,164
chr1,RNVU1-3.csv,161
chr21,RNA5-8SN2.csv,157
chr21,RNA5-8SN3.csv,157
chr21,RNA5-8SN1.csv,157
chr3,SNORA62.csv,154
chr12,SNORA113.csv,154
chr17,SNORA59B.csv,152
chr1,SNORA59A.csv,152
chr22,RNU12.csv,150
chr3,SNORA6.csv,149
chr11,SNORA57.csv,149
chr11,SNORD15A.csv,148
chr17,SNORD10.csv,148
chr3,SNORD136.csv,147
chr6,SNORA116.csv,147
chr11,SNORD131.csv,146
chr11,SNORD15B.csv,146
chr1,TRNAV-CAC.csv,144
chr5,SNORA74D.csv,144
chr16,SNORA119.csv,144
chr5,MIR1294.csv,142
chr18,MIR3976.csv,139
chr1,SCARNA21B.csv,139
chr19,SNORA104.csv,139
chr19,MIR1302-11.csv,138
chr9,MIR1302-9.csv,138
chr17,SCARNA21.csv,138
chr1,MIR1302-2.csv,138
chr7,SNORA22B.csv,138
chr2,SNORD94.csv,137
chr3,SNORA4.csv,137
chr12,SNORA49.csv,137
chr15,MIR5572.csv,137
chr17,SNORA67.csv,137
chr19,MIR181D.csv,137
chr20,SNORA71E.csv,136
chr20,SNORA60.csv,136
chr1,SNORA58B.csv,136
chr2,SNORA70I.csv,135
chr7,SNORA80D.csv,135
chr1,RNU11.csv,135
chr17,SNORA48.csv,135
chr7,SNORA15B-2.csv,135
chr1,SNORA70H.csv,135
chr3,SNORA63.csv,135
chr5,SNORA70J.csv,135
chr23,SNORA70.csv,135
chr7,SNORA15B-1.csv,135
chr11,SNORA52.csv,134
chr7,SNORA14A.csv,134
chr7,SNORA22.csv,134
chr7,SNORA22C.csv,134
chr3,SNORA63E.csv,133
chr7,SNORA15.csv,133
chr6,SNORA33.csv,133
chr2,SNORA10B.csv,133
chr17,SNORA50C.csv,133
chr19,SNORA68.csv,133
chr1,SNORA66.csv,133
chr18,SNORA108.csv,133
chr5,SNORA13.csv,133
chr1,SNORA16B.csv,133
chr2,SNORA41.csv,132
chr20,SNORA51.csv,132
chr6,SNORA38.csv,132
chr17,SNORA38B.csv,132
chr5,SNORA50D.csv,132
chr3,SNORA63D.csv,132
chr23,SNORA36A.csv,132
chr11,SNORA3B.csv,131
chr12,MIR3652.csv,131
chr23,SNORA11G.csv,131
chr12,SNORA9B.csv,131
chr4,SNORA24.csv,131
chr19,SNORA118.csv,131
chr23,SNORA11.csv,131
chr23,SCARNA23.csv,130
chr2,RNU4ATAC.csv,130
chr11,SNORA3A.csv,130
chr14,SNORD3P3.csv,130
chr16,SNORA30.csv,129
chr9,SNORA30B.csv,129
chr15,SNORA41B.csv,129
chr23,SNORA56.csv,129
chr6,SNORA40C.csv,128
chr19,SNAR-G1.csv,128
chr7,MIR490.csv,128
chr2,SNORA40B.csv,128
chr23,SNORA35.csv,128
chr23,SNORA11D.csv,127
chr23,SNORA11C.csv,127
chr14,SNORA11B.csv,127
chr16,SNORA78.csv,127
chr15,SCARNA15.csv,127
chr13,SNORA27.csv,126
chr14,SNORA28.csv,126
chr12,MIR3908.csv,126
chr4,SCARNA22.csv,125
chr1,SNORA77.csv,125
chr13,SNORA107.csv,125
chr3,SNORA63B.csv,125
chr22,SNORA77B.csv,125
chr19,MIR498.csv,124
chr2,SNORA112.csv,124
chr19,SNAR-F.csv,123
chr19,SNAR-A1.csv,122
chr19,SNAR-A12.csv,122
chr19,SNAR-A2.csv,122
chr19,SNAR-A13.csv,122
chr20,MIR499A.csv,122
chr4,SNORA26.csv,122
chr3,SNAR-I.csv,121
chr19,SNAR-A3.csv,121
chr19,SNAR-C5.csv,120
chr19,SNAR-C2.csv,120
chr1,MIR5191.csv,120
chr17,MIR5010.csv,120
chr19,SNAR-C4.csv,120
chr19,SNAR-C1.csv,120
chr19,MIR1199.csv,119
chr6,MIR133B.csv,119
chr1,RNU5E-1.csv,119
chr10,MIR5100.csv,119
chr22,MIR3909.csv,119
chr19,SNAR-C3.csv,119
chr7,MIR671.csv,118
chr19,MIR769.csv,118
chr15,RNU5B-1.csv,117
chr15,RNU5A-1.csv,117
chr11,MIR548K.csv,116
chr16,MIR1273H.csv,116
chr12,SNORA105C.csv,116
chr5,SNORA105A.csv,116
chr12,MIR492.csv,116
chr7,MIR6892.csv,115
chr17,MIR4524B.csv,115
chr19,MIR5196.csv,115
chr16,MIR5189.csv,114
chr14,MIR431.csv,114
chr14,MIR6076.csv,113
chr17,MIR6786.csv,113
chr1,MIR6740.csv,113
chr12,MIR5188.csv,113
chr22,MIR5571.csv,113
