chr,gene,length
chr7,LOC105375518.csv,17953
chr15,LOC107984747.csv,23012
chr4,LINC01396.csv,6391
chr2,PCGEM1.csv,27055
chr11,CD3E.csv,11444
chr14,GSC-DT.csv,2966
chr8,LOC105375768.csv,3816
chr23,LOC107985694.csv,13815
chr1,EPHX1.csv,35440
chr14,TRDJ3.csv,59
chr13,LOC105370179.csv,4459
chr1,LOC105378781.csv,26101
chr8,LOC101927657.csv,4041
chr7,ZSCAN21.csv,15268
chr8,LOC105375643.csv,40589
chr8,DDHD2.csv,42338
chr17,SSTR2.csv,11624
chr2,LIMS1.csv,153576
chr5,LOC105377712.csv,10874
chr9,LINC02913.csv,1588
chr12,LOC112268088.csv,2061
chr19,ZNF66.csv,33692
chr11,VPS11.csv,14181
chr15,LOC105370728.csv,3470
chr1,LOC105376740.csv,5848
chr20,PAX1.csv,12818
chr17,SKAP1-AS2.csv,13483
chr5,ZNF131.csv,55411
chr19,MIR769.csv,118
chr16,SH2B1.csv,27600
chr12,LOC105369909.csv,2532
chr1,CPTP.csv,4140
chr19,ZFP36.csv,2561
chr4,ETFDH.csv,37328
chr12,RAB21.csv,45424
chr12,LOC100652999.csv,3625
chr23,GAGE2A.csv,7329
chr13,NUDT15.csv,15030
chr16,MIR3180-1.csv,94
chr17,LINC02094.csv,5482
chr21,MIR4759.csv,83
chr3,CNOT10.csv,88688
chr14,MIR656.csv,78
chr6,LOC105377899.csv,198487
chr14,LINC02299.csv,49423
chr19,ZNF264.csv,31347
chr21,KRTAP10-8.csv,876
chr15,KLF13.csv,108831
chr2,OSGEPL1-AS1.csv,2777
chr2,LOC102724744.csv,80396
chr10,ITIH2.csv,46205
chr3,TMPRSS7.csv,46534
chr10,KCNIP2-AS1.csv,9822
chr11,ZC3H12C.csv,79417
chr15,LOC105370965.csv,9053
chr1,LINC02774.csv,129916
chr1,LOC105371215.csv,1996
chr17,NME1-NME2.csv,18186
chr11,LOC105376613.csv,5226
chr7,LOC101928451.csv,108671
chr4,TENM3.csv,1355412
chr4,METAP1.csv,67417
chr1,EXTL1.csv,14690
chr15,MIR630.csv,97
chr20,LOC105372696.csv,1906
chr24,LOC105379413.csv,11223
chr5,SPINK9.csv,18756
chr4,LINC02261.csv,64747
chr22,LOC101927393.csv,2114
chr6,LOC105377879.csv,17054
chr1,LOC148696.csv,4218
chr19,LOC107985285.csv,8433
chr22,EFCAB6-AS1.csv,20352
chr14,MIR376A2.csv,80
chr23,MIR1298.csv,112
chr8,DEFB4A.csv,2040
chr12,KLRF1.csv,44954
