chr,gene,length
chr11,TOLLIP-DT.csv,1000
chr1,LOC101929444.csv,998
chr11,LOC107984375.csv,998
chr3,LOC105374206.csv,996
chr12,SLC38A2-AS1.csv,996
chr7,LOC105375194.csv,996
chr17,KRTAP4-7.csv,995
chr19,LOC105372435.csv,995
chr11,OR10A4.csv,995
chr23,CLDN34.csv,995
chr14,OR11H6.csv,993
chr11,OR2D3.csv,993
chr10,SLIT1-AS1.csv,992
chr14,LOC105370705.csv,990
chr22,SCUBE1-AS2.csv,988
chr11,OR4A16.csv,987
chr11,OR51T1.csv,984
chr17,CDRT7.csv,983
chr19,ADM5.csv,982
chr16,FTO-IT1.csv,981
chr17,KRTAP9-9.csv,981
chr14,OR11H12.csv,981
chr1,G0S2.csv,979
chr23,TGIF2LX.csv,976
chr14,OR4K15.csv,975
chr9,OR1L3.csv,975
chr11,OR52I1.csv,975
chr24,TGIF2LY.csv,975
chr19,SPACA4.csv,973
chr11,FBXO3-DT.csv,972
chr14,OR4K5.csv,972
chr8,LINC01109.csv,972
chr16,NPW.csv,971
chr18,LOC105371992.csv,970
chr11,OR5T3.csv,969
chr1,PCAT6.csv,968
chr20,LINC01711.csv,967
chr17,KRTAP9-4.csv,967
chr3,OR5K3.csv,966
chr3,OR5K4.csv,966
chr1,ZNF593.csv,966
chr14,RNASE3.csv,964
chr8,LOC105379321.csv,964
chr11,OR52W1.csv,963
chr11,OR52P1P.csv,963
chr9,OR13C8.csv,963
chr12,LOC105369756.csv,963
chr9,OR5C1.csv,963
chr11,CCDC85B.csv,963
chr1,OR2T4.csv,963
chr2,IDH1-AS1.csv,962
chr9,OR13F1.csv,960
chr19,OR7C2.csv,960
chr11,OR8K1.csv,960
chr16,LINC02168.csv,958
chr9,LOC107987049.csv,958
chr17,LOC105377824.csv,958
chr1,OR2T3.csv,957
chr7,OR2A2.csv,957
chr7,TAS2R60.csv,957
chr11,OR4D5.csv,957
chr18,LRRC30.csv,956
chr2,LOC107985788.csv,955
chr11,OR10A5.csv,954
chr7,OR2F2.csv,954
chr1,OR2G2.csv,954
chr11,OR52M1.csv,954
chr11,OR6Q1.csv,954
chr5,FTMT.csv,952
chr3,OR5K2.csv,951
chr19,OR10H4.csv,951
chr12,OR10A7.csv,951
chr11,OR4C15.csv,951
chr9,OR1K1.csv,951
chr9,LOC105376045.csv,951
chr14,RNASE2.csv,950
chr1,C1orf68.csv,949
chr22,OR11H1.csv,948
chr1,LOC100996756.csv,948
chr7,LOC107986751.csv,947
chr13,LINC00399.csv,946
chr6,LOC105377893.csv,946
chr1,OR14K1.csv,945
chr11,OR5D14.csv,945
chr11,OR4D6.csv,945
chr17,OR1R1P.csv,945
chr9,OR13D1.csv,945
chr12,LOC105369755.csv,945
chr11,OR4A15.csv,945
chr1,OR2W3.csv,945
chr11,OR5D13.csv,945
chr9,OR1Q1.csv,945
chr7,OR6V1.csv,942
chr6,OR2B6.csv,942
chr11,OR5D18.csv,942
chr12,OR10P1.csv,942
chr9,OR1J4.csv,942
chr7,LOC105375589.csv,941
chr2,LOC107985795.csv,941
chr11,OR51B6.csv,939
chr12,OR8S1.csv,939
chr11,OR5J2.csv,939
chr12,OR6C68.csv,939
chr12,OR6C65.csv,939
chr1,OR2M5.csv,939
chr11,OR8H3.csv,939
chr1,OR2L8.csv,939
chr12,OR6C76.csv,939
chr1,OR14C36.csv,939
chr11,OR4P4.csv,939
chr14,OR4L1.csv,939
chr17,LOC105371848.csv,938
chr20,LINC01752.csv,938
chr17,LOC105371481.csv,938
chr16,LINC02182.csv,937
chr11,OR10G9.csv,936
chr11,OR52J3.csv,936
chr9,OR1L4.csv,936
chr11,OR5L2.csv,936
chr11,OR4D11.csv,936
chr9,HRCT1.csv,935
chr10,NEBL-AS1.csv,934
chr17,LOC101927839.csv,933
chr11,OR8I2.csv,933
chr11,OR4C16.csv,933
chr11,OR5AR1.csv,933
chr9,OR1L1.csv,933
chr7,ABHD11-AS1.csv,932
chr6,BTBD9-AS1.csv,932
chr16,LOC105371328.csv,931
chr1,LOC105376687.csv,930
chr3,OR5AC2.csv,930
chr1,OR2G3.csv,930
chr17,OR1A2.csv,930
chr11,OR4A47.csv,930
chr11,OR4S1.csv,930
chr11,OR4B1.csv,930
chr11,OR5AK2.csv,930
chr11,OR8U1.csv,930
chr2,HDAC4-AS1.csv,929
chr20,LOC105372554.csv,928
chr10,USP6NL-AS1.csv,927
chr23,OR13H1.csv,927
chr11,LINC02716.csv,927
chr7,TAS2R41.csv,924
chr10,LOC105376357.csv,922
chr17,LOC101928475.csv,922
chr11,OR4X1.csv,918
chr2,LOC105373466.csv,915
chr16,MT2A.csv,914
chr11,OR4X2.csv,912
