sequence_id,refseq,region,start_index,end_index,start,end,gene,gene_id,genbank,ensembl
NC_000024.10,BestRefSeq%2CGnomon,gene,276355,303355,276356,303356,PLCXD1,55344,, 
NC_000024.10,BestRefSeq,transcript,276355,303355,276356,303356,PLCXD1,55344,NR_028057.2, 
NC_000024.10,BestRefSeq,exon,276355,276393,276356,276394,PLCXD1,55344,NR_028057.2, 
NC_000024.10,BestRefSeq,exon,281481,281683,281482,281684,PLCXD1,55344,NR_028057.2, 
NC_000024.10,BestRefSeq,exon,284166,284313,284167,284314,PLCXD1,55344,NR_028057.2, 
NC_000024.10,BestRefSeq,exon,288732,288868,288733,288869,PLCXD1,55344,NR_028057.2, 
NC_000024.10,BestRefSeq,exon,290647,290775,290648,290776,PLCXD1,55344,NR_028057.2, 
NC_000024.10,BestRefSeq,exon,291498,291653,291499,291654,PLCXD1,55344,NR_028057.2, 
NC_000024.10,BestRefSeq,exon,293034,293217,293035,293218,PLCXD1,55344,NR_028057.2, 
NC_000024.10,BestRefSeq,exon,299096,299391,299097,299392,PLCXD1,55344,NR_028057.2, 
NC_000024.10,BestRefSeq,exon,302592,303355,302593,303356,PLCXD1,55344,NR_028057.2, 
NC_000024.10,BestRefSeq,transcript,281380,303355,281381,303356,PLCXD1,55344,NR_163416.1, 
NC_000024.10,BestRefSeq,exon,281380,281683,281381,281684,PLCXD1,55344,NR_163416.1, 
NC_000024.10,BestRefSeq,exon,284166,284313,284167,284314,PLCXD1,55344,NR_163416.1, 
NC_000024.10,BestRefSeq,exon,288732,288868,288733,288869,PLCXD1,55344,NR_163416.1, 
NC_000024.10,BestRefSeq,exon,290647,290775,290648,290776,PLCXD1,55344,NR_163416.1, 
NC_000024.10,BestRefSeq,exon,291498,291653,291499,291654,PLCXD1,55344,NR_163416.1, 
NC_000024.10,BestRefSeq,exon,293034,293217,293035,293218,PLCXD1,55344,NR_163416.1, 
NC_000024.10,BestRefSeq,exon,299096,299778,299097,299779,PLCXD1,55344,NR_163416.1, 
NC_000024.10,BestRefSeq,exon,301889,303355,301890,303356,PLCXD1,55344,NR_163416.1, 
NC_000024.10,BestRefSeq,mRNA,276355,303355,276356,303356,PLCXD1,55344,NM_001370370.1, 
NC_000024.10,BestRefSeq,exon,276355,276393,276356,276394,PLCXD1,55344,NM_001370370.1, 
NC_000024.10,BestRefSeq,exon,281481,281683,281482,281684,PLCXD1,55344,NM_001370370.1, 
NC_000024.10,BestRefSeq,exon,284166,284313,284167,284314,PLCXD1,55344,NM_001370370.1, 
NC_000024.10,BestRefSeq,exon,288732,288868,288733,288869,PLCXD1,55344,NM_001370370.1, 
NC_000024.10,BestRefSeq,exon,290647,290775,290648,290776,PLCXD1,55344,NM_001370370.1, 
NC_000024.10,BestRefSeq,exon,291498,291653,291499,291654,PLCXD1,55344,NM_001370370.1, 
NC_000024.10,BestRefSeq,exon,293034,293217,293035,293218,PLCXD1,55344,NM_001370370.1, 
NC_000024.10,BestRefSeq,exon,299096,303355,299097,303356,PLCXD1,55344,NM_001370370.1, 
NC_000024.10,BestRefSeq,CDS,284187,284313,284188,284314,PLCXD1,55344,NP_001357299.1, 
NC_000024.10,BestRefSeq,CDS,288732,288868,288733,288869,PLCXD1,55344,NP_001357299.1, 
NC_000024.10,BestRefSeq,CDS,290647,290775,290648,290776,PLCXD1,55344,NP_001357299.1, 
NC_000024.10,BestRefSeq,CDS,291498,291653,291499,291654,PLCXD1,55344,NP_001357299.1, 
NC_000024.10,BestRefSeq,CDS,293034,293217,293035,293218,PLCXD1,55344,NP_001357299.1, 
NC_000024.10,BestRefSeq,CDS,299096,299334,299097,299335,PLCXD1,55344,NP_001357299.1, 
NC_000024.10,BestRefSeq,mRNA,276355,303355,276356,303356,PLCXD1,55344,NM_001370372.1, 
NC_000024.10,BestRefSeq,exon,276355,276393,276356,276394,PLCXD1,55344,NM_001370372.1, 
NC_000024.10,BestRefSeq,exon,281481,281683,281482,281684,PLCXD1,55344,NM_001370372.1, 
NC_000024.10,BestRefSeq,exon,284166,284313,284167,284314,PLCXD1,55344,NM_001370372.1, 
NC_000024.10,BestRefSeq,exon,288732,288868,288733,288869,PLCXD1,55344,NM_001370372.1, 
NC_000024.10,BestRefSeq,exon,290647,290775,290648,290776,PLCXD1,55344,NM_001370372.1, 
NC_000024.10,BestRefSeq,exon,293034,293217,293035,293218,PLCXD1,55344,NM_001370372.1, 
