chr,gene,length
chr1,AADACL3.csv,12651
chr1,AADACL4.csv,22992
chr1,ABCD3.csv,100578
chr1,ACADM.csv,38971
chr1,ACBD3-AS1.csv,6975
chr1,ACKR1.csv,1626
chr1,ACOT11.csv,90965
chr1,ACTL8.csv,71731
chr1,ACTN2.csv,78133
chr1,ACTRT2.csv,1437
chr1,ADAM15.csv,11460
chr1,ADAMTSL4.csv,11560
chr1,ADGRL2.csv,687829
chr1,ADORA1.csv,39701
chr1,ADPRS.csv,5048
chr1,AGBL4-AS1.csv,11884
chr1,AGL.csv,73947
chr1,AGO1.csv,60772
chr1,AGO3.csv,146818
chr1,AGO4.csv,50261
chr1,AGRN.csv,36018
chr1,AGTRAP.csv,14651
chr1,AHCYL1.csv,38978
chr1,AJAP1.csv,137926
chr1,AK4.csv,84804
chr1,AK5.csv,278059
chr1,AKIRIN1.csv,14784
chr1,AKR1A1.csv,19273
chr1,ALG14-AS1.csv,5950
chr1,ALG6.csv,70927
chr1,ALPL.csv,69429
chr1,AMPD2.csv,12219
chr1,AMY1A.csv,9036
chr1,AMY1C.csv,13263
chr1,AMY2A.csv,8354
chr1,AMY2B.csv,24891
chr1,ANGPTL3.csv,8794
chr1,ANGPTL7.csv,6658
chr1,ANKRD65-AS1.csv,3043
chr1,ANXA9.csv,13778
chr1,AP4B1-AS1.csv,88626
chr1,APCS.csv,1040
chr1,AQP10.csv,4267
chr1,ARF1.csv,16505
chr1,ARHGAP29-AS1.csv,89195
chr1,ARHGEF10L.csv,184434
chr1,ARHGEF16.csv,26527
chr1,ARHGEF2-AS1.csv,10398
chr1,ARHGEF2-AS2.csv,4345
chr1,ARID1A.csv,86090
chr1,ARMH1.csv,50896
chr1,ARTN.csv,3440
chr1,ARV1.csv,21652
chr1,ASH1L-AS1.csv,1903
chr1,ATAD3A.csv,22544
chr1,ATAD3B.csv,37735
chr1,ATAD3C.csv,20475
chr1,ATF3.csv,55371
chr1,ATF6.csv,197751
chr1,ATG4C.csv,81385
chr1,ATP1A1.csv,37274
chr1,ATP1A2.csv,27833
chr1,ATP1A4.csv,35378
chr1,ATP1B1.csv,26030
chr1,ATP2B4.csv,117250
chr1,ATP5IF1.csv,1977
chr1,ATP5PB.csv,13310
chr1,ATP6V0B.csv,3336
chr1,ATP8B2.csv,25780
chr1,ATXN7L2.csv,8900
chr1,AXDND1.csv,189032
chr1,AZIN2.csv,81137
chr1,B3GALT6.csv,2805
chr1,B4GALT2.csv,11962
chr1,BCAN.csv,17412
chr1,BCAR3-AS1.csv,8063
chr1,BCL10-AS1.csv,1731
chr1,BCL9.csv,84716
chr1,BECN2.csv,1296
chr1,BGLAP.csv,1134
chr1,BLZF1.csv,28381
chr1,BMP8A.csv,38244
chr1,BMP8B-AS1.csv,1456
chr1,BNIPL.csv,11400
chr1,BOLA1.csv,1228
chr1,BRDT.csv,65058
chr1,BRINP2.csv,111533
chr1,BRINP3-DT.csv,3135
chr1,BROX.csv,22633
chr1,BSND.csv,18240
chr1,BTBD19.csv,8144
chr1,BTBD8.csv,108165
chr1,BTF3L4.csv,34422
chr1,BTG2.csv,4084
chr1,C1orf100.csv,37835
chr1,C1orf105.csv,50270
chr1,C1orf112.csv,59351
chr1,C1orf115.csv,8791
chr1,C1orf122.csv,1665
chr1,C1orf146.csv,27899
chr1,C1orf162.csv,16486
chr1,C1orf167.csv,28036
chr1,C1orf185.csv,50096
chr1,C1orf21.csv,241991
chr1,C1orf220.csv,6094
chr1,C1orf226.csv,7972
chr1,C1orf50.csv,12243
chr1,C1orf53.csv,4733
chr1,C1orf54.csv,10611
chr1,C1orf56.csv,3670
chr1,C1orf68.csv,949
chr1,C1orf94.csv,52139
chr1,C1QA.csv,3216
chr1,C1QB.csv,8402
chr1,C1QC.csv,4476
chr1,C2CD4D-AS1.csv,13259
chr1,C4BPA.csv,40741
chr1,C4BPB.csv,11199
chr1,C8A.csv,63428
chr1,CA14.csv,8605
chr1,CA6.csv,29225
chr1,CACHD1.csv,222930
chr1,CACNA1E.csv,490373
chr1,CACYBP.csv,12593
chr1,CADM3.csv,31722
chr1,CALML6.csv,3546
chr1,CAMK1G.csv,30226
chr1,CAMSAP2.csv,121815
chr1,CAMTA1.csv,984255
chr1,CAP1.csv,32409
chr1,CAPN2.csv,74422
chr1,CAPN9.csv,56068
chr1,CAPZA1.csv,51842
chr1,CASQ1.csv,11312
chr1,CATSPER4.csv,13003
chr1,CATSPERE.csv,188492
chr1,CCDC18.csv,99236
chr1,CCDC185.csv,2051
chr1,CCDC24.csv,4930
chr1,CCDC27.csv,19248
chr1,CCDC28B.csv,4793
chr1,CCDC30.csv,201084
chr1,CCN1.csv,3190
chr1,CD101.csv,49485
chr1,CD160.csv,19977
chr1,CD1A.csv,9934
chr1,CD1C.csv,4888
chr1,CD1D.csv,8398
chr1,CD1E.csv,4432
chr1,CD2.csv,14800
chr1,CD46.csv,43479
chr1,CD52.csv,2566
chr1,CD53.csv,28762
chr1,CD55.csv,39293
chr1,CDA.csv,29807
chr1,CDC14A.csv,175277
chr1,CDC20.csv,4223
chr1,CDC42.csv,48652
chr1,CDC7.csv,26797
chr1,CDC73.csv,132785
chr1,CDCA8.csv,17204
chr1,CDK18.csv,28201
chr1,CDKN2C.csv,5929
chr1,CELA2A.csv,15360
chr1,CELA2B.csv,15292
chr1,CELA3A.csv,10886
chr1,CELA3B.csv,12333
chr1,CELSR2.csv,26213
chr1,CENPF.csv,61377
chr1,CENPS-CORT.csv,21721
chr1,CENPS.csv,12376
chr1,CEP350.csv,160103
chr1,CEP85.csv,44630
chr1,CEPT1.csv,45669
chr1,CFAP107.csv,17500
chr1,CFAP57.csv,82029
chr1,CFH.csv,95472
chr1,CFHR1.csv,12459
chr1,CFHR2.csv,15885
chr1,CFHR3.csv,20592
chr1,CFHR4.csv,30861
chr1,CFHR5.csv,34704
chr1,CGN.csv,27835
chr1,CH17-125A10.2.csv,19251
chr1,CHD1L.csv,123016
chr1,CHI3L2.csv,16361
chr1,CHIA.csv,29716
chr1,CHRM3.csv,528886
chr1,CHRNB2.csv,16931
chr1,CHTOP.csv,12241
chr1,CIART.csv,4540
chr1,CKS1B.csv,4571
chr1,CLCA1.csv,31333
chr1,CLCA2.csv,32410
chr1,CLCA4.csv,33681
chr1,CLCN6.csv,36940
chr1,CLCNKA.csv,12015
chr1,CLCNKB.csv,13545
chr1,CLIC4.csv,98875
chr1,CMPK1.csv,45050
chr1,CNIH3.csv,305915
chr1,CNIH4.csv,22574
chr1,CNKSR1.csv,12394
chr1,CNN3-DT.csv,36911
chr1,CNST.csv,102258
chr1,CNTN2.csv,35353
chr1,COA6.csv,11625
chr1,COG2.csv,51502
chr1,COQ8A.csv,48206
chr1,CORT.csv,1968
chr1,COX20.csv,9758
chr1,CPT2.csv,17374
chr1,CPTP.csv,4140
chr1,CR1.csv,145609
chr1,CR1L.csv,78571
chr1,CR2.csv,35565
chr1,CRB1.csv,276952
chr1,CRCT1.csv,1529
chr1,CREB3L4.csv,6878
chr1,CROCC.csv,58898
chr1,CSF1.csv,20487
chr1,CSMD2-AS1.csv,16503
chr1,CSRP1-AS1.csv,27572
chr1,CTH.csv,30682
chr1,CTPS1.csv,32870
chr1,CTRC.csv,10806
chr1,CTTNBP2NL.csv,70080
chr1,CTXND2.csv,26157
chr1,CYB561D1.csv,6342
chr1,CYP4A22.csv,12298
chr1,CYP4B1.csv,20368
chr1,CYP4X1.csv,94069
chr1,CYP4Z1.csv,62796
chr1,DAB1-AS1.csv,2636
chr1,DAP3.csv,51109
