chr,gene,length
chr7,LOC107986710.csv,15911
chr10,LOC101927445.csv,29512
chr9,LOC105376240.csv,50332
chr18,CTIF.csv,324187
chr2,LOC112268422.csv,6382
chr11,LINC02708.csv,1195
chr19,ZNF283.csv,25995
chr2,IGKV2D-40.csv,734
chr14,PSME1.csv,2769
chr15,LOC105370764.csv,23083
chr3,ADPRH.csv,10454
chr11,LOC102724064.csv,15774
chr15,LINC02256.csv,43851
chr11,C2CD2L.csv,11795
chr1,LOC105372901.csv,44764
chr6,SLC35A1.csv,39363
chr23,MAGEA6-DT.csv,22384
chr17,TIMM22.csv,6543
chr2,LOC101927400.csv,101111
chr16,LOC101929732.csv,16088
chr1,LOC107985458.csv,32918
chr9,LOC105376236.csv,27988
chr2,SLC1A4.csv,35387
chr11,ZNF408.csv,4882
chr4,TMEM165.csv,57745
chr9,NANS.csv,26356
chr5,POLR3G.csv,40629
chr19,LOC105372399.csv,8379
chr22,IGLJ4.csv,38
chr20,CBFA2T2.csv,159935
chr19,ZNF534.csv,23116
chr12,LRTM2.csv,16487
chr3,ABHD6.csv,57205
chr20,MIR1-1.csv,71
chr5,C5orf38.csv,6686
chr17,KIF19.csv,29609
chr19,LOC105372273.csv,12541
chr19,SNORD105B.csv,92
chr23,MAMLD1.csv,152615
chr2,CFC1B.csv,7392
chr5,GDNF-AS1.csv,35916
chr2,SNORD92.csv,89
chr5,IK.csv,14663
chr5,LOC107986345.csv,2742
chr1,LOC107985355.csv,910
chr3,LOC105377074.csv,4677
chr3,GALNT15.csv,73646
chr12,MIR6758.csv,63
chr2,ITGAV.csv,90846
chr1,PTBP2.csv,101974
chr4,LOC112268462.csv,11541
chr15,CGNL1.csv,174266
chr19,CYP2A13.csv,7745
chr5,LOC107986395.csv,2798
chr6,LOC101929309.csv,50265
chr10,LOC105378287.csv,6319
chr20,LINC01752.csv,938
chr19,FAM174C.csv,3699
chr15,CLK3.csv,21830
chr6,PGBD1.csv,22118
chr1,CYP4B1.csv,20368
chr7,LOC112267988.csv,23202
chr11,OR4C13.csv,1029
chr15,NGRN.csv,6549
chr11,RBM7.csv,9942
chr17,KRTAP9-1.csv,753
chr7,NCF1.csv,15305
chr1,LY9.csv,32145
chr12,TIGAR.csv,38816
chr1,LOC101927604.csv,4170
chr18,TTC39C.csv,143128
chr8,LOC105375855.csv,90041
chr8,LOC105375768.csv,3816
chr1,MFSD4A.csv,33905
chr7,VWC2.csv,150140
chr9,LOC105375992.csv,4151
chr22,LOC112268295.csv,3465
chr14,PSEN1.csv,87256
chr4,FAM149A.csv,70634
chr7,WEE2.csv,22919
chr3,ATRIP.csv,20909
chr5,LOC107986465.csv,4278
chr19,RPL28.csv,17411
chr9,TMEM141.csv,1974
chr1,LINC01774.csv,2854
chr2,CYP27A1.csv,33561
chr4,MIR1305.csv,86
chr13,TFDP1.csv,56786
chr13,MIR19B1.csv,87
chr11,ADM.csv,2325
chr9,UHRF2.csv,93909
chr6,MICA.csv,14605
chr6,TFAP2A-AS2.csv,3426
chr12,NINJ2-AS1.csv,14988
chr7,HECW1-IT1.csv,45292
chr11,OOSP4B.csv,13915
chr6,LOC105374889.csv,1040
chr14,MIR8071-2.csv,65
chr9,PRSS3.csv,48710
chr19,SLC44A2.csv,42103
chr17,C17orf50.csv,4193
chr8,PTK2B.csv,147914
chr2,MIR4773-1.csv,78
chr4,LOC105374346.csv,610
chr6,QRSL1.csv,38840
chr17,LOC105371755.csv,72103
chr24,LOC105373102.csv,4533
chr7,GLCCI1.csv,120285
chr19,ZNF580.csv,2469
chr5,LOC107986365.csv,17333
chr19,KIR3DL3.csv,12191
chr2,PJVK.csv,16958
chr20,MIR941-2.csv,72
chr10,TNKS2.csv,67050
chr15,LOC105370936.csv,5820
chr6,OR2I1P.csv,7367
chr10,SUFU.csv,130735
chr17,MYO15A.csv,71489
chr8,RBPMS.csv,187721
chr2,TNFAIP6.csv,22455
chr7,TRC-GCA22-1.csv,72
chr10,LBX1-AS1.csv,9266
chr17,KRTAP4-7.csv,995
chr2,FAM201B.csv,1617
chr9,LOC107987111.csv,19743
chr11,CCDC88B.csv,17332
chr12,TEX49.csv,42720
chr17,CDK5RAP3.csv,13878
chr8,ZNF596.csv,15204
chr19,SYDE1.csv,7585
chr4,SPRY1.csv,6966
chr21,LOC107985502.csv,17501
chr14,SNORD56B.csv,71
chr11,LOC112268082.csv,4039
chr5,OR4F3.csv,27889
chr4,POLR2B.csv,52263
chr1,MIR197.csv,75
chr7,LOC105375302.csv,45033
chr7,LOC102723686.csv,121255
chr5,UQCRQ.csv,2206
chr9,TMEFF1.csv,104488
chr1,TTC24.csv,7997
chr11,OR4D10.csv,6047
chr15,LOC102724055.csv,17620
chr9,TLR4.csv,20333
chr11,LOC107984407.csv,602
chr23,LOC105373342.csv,3357
chr4,CABS1.csv,2136
chr1,NPPA-AS1.csv,7298
chr20,LOC107985414.csv,5324
chr4,MTTP.csv,59868
chr17,LOC105371785.csv,5176
chr20,SNORD12B.csv,103
chr22,LOC102723722.csv,1824
chr17,HID1-AS1.csv,5040
chr1,ELAPOR1.csv,92676
chr22,TAB1.csv,37353
chr23,WAS.csv,7675
chr20,LIME1.csv,3403
chr9,LOC105375955.csv,7688
chr6,IRF4.csv,19692
chr9,SNORD36B.csv,71
chr20,HNF4A.csv,78898
chr12,C1RL-AS1.csv,13544
chr16,NME4.csv,4026
chr20,PPDPF.csv,1466
chr7,SPDYE14.csv,80225
chr2,SLC66A3.csv,26657
chr23,CLCN5.csv,176636
chr11,KCNQ1DN.csv,2073
chr17,TXNDC17.csv,3482
chr3,LOC105374187.csv,22476
chr19,MIR8077.csv,75
chr17,DGKE.csv,35437
chr19,DNM2.csv,113825
chr11,OR5AS1.csv,10538
chr4,SNORD162.csv,98
chr11,BCO2.csv,43435
chr2,SP100.csv,129406
chr2,MFSD6.csv,94739
chr12,ZNF705A.csv,23048
chr17,RPL23A.csv,4375
chr15,MIR5701-1.csv,82
chr17,LOC112268190.csv,2083
chr6,RNF146.csv,26479
chr22,PANX2.csv,9565
chr20,LOC105372692.csv,5895
chr1,THEMIS2.csv,14149
chr13,LINC00327.csv,17953
chr1,SLC30A7.csv,100824
chr22,TAFA5.csv,262380
chr11,LOC105369552.csv,4949
chr13,LOC105370310.csv,9224
chr3,LOC101928529.csv,6155
chr2,LOC105374775.csv,3272
chr19,SNAR-C2.csv,120
chr10,FAM25A.csv,4437
chr6,LOC105377836.csv,5656
chr1,FBXO6.csv,10155
chr2,TTN-AS1.csv,97391
chr5,MIR3655.csv,83
chr8,ESCO2.csv,40482
chr19,LOC105372370.csv,3729
chr8,POLR2K.csv,3368
chr17,CCL18.csv,7761
chr14,SNORD114-1.csv,71
chr5,LOC105374608.csv,10309
chr22,CCDC116.csv,5209
chr22,UPK3A.csv,10926
chr14,LINC01269.csv,13456
chr23,ARHGAP36.csv,31540
chr8,UQCRB-AS1.csv,3818
chr13,LINC01043.csv,8300
chr4,NAA15.csv,89886
chr12,LOC105369759.csv,4078
chr5,LOC105374672.csv,9125
chr13,LINC00544.csv,13958
chr6,TMEM14C.csv,8058
chr20,LOC107985430.csv,9905
chr16,CCP110.csv,29530
chr14,TRAV24.csv,504
chr1,RPS6KC1.csv,327513
chr14,LOC105370664.csv,3001
chr7,NFE4.csv,15424
chr2,LOC107985984.csv,4793
chr16,PSKH1.csv,36423
chr6,LOC105375051.csv,5342
chr16,METRN.csv,4538
chr7,TMEM213.csv,9273
chr4,SLC25A31.csv,43928
chr4,MOB1B.csv,86205
chr1,LOC105378693.csv,9942
chr2,FBLN7.csv,116174
chr8,TRY-GTA5-1.csv,93
chr13,LOC107984607.csv,11244
chr14,MIR376A2.csv,80
chr7,GTF2IRD1.csv,149165
chr11,ENDOD1.csv,42800
chr1,LOC105372873.csv,18519
chr7,ADAM22.csv,268727
chr17,EVPLL.csv,11980
chr7,ITPRID1.csv,144631
chr4,LIMCH1.csv,340438
chr11,RAB30-DT.csv,1647
chr5,FAM13B-AS1.csv,6160
chr13,CHAMP1.csv,12820
chr1,LOC105378787.csv,32634
chr6,CYP21A2.csv,3230
chr14,MIR337.csv,93
