sequence_id,refseq,region,start_index,end_index,start,end
NC_000024.9,BestRefSeq,gene,143022,170022,143023,170023 
NC_000024.9,BestRefSeq,transcript,143022,170022,143023,170023 
NC_000024.9,BestRefSeq,exon,143022,143060,143023,143061 
NC_000024.9,BestRefSeq,exon,148148,148350,148149,148351 
NC_000024.9,BestRefSeq,exon,150833,150980,150834,150981 
NC_000024.9,BestRefSeq,exon,155399,155535,155400,155536 
NC_000024.9,BestRefSeq,exon,157314,157442,157315,157443 
NC_000024.9,BestRefSeq,exon,158165,158320,158166,158321 
NC_000024.9,BestRefSeq,exon,159701,159884,159702,159885 
NC_000024.9,BestRefSeq,exon,165763,166058,165764,166059 
NC_000024.9,BestRefSeq,exon,169259,170022,169260,170023 
NC_000024.9,BestRefSeq,transcript,148047,170022,148048,170023 
NC_000024.9,BestRefSeq,exon,148047,148350,148048,148351 
NC_000024.9,BestRefSeq,exon,150833,150980,150834,150981 
NC_000024.9,BestRefSeq,exon,155399,155535,155400,155536 
NC_000024.9,BestRefSeq,exon,157314,157442,157315,157443 
NC_000024.9,BestRefSeq,exon,158165,158320,158166,158321 
NC_000024.9,BestRefSeq,exon,159701,159884,159702,159885 
NC_000024.9,BestRefSeq,exon,165763,166445,165764,166446 
NC_000024.9,BestRefSeq,exon,168556,170022,168557,170023 
NC_000024.9,BestRefSeq,mRNA,143022,170022,143023,170023 
NC_000024.9,BestRefSeq,exon,143022,143060,143023,143061 
NC_000024.9,BestRefSeq,exon,148148,148350,148149,148351 
NC_000024.9,BestRefSeq,exon,150833,150980,150834,150981 
NC_000024.9,BestRefSeq,exon,155399,155535,155400,155536 
NC_000024.9,BestRefSeq,exon,157314,157442,157315,157443 
NC_000024.9,BestRefSeq,exon,158165,158320,158166,158321 
NC_000024.9,BestRefSeq,exon,159701,159884,159702,159885 
NC_000024.9,BestRefSeq,exon,165763,170022,165764,170023 
NC_000024.9,BestRefSeq,CDS,150854,150980,150855,150981 
NC_000024.9,BestRefSeq,CDS,155399,155535,155400,155536 
NC_000024.9,BestRefSeq,CDS,157314,157442,157315,157443 
NC_000024.9,BestRefSeq,CDS,158165,158320,158166,158321 
NC_000024.9,BestRefSeq,CDS,159701,159884,159702,159885 
NC_000024.9,BestRefSeq,CDS,165763,166001,165764,166002 
NC_000024.9,BestRefSeq,mRNA,143022,170022,143023,170023 
NC_000024.9,BestRefSeq,exon,143022,143060,143023,143061 
NC_000024.9,BestRefSeq,exon,148148,148350,148149,148351 
NC_000024.9,BestRefSeq,exon,150833,150980,150834,150981 
NC_000024.9,BestRefSeq,exon,155399,155535,155400,155536 
NC_000024.9,BestRefSeq,exon,157314,157442,157315,157443 
NC_000024.9,BestRefSeq,exon,159701,159884,159702,159885 
NC_000024.9,BestRefSeq,exon,165763,170022,165764,170023 
NC_000024.9,BestRefSeq,CDS,150854,150980,150855,150981 
NC_000024.9,BestRefSeq,CDS,155399,155535,155400,155536 
NC_000024.9,BestRefSeq,CDS,157314,157442,157315,157443 
NC_000024.9,BestRefSeq,CDS,159701,159884,159702,159885 
NC_000024.9,BestRefSeq,CDS,165763,166001,165764,166002 
NC_000024.9,BestRefSeq,mRNA,143022,170022,143023,170023 
NC_000024.9,BestRefSeq,exon,143022,143060,143023,143061 
NC_000024.9,BestRefSeq,exon,150833,150980,150834,150981 
NC_000024.9,BestRefSeq,exon,155399,155535,155400,155536 
NC_000024.9,BestRefSeq,exon,157314,157442,157315,157443 
NC_000024.9,BestRefSeq,exon,158165,158320,158166,158321 
NC_000024.9,BestRefSeq,exon,159701,159884,159702,159885 
NC_000024.9,BestRefSeq,exon,165763,170022,165764,170023 
NC_000024.9,BestRefSeq,CDS,150854,150980,150855,150981 
NC_000024.9,BestRefSeq,CDS,155399,155535,155400,155536 
NC_000024.9,BestRefSeq,CDS,157314,157442,157315,157443 
NC_000024.9,BestRefSeq,CDS,158165,158320,158166,158321 
NC_000024.9,BestRefSeq,CDS,159701,159884,159702,159885 
NC_000024.9,BestRefSeq,CDS,165763,166001,165764,166002 
NC_000024.9,BestRefSeq,mRNA,148047,170022,148048,170023 
NC_000024.9,BestRefSeq,exon,148047,148350,148048,148351 
NC_000024.9,BestRefSeq,exon,150833,150980,150834,150981 
NC_000024.9,BestRefSeq,exon,155399,155535,155400,155536 
NC_000024.9,BestRefSeq,exon,157314,157442,157315,157443 
NC_000024.9,BestRefSeq,exon,158165,158320,158166,158321 
NC_000024.9,BestRefSeq,exon,159701,159884,159702,159885 
NC_000024.9,BestRefSeq,exon,165763,170022,165764,170023 
NC_000024.9,BestRefSeq,CDS,150854,150980,150855,150981 
NC_000024.9,BestRefSeq,CDS,155399,155535,155400,155536 
NC_000024.9,BestRefSeq,CDS,157314,157442,157315,157443 
NC_000024.9,BestRefSeq,CDS,158165,158320,158166,158321 
NC_000024.9,BestRefSeq,CDS,159701,159884,159702,159885 
NC_000024.9,BestRefSeq,CDS,165763,166001,165764,166002 
NC_000024.9,BestRefSeq,mRNA,150144,170022,150145,170023 
NC_000024.9,BestRefSeq,exon,150144,150186,150145,150187 
NC_000024.9,BestRefSeq,exon,150833,150980,150834,150981 
NC_000024.9,BestRefSeq,exon,155399,155535,155400,155536 
NC_000024.9,BestRefSeq,exon,157314,157442,157315,157443 
NC_000024.9,BestRefSeq,exon,158165,158320,158166,158321 
NC_000024.9,BestRefSeq,exon,159701,159884,159702,159885 
NC_000024.9,BestRefSeq,exon,165763,170022,165764,170023 
NC_000024.9,BestRefSeq,CDS,150854,150980,150855,150981 
NC_000024.9,BestRefSeq,CDS,155399,155535,155400,155536 
NC_000024.9,BestRefSeq,CDS,157314,157442,157315,157443 
NC_000024.9,BestRefSeq,CDS,158165,158320,158166,158321 
NC_000024.9,BestRefSeq,CDS,159701,159884,159702,159885 
NC_000024.9,BestRefSeq,CDS,165763,166001,165764,166002 
NC_000024.9,BestRefSeq,gene,171416,180885,171417,180886 
NC_000024.9,BestRefSeq,mRNA,171416,180885,171417,180886 
NC_000024.9,BestRefSeq,exon,180816,180885,180817,180886 
NC_000024.9,BestRefSeq,exon,179432,179590,179433,179591 
NC_000024.9,BestRefSeq,exon,178085,178293,178086,178294 
NC_000024.9,BestRefSeq,exon,174398,174546,174399,174547 
NC_000024.9,BestRefSeq,exon,174026,174178,174027,174179 
NC_000024.9,BestRefSeq,exon,171416,171863,171417,171864 
NC_000024.9,BestRefSeq,CDS,180816,180885,180817,180886 
NC_000024.9,BestRefSeq,CDS,179432,179590,179433,179591 
NC_000024.9,BestRefSeq,CDS,178085,178293,178086,178294 
NC_000024.9,BestRefSeq,CDS,174398,174546,174399,174547 
NC_000024.9,BestRefSeq,CDS,174026,174178,174027,174179 
NC_000024.9,BestRefSeq,CDS,171740,171863,171741,171864 
NC_000024.9,BestRefSeq,gene,231384,232066,231385,232067 
NC_000024.9,BestRefSeq,lnc_RNA,231384,232066,231385,232067 
NC_000024.9,BestRefSeq,exon,231384,232066,231385,232067 
NC_000024.9,BestRefSeq,lnc_RNA,231384,232066,231385,232067 
NC_000024.9,BestRefSeq,exon,231384,232066,231385,232067 
NC_000024.9,BestRefSeq,gene,244667,297641,244668,297642 
NC_000024.9,BestRefSeq,mRNA,244667,297641,244668,297642 
NC_000024.9,BestRefSeq,exon,297102,297641,297103,297642 
NC_000024.9,BestRefSeq,exon,272139,272324,272140,272325 
NC_000024.9,BestRefSeq,exon,258324,258427,258325,258428 
NC_000024.9,BestRefSeq,exon,257968,258070,257969,258071 
NC_000024.9,BestRefSeq,exon,257435,257509,257436,257510 
NC_000024.9,BestRefSeq,exon,256908,256994,256909,256995 
NC_000024.9,BestRefSeq,exon,256250,256406,256251,256407 
NC_000024.9,BestRefSeq,exon,252617,252665,252618,252666 
NC_000024.9,BestRefSeq,exon,252041,252130,252042,252131 
NC_000024.9,BestRefSeq,exon,251499,251674,251500,251675 
NC_000024.9,BestRefSeq,exon,249512,249630,249513,249631 
NC_000024.9,BestRefSeq,exon,249338,249444,249339,249445 
NC_000024.9,BestRefSeq,exon,244667,245251,244668,245252 
NC_000024.9,BestRefSeq,CDS,297102,297425,297103,297426 
NC_000024.9,BestRefSeq,CDS,272139,272324,272140,272325 
NC_000024.9,BestRefSeq,CDS,258324,258427,258325,258428 
NC_000024.9,BestRefSeq,CDS,257968,258070,257969,258071 
NC_000024.9,BestRefSeq,CDS,257435,257509,257436,257510 
NC_000024.9,BestRefSeq,CDS,256908,256994,256909,256995 
NC_000024.9,BestRefSeq,CDS,256250,256406,256251,256407 
NC_000024.9,BestRefSeq,CDS,252617,252665,252618,252666 
NC_000024.9,BestRefSeq,CDS,252041,252130,252042,252131 
NC_000024.9,BestRefSeq,CDS,251499,251674,251500,251675 
NC_000024.9,BestRefSeq,CDS,249512,249630,249513,249631 
NC_000024.9,BestRefSeq,CDS,249338,249444,249339,249445 
NC_000024.9,BestRefSeq,CDS,245101,245251,245102,245252 
NC_000024.9,RefSeqFE,biological_region,348356,348949,348357,348950 
NC_000024.9,RefSeqFE,enhancer,348356,348949,348357,348950 
NC_000024.9,RefSeqFE,enhancer,348356,348906,348357,348907 
NC_000024.9,RefSeqFE,conserved_region,348483,348604,348484,348605 
NC_000024.9,RefSeqFE,conserved_region,348645,348807,348646,348808 
NC_000024.9,RefSeqFE,biological_region,410278,410663,410279,410664 
NC_000024.9,RefSeqFE,enhancer,410278,410663,410279,410664 
NC_000024.9,RefSeqFE,enhancer,410279,410663,410280,410664 
NC_000024.9,Curated Genomic,pseudogene,434475,434835,434476,434836 
NC_000024.9,Curated Genomic,pseudogene,455970,456086,455971,456087 
NC_000024.9,RefSeqFE,biological_region,466609,467228,466610,467229 
NC_000024.9,RefSeqFE,enhancer,466609,467228,466610,467229 
NC_000024.9,RefSeqFE,conserved_region,466666,466965,466667,466966 
NC_000024.9,BestRefSeq,gene,535078,570145,535079,570146 
NC_000024.9,BestRefSeq,mRNA,535078,570145,535079,570146 
NC_000024.9,BestRefSeq,exon,535078,535336,535079,535337 
NC_000024.9,BestRefSeq,exon,541200,541908,541201,541909 
NC_000024.9,BestRefSeq,exon,545352,545560,545353,545561 
NC_000024.9,BestRefSeq,exon,551555,551612,551556,551613 
NC_000024.9,BestRefSeq,exon,551733,551821,551734,551822 
NC_000024.9,BestRefSeq,exon,569519,570145,569520,570146 
NC_000024.9,BestRefSeq,CDS,541632,541908,541633,541909 
NC_000024.9,BestRefSeq,CDS,545352,545560,545353,545561 
NC_000024.9,BestRefSeq,CDS,551555,551612,551556,551613 
NC_000024.9,BestRefSeq,CDS,551733,551821,551734,551822 
NC_000024.9,BestRefSeq,CDS,569519,569563,569520,569564 
NC_000024.9,BestRefSeq,mRNA,535078,557557,535079,557558 
NC_000024.9,BestRefSeq,exon,535078,535336,535079,535337 
NC_000024.9,BestRefSeq,exon,541200,541908,541201,541909 
NC_000024.9,BestRefSeq,exon,545352,545560,545353,545561 
NC_000024.9,BestRefSeq,exon,551555,551612,551556,551613 
NC_000024.9,BestRefSeq,exon,551733,551821,551734,551822 
NC_000024.9,BestRefSeq,exon,555125,557557,555126,557558 
NC_000024.9,BestRefSeq,CDS,541632,541908,541633,541909 
NC_000024.9,BestRefSeq,CDS,545352,545560,545353,545561 
NC_000024.9,BestRefSeq,CDS,551555,551612,551556,551613 
NC_000024.9,BestRefSeq,CDS,551733,551821,551734,551822 
NC_000024.9,BestRefSeq,CDS,555125,555370,555126,555371 
NC_000024.9,RefSeqFE,biological_region,543787,547009,543788,547010 
NC_000024.9,RefSeqFE,meiotic_recombination_region,543787,546868,543788,546869 
NC_000024.9,RefSeqFE,meiotic_recombination_region,544010,547009,544011,547010 
NC_000024.9,RefSeqFE,nucleotide_motif,545088,545104,545089,545105 
NC_000024.9,RefSeqFE,biological_region,664083,664752,664084,664753 
NC_000024.9,RefSeqFE,enhancer,664083,664752,664084,664753 
NC_000024.9,RefSeqFE,enhancer,664084,664738,664085,664739 
NC_000024.9,RefSeqFE,conserved_region,664363,664448,664364,664449 
NC_000024.9,RefSeqFE,enhancer,664370,664469,664371,664470 
NC_000024.9,RefSeqFE,enhancer,700823,701849,700824,701850 
NC_000024.9,RefSeqFE,biological_region,700823,701849,700824,701850 
NC_000024.9,RefSeqFE,enhancer,700824,701849,700825,701850 
NC_000024.9,RefSeqFE,conserved_region,700834,700883,700835,700884 
NC_000024.9,RefSeqFE,conserved_region,701021,701080,701022,701081 
NC_000024.9,RefSeqFE,conserved_region,701184,701470,701185,701471 
NC_000024.9,RefSeqFE,conserved_region,701520,701684,701521,701685 
NC_000024.9,RefSeqFE,conserved_region,701697,701756,701698,701757 
NC_000024.9,RefSeqFE,enhancer,715863,716359,715864,716360 
NC_000024.9,RefSeqFE,biological_region,715863,716359,715864,716360 
NC_000024.9,RefSeqFE,conserved_region,716108,716196,716109,716197 
NC_000024.9,RefSeqFE,biological_region,730087,731178,730088,731179 
NC_000024.9,RefSeqFE,meiotic_recombination_region,730087,730993,730088,730994 
NC_000024.9,RefSeqFE,meiotic_recombination_region,730188,731178,730189,731179 
