chr,gene,length
chr3,LIMD1.csv,92237
chr19,LOC100128398.csv,4313
chr19,HMG20B.csv,6168
chr8,LOC105375905.csv,14639
chr2,PARD3B.csv,1074688
chr2,SELENOI.csv,49743
chr20,LOC105372699.csv,29320
chr5,UBE2QL1.csv,59377
chr15,MIR4509-2.csv,94
chr23,SMIM10L2B-AS1.csv,2981
chr13,LOC105370231.csv,10287
chr4,USP17L18.csv,1593
chr12,MIR3922.csv,84
chr9,INSL4.csv,3886
chr5,WDR70.csv,374118
chr9,CRB2.csv,26262
chr19,MIR515-1.csv,83
chr2,HNMT.csv,52297
chr11,LOC107984301.csv,11037
chr12,LOC105370087.csv,14990
chr19,LOC105372335.csv,11888
chr7,HDAC9.csv,915592
chr13,LOC102724149.csv,10780
chr22,LOC105373002.csv,22320
chr11,LINC02749.csv,15502
chr19,PDE4A.csv,52859
chr5,DDX4.csv,79164
chr21,LOC105372817.csv,8095
chr5,LINC02240.csv,108967
chr4,STBD1.csv,4398
chr6,H2AC13.csv,495
chr12,LOC100130238.csv,5510
chr10,ZSWIM8.csv,16217
chr20,PLCG1.csv,40108
chr14,TRAJ13.csv,63
chr8,GS1-24F4.2.csv,6901
chr1,RNU1-2.csv,164
chr16,CHP2.csv,3910
chr9,GRHPR.csv,16518
chr23,VCX.csv,1882
chr2,GPR35.csv,27730
chr10,MRC1.csv,101817
chr2,LOC105373437.csv,45933
chr13,NALCN-AS1.csv,350962
chr21,MX2.csv,47450
chr9,TRMT10B.csv,27256
chr22,LOC105372980.csv,5483
chr8,LOC105375812.csv,2363
chr15,EIF2AK4.csv,101477
chr4,EREG.csv,23605
chr19,MIR498.csv,124
chr9,LOC101927108.csv,60285
chr2,LOC105374464.csv,157669
chr2,LOC100996637.csv,824
chr10,FAM170B-AS1.csv,29709
chr12,SCYL2.csv,74539
chr12,CCDC60.csv,206319
chr2,CPS1-IT1.csv,2306
chr5,LOC107986434.csv,9538
chr19,IGFL1.csv,1502
chr4,TMA16.csv,25850
chr9,BARX1-DT.csv,2089
chr20,LINC01752.csv,938
chr18,LOC105372201.csv,5744
chr17,PIK3R5-DT.csv,2626
chr5,C5orf38.csv,6686
chr18,CNDP2.csv,27092
chr19,ZNF317.csv,23025
chr3,TSC22D2.csv,58125
chr22,GTPBP1.csv,33705
chr17,LOC107985063.csv,1638
chr11,DPP3.csv,29224
chr21,YBEY.csv,28133
chr5,CYFIP2.csv,129504
chr2,LOC105373950.csv,7725
chr15,SYNM.csv,31518
chr1,ARHGEF16.csv,26527
chr7,MIR129-1.csv,72
chr14,GPR65.csv,9677
chr14,LOC107984635.csv,3523
chr20,LOC105372726.csv,1874
chr6,LOC105375072.csv,3959
chr1,SMG7.csv,82201
chr10,SUFU.csv,130735
chr1,TPRG1L.csv,5113
chr7,CCT6A.csv,12225
chr8,LOC105375717.csv,37336
chr16,MIR4516.csv,86
chr9,LINC01241.csv,32913
chr19,SNAR-C2.csv,120
chr3,LOC105377004.csv,4311
chr10,LOC101929662.csv,16094
chr8,MIR4470.csv,72
chr2,IGKV5-2.csv,490
chr14,AMN.csv,11168
chr23,OPN1MW3.csv,13509
chr15,LOC105370933.csv,4945
chr5,C5orf47.csv,18360
chr9,MIR6855.csv,67
chr23,MIR4769.csv,77
chr17,TXNDC17.csv,3482
chr7,TRBV6-6.csv,433
chr6,LOC105374924.csv,24622
chr8,SYBU-AS1.csv,6600
chr9,NIPSNAP3B.csv,14024
chr21,LOC107985487.csv,4650
chr16,SGF29.csv,37876
chr9,SET.csv,12973
chr10,CSGALNACT2.csv,46864
chr1,BTBD19.csv,8144
chr3,MIR3919.csv,89
chr23,XG.csv,65397
chr6,LOC101929297.csv,19979
chr6,ADGB.csv,216491
chr21,LOC107985492.csv,8616
chr7,GIMAP7.csv,6202
chr1,ZC3H11A.csv,58502
chr6,MIR5685.csv,79
chr10,LOC105376350.csv,116889
chr8,DEFB135.csv,2335
chr22,DDTL.csv,6335
chr7,OR2A1.csv,10319
chr22,LOC107985588.csv,5234
chr10,LOC105378319.csv,20298
chr7,LOC107986719.csv,2007
chr14,SERPINA3.csv,11663
chr12,MIR4700.csv,74
chr9,FAM120A.csv,114428
chr3,ARL14.csv,1289
chr1,SRSF11.csv,47357
chr5,LOC107986409.csv,18008
chr12,LOC107984456.csv,16380
chr19,ZNF776.csv,11334
chr10,NRG3.csv,1114790
chr3,ABHD6.csv,57205
chr13,LINC00332.csv,7222
chr1,ARID1A.csv,86090
chr17,TAOK1.csv,161541
chr6,LOC105378077.csv,12771
chr12,ATXN2-AS.csv,758
chr20,LOC105372677.csv,25792
chr19,MIR181C.csv,110
chr13,LOC105370148.csv,9176
chr12,PRPF40B.csv,22413
chr5,ERCC8-AS1.csv,1279
chr16,TMEM265.csv,4555
chr19,SPINT2.csv,28043
chr1,LINC00260.csv,1277
chr19,CARD8-AS1.csv,2520
chr5,LOC107986385.csv,13790
chr1,NBPF19.csv,81317
chr3,DLG1-AS1.csv,5505
chr5,IGIP.csv,3456
chr8,LOC105375903.csv,8900
chr17,TTC19.csv,45658
chr7,LRRC61.csv,28658
chr8,GPAT4.csv,46812
chr15,CRABP1.csv,7873
chr22,CRKL.csv,36341
chr10,LINC01516.csv,48176
chr1,ATP6V0B.csv,3336
chr4,LOC105377555.csv,52074
chr1,DAP3.csv,51109
chr4,LOC107986185.csv,2168
chr1,LINC02607.csv,5349
chr8,LOC105375937.csv,39049
chr6,PEX3.csv,39812
chr9,LOC114224.csv,2087
chr14,MIR487A.csv,80
chr12,RFLNA.csv,26861
chr2,CAVIN2-AS1.csv,17894
chr1,CIART.csv,4540
chr23,ATP6AP1.csv,7848
chr8,GSDMD.csv,9676
chr9,LOC105376095.csv,70673
chr14,LOC105370653.csv,23364
chr11,MIR6124.csv,85
chr16,LOC105371103.csv,21868
chr20,PSMF1.csv,58984
chr1,LOC105378639.csv,16101
chr7,RAC1.csv,29441
chr10,LOC107984198.csv,49152
chr7,CLDN4.csv,1695
chr15,TMC3-AS1.csv,118744
chr6,FAM8A1.csv,11414
chr19,MIR1302-11.csv,138
chr4,MEPE.csv,25395
chr13,LOC102724489.csv,2920
chr17,LOC101927166.csv,21208
chr10,LOC107987148.csv,2612
chr15,VPS33B-DT.csv,8518
chr1,MIR4426.csv,63
chr16,ATP2A1.csv,25979
chr17,LINC01977.csv,4253
chr23,LINC00685.csv,2188
chr14,LOC105370447.csv,1958
chr19,SNORD105B.csv,92
chr2,RHBDD1.csv,199052
chr3,HDAC11.csv,26111
chr5,LOC100505841.csv,53100
chr16,CAPNS2.csv,1004
chr9,LOC107987006.csv,13863
chr11,PGGHG.csv,8348
chr15,NIPA1.csv,43565
chr10,LOC105378522.csv,26586
chr7,SSMEM1.csv,11471
chr7,LOC105375511.csv,7081
chr14,PRORP.csv,155320
chr2,LINC01871.csv,11271
chr8,FAM90A18.csv,3011
chr12,LOC105369755.csv,945
chr16,LOC100506281.csv,1821
chr2,SAG.csv,39251
chr10,MIR6078.csv,100
chr14,LOC105370432.csv,9755
chr17,CDK5R1.csv,6229
chr4,DCAF4L1.csv,4710
chr2,LOC105374829.csv,3526
chr7,LOC101928012.csv,85692
chr7,LINC02888.csv,92340
chr22,CCDC134.csv,31486
chr15,REC114.csv,116850
chr3,UPK1B.csv,31546
chr12,GOLT1B.csv,17233
chr1,LINC02792.csv,21605
chr6,LOC105378043.csv,8351
chr2,TMEM169.csv,20865
chr8,LOC105375880.csv,10908
chr12,TDG.csv,23033
chr3,GTPBP8.csv,10986
chr1,ATP1A2.csv,27833
chr3,LINC00870.csv,23083
chr1,NUF2.csv,33817
chr16,SDR42E2.csv,29246
chr6,TRS-AGA2-1.csv,82
chr3,ATP1B3.csv,49907
chr5,SLC35A4.csv,4273
chr11,ARHGAP42.csv,306654
chr19,LOC101928572.csv,1911
chr4,LOC105374559.csv,6998
chr9,MIR126.csv,85
chr21,SH3BGR.csv,69642
chr22,CDC45.csv,41319
chr14,LOC105370674.csv,2103
chr19,ARHGEF1.csv,46958
chr17,CCL4.csv,1788
chr14,SLC24A4.csv,178901
chr4,CDS1.csv,68404
chr6,CLDN20.csv,12536
chr24,DAZ2.csv,71900
chr13,FGF14-AS1.csv,6137
chr22,DEPDC5.csv,154066
chr5,LOC107986392.csv,6500
chr12,SUDS3.csv,44845
chr11,LOC105376506.csv,8654
chr19,KCNK6.csv,12232
chr2,LOC105374841.csv,2596
chr21,CRYAA.csv,3803
chr5,LOC107986395.csv,2798
chr19,SHFL.csv,7131
chr14,LOC105370470.csv,27345
chr19,MIR518F.csv,87
chr12,TNS2.csv,17400
chr4,LINC02261.csv,64747
chr5,AP3S1.csv,72476
chr11,TRIM6.csv,16842
chr5,PDLIM4.csv,15784
chr16,RMI2.csv,6302
chr14,DNAL1.csv,58747
chr2,GKN1.csv,6341
chr9,CKS2.csv,5509
chr20,LOC105372724.csv,2133
chr22,MRPL40.csv,3531
chr17,SNORA48.csv,135
chr6,TAAR6.csv,1038
chr19,LINC01531.csv,11234
chr16,CKLF.csv,13725
chr10,LOC105378526.csv,6627
chr7,MTURN.csv,27779
chr11,FSHB.csv,4181
chr11,MIR6743.csv,71
chr1,CTRC.csv,10806
chr3,FLJ42393.csv,2266
chr14,KIAA0586.csv,123898
chr6,LINC02880.csv,17256
chr15,ASB7.csv,49113
chr9,LOC105375956.csv,23956
chr18,LOC107985145.csv,18600
chr21,LOC102724219.csv,38368
chr1,TSNAX-DISC1.csv,512620
chr17,MIR4728.csv,67
chr1,EPB41.csv,232942
chr11,LOC105369416.csv,15207
chr3,USP13.csv,136362
chr10,LOC283038.csv,26435
chr9,LOC105376086.csv,14924
chr19,NLRP5.csv,62085
chr5,CAMLG.csv,13610
chr4,LOC107986240.csv,4829
chr16,CORO1A.csv,5475
chr1,ERLNC1.csv,1602
chr11,KRTAP5-6.csv,561
chr11,GLB1L3.csv,52592
chr14,PSEN1.csv,87256
chr11,ILK.csv,7126
chr12,PPFIA2-AS1.csv,33234
chr17,SMCR8.csv,12764
chr12,LOC105369928.csv,27731
chr4,LOC105377397.csv,4662
chr8,LOC101929217.csv,3493
chr14,LOC105370679.csv,5410
chr3,MIR9900.csv,93
chr15,ST20-AS1.csv,2084
chr7,LOC101928357.csv,42181
chr17,TRK-TTT3-5.csv,73
chr15,MIR5701-3.csv,82
chr6,LOC112267978.csv,1454
chr17,TRR-CCT1-1.csv,73
chr15,GABRA5.csv,82490
chr9,LOC105376167.csv,12600
chr11,OR4A16.csv,987
chr16,MIR662.csv,95
chr4,GPR78.csv,9632
chr20,LOC107985383.csv,5908
chr23,LOC102724150.csv,52126
chr2,CT75.csv,39440
chr6,H4C9.csv,397
chr14,SNORA11B.csv,127
chr16,LOC102725168.csv,2842
chr5,UTP15.csv,17640
chr10,GBF1.csv,152257
chr7,LOC107986833.csv,2237
chr9,MIR27B.csv,97
chr19,LIPE-AS1.csv,255208
chr2,TCF7L1.csv,176996
chr15,MIR4714.csv,77
chr7,DLD.csv,30092
chr3,CNOT10.csv,88688
chr15,MIR4713HG.csv,256425
chr24,TTTY2.csv,22191
chr1,OR2L3.csv,16572
chr21,DSCR10.csv,2489
chr8,LINC01289.csv,16072
chr19,PLEKHG2.csv,15834
chr2,CCNT2.csv,40533
chr2,ANO7.csv,51052
chr2,AGAP1-IT1.csv,1816
chr9,LOC105379841.csv,7420
chr14,CHGA.csv,12700
chr2,SPEG.csv,59415
chr1,CD101.csv,49485
chr11,LINC02722.csv,3703
chr7,LOC100506682.csv,8922
chr6,TINAG.csv,82360
chr19,PSG8-AS1.csv,5016
chr19,MPND.csv,16523
chr5,ARHGAP26.csv,458642
chr12,BLOC1S1-RDH5.csv,8709
chr11,NAV2.csv,776402
chr4,LOC105378240.csv,4166
chr2,LOC105373812.csv,13399
chr12,MIR331.csv,94
chr19,ZNF729.csv,30736
chr1,ECE1-AS1.csv,6580
chr6,EZR-AS1.csv,4261
chr17,NME1-NME2.csv,18186
chr7,ZYX.csv,9767
chr1,SCP2.csv,124423
chr1,ACBD3-AS1.csv,6975
chr15,LINC00593.csv,7734
chr1,LINC01360.csv,32708
chr6,SIRT5.csv,40942
chr2,EIF5B.csv,63938
chr12,TAPBPL.csv,20351
chr4,TMEM33.csv,25684
chr1,DNAI3.csv,70812
chr16,CIITA.csv,75355
chr2,LOC107985830.csv,4292
chr1,MIR6500.csv,86
chr1,LINC01397.csv,27032
chr5,NIPBL.csv,189645
chr9,PRSS3.csv,48710
chr2,HOXD11.csv,2475
chr12,LOC101929432.csv,35377
chr17,APPBP2-DT.csv,31083
chr5,LINC00992.csv,164233
chr12,FAM71C.csv,2362
chr15,GOLGA8N.csv,13782
chr8,LOC105375673.csv,22777
chr11,SNORD131.csv,146
chr18,ASXL3.csv,172977
chr16,ADGRG5.csv,48844
chr13,NAXD.csv,24537
chr16,KATNIP.csv,230244
chr8,LOC107986985.csv,2392
chr23,SLC9A6.csv,72674
chr14,RNASE7.csv,1872
chr19,NOP53.csv,11513
chr2,KIF5C.csv,151533
chr21,LOC101930100.csv,42219
chr22,PRR5.csv,68931
chr14,PLEKHG3.csv,45826
chr18,MIR4526.csv,87
chr19,FSTL3.csv,6994
chr19,ZNF431.csv,54045
chr11,CAND1.11.csv,122361
chr17,TRPV2.csv,21461
chr22,LOC105373016.csv,21782
chr1,CCDC24.csv,4930
chr17,TNK1.csv,9406
chr4,LOC101929996.csv,13994
chr16,POLR3E.csv,37688
chr3,MRPS22.csv,13147
chr14,OXA1L.csv,6355
chr1,MIR6077.csv,82
chr1,LOC105378710.csv,563
chr10,NANOS1.csv,4017
chr17,TRQ-TTG1-1.csv,72
chr4,LOC105377670.csv,4813
chr10,GTPBP4.csv,31499
chr15,CRTC3.csv,115423
chr17,TMEM220-AS1.csv,85388
chr7,LOC107986816.csv,62438
chr20,LOC105372554.csv,928
chr1,PADI4.csv,55810
chr14,MAP3K9-DT.csv,7744
chr12,CACNA1C-IT1.csv,17545
chr5,LOC101927023.csv,29027
chr5,ZSWIM6.csv,213915
chr7,LOC100287704.csv,2705
chr21,KRTAP13-4.csv,807
chr10,LOC105376411.csv,6814
chr2,LINC01961.csv,13936
chr10,NET1.csv,46500
