sequence_id,refseq,region,start_index,end_index,start,end
NW_003571051.1,BestRefSeq,gene,1440,7655,1441,7656 
NW_003571051.1,BestRefSeq,mRNA,1440,7655,1441,7656 
NW_003571051.1,BestRefSeq,exon,1440,1565,1441,1566 
NW_003571051.1,BestRefSeq,exon,4121,7655,4122,7656 
NW_003571051.1,BestRefSeq,CDS,4176,6614,4177,6615 
NW_003571051.1,BestRefSeq,mRNA,1440,7655,1441,7656 
NW_003571051.1,BestRefSeq,exon,1440,1565,1441,1566 
NW_003571051.1,BestRefSeq,exon,4124,7655,4125,7656 
NW_003571051.1,BestRefSeq,CDS,4176,6614,4177,6615 
NW_003571051.1,BestRefSeq,mRNA,1481,7655,1482,7656 
NW_003571051.1,BestRefSeq,exon,1481,1565,1482,1566 
NW_003571051.1,BestRefSeq,exon,4121,7655,4122,7656 
NW_003571051.1,BestRefSeq,CDS,4176,6614,4177,6615 
NW_003571051.1,BestRefSeq,gene,10090,14281,10091,14282 
NW_003571051.1,BestRefSeq,lnc_RNA,10090,14281,10091,14282 
NW_003571051.1,BestRefSeq,exon,14168,14281,14169,14282 
NW_003571051.1,BestRefSeq,exon,10999,11111,11000,11112 
NW_003571051.1,BestRefSeq,exon,10090,10178,10091,10179 
NW_003571051.1,RefSeq,cDNA_match,1440,1565,1441,1566 
NW_003571051.1,RefSeq,cDNA_match,4121,7655,4122,7656 
NW_003571051.1,RefSeq,cDNA_match,1440,1565,1441,1566 
NW_003571051.1,RefSeq,cDNA_match,4124,7655,4125,7656 
NW_003571051.1,RefSeq,cDNA_match,1481,1565,1482,1566 
NW_003571051.1,RefSeq,cDNA_match,4121,7655,4122,7656 
